# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,# Cases Race/Ethnicity: Non-Hispanic Asian,# Cases Race/Ethnicity: Non-Hispanic Black,# Cases Race/Ethnicity: Non-Hispanic Multiracial,# Cases Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,# Cases Race/Ethnicity: Non-Hispanic Other Race,# Cases Race/Ethnicity: Non-Hispanic White,# Cases Race/Ethnicity: Unknown,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,# Deaths Race/Ethnicity: Non-Hispanic Asian,# Deaths Race/Ethnicity: Non-Hispanic Black,# Deaths Race/Ethnicity: Non-Hispanic Multiracial,# Deaths Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,# Deaths Race/Ethnicity: Non-Hispanic Other Race,# Deaths Race/Ethnicity: Non-Hispanic White,# Deaths Race/Ethnicity: Unknown,# Hospitalized Race/Ethnicity: Hispanic,# Hospitalized Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,# Hospitalized Race/Ethnicity: Non-Hispanic Asian,# Hospitalized Race/Ethnicity: Non-Hispanic Black,# Hospitalized Race/Ethnicity: Non-Hispanic Multiracial,# Hospitalized Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,# Hospitalized Race/Ethnicity: Non-Hispanic Other Race,# Hospitalized Race/Ethnicity: Non-Hispanic White,# Hospitalized Race/Ethnicity: Unknown,% Cases Age [0-19],% Cases Age [20-39],% Cases Age [40-59],% Cases Age [60-79],% Cases Age [80+],% Cases Age [Unknown],% Cases Race/Ethnicity: Hispanic,% Cases Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,% Cases Race/Ethnicity: Non-Hispanic Asian,% Cases Race/Ethnicity: Non-Hispanic Black,% Cases Race/Ethnicity: Non-Hispanic Multiracial,% Cases Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,% Cases Race/Ethnicity: Non-Hispanic Other Race,% Cases Race/Ethnicity: Non-Hispanic White,% Cases Race/Ethnicity: Unknown,% Deaths Age [0-19],% Deaths Age [20-39],% Deaths Age [40-59],% Deaths Age [60-79],% Deaths Age [80+],% Deaths Age [Unknown],% Deaths Race/Ethnicity: Hispanic,% Deaths Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,% Deaths Race/Ethnicity: Non-Hispanic Asian,% Deaths Race/Ethnicity: Non-Hispanic Black,% Deaths Race/Ethnicity: Non-Hispanic Multiracial,% Deaths Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,% Deaths Race/Ethnicity: Non-Hispanic Other Race,% Deaths Race/Ethnicity: Non-Hispanic White,% Deaths Race/Ethnicity: Unknown,% Hospitalized Age [0-19],% Hospitalized Age [20-39],% Hospitalized Age [40-59],% Hospitalized Age [60-79],% Hospitalized Age [80+],% Hospitalized Age [Unknown],% Hospitalized Race/Ethnicity: Hispanic,% Hospitalized Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,% Hospitalized Race/Ethnicity: Non-Hispanic Asian,% Hospitalized Race/Ethnicity: Non-Hispanic Black,% Hospitalized Race/Ethnicity: Non-Hispanic Multiracial,% Hospitalized Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,% Hospitalized Race/Ethnicity: Non-Hispanic Other Race,% Hospitalized Race/Ethnicity: Non-Hispanic White,% Hospitalized Race/Ethnicity: Unknown,% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Sex,% Total Deaths: Female,% Total Deaths: Male,% Total Deaths: Unknown Sex,% Total Hospitalized: Female,% Total Hospitalized: Male,% Total Hospitalized: Unknown Sex,Scrape_Time
18447,715,2118,2494,1083,1130,958,16086,22308,232,39,134,58,21,29,36,1150,37,1303,80,305,258,69,147,98,2078,1844,13,39,29,14,5,0,43,2,5,6,3,3,2,37,34,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,13,29,37,19,0,30,2,7,6,2,3,2,48,30,49,46,4,45,54,1,45,53,2,2020-08-14 10:27:56.573804
18528,720,2131,2526,1095,1137,966,16244,22792,239,39,134,58,20,29,36,1169,31,1308,82,305,263,69,147,99,2086,1847,13,39,29,14,5,0,43,2,5,6,3,3,2,37,34,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,1,13,29,37,19,0,30,2,7,6,2,3,2,48,30,49,46,4,45,54,1,45,53,2,2020-08-14 20:11:24.918583
19757,753,2232,2653,1232,1161,1016,17304,20777,240,40,135,58,20,29,36,1174,34,1338,84,310,271,78,146,100,2121,1782,13,39,29,14,5,0,43,2,5,6,3,3,2,38,31,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,1,13,29,37,19,0,30,2,7,6,2,3,2,48,29,49,46,4,45,54,1,45,53,2,2020-08-15 20:12:09.859914
19869,758,2236,2670,1238,1164,1021,17400,21105,244,40,137,58,20,29,36,1178,39,1339,84,311,272,78,147,100,2129,1795,13,39,29,14,5,0,43,2,5,6,3,3,2,38,31,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,13,29,37,19,0,30,2,7,6,2,3,2,48,29,49,46,4,45,54,1,45,53,2,2020-08-16 20:20:46.512562
20057,765,2268,2705,1251,1170,1028,17578,20899,244,40,137,58,20,29,36,1179,42,1354,84,313,275,80,148,103,2148,1791,13,39,29,14,5,0,43,2,5,6,3,2,2,38,31,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,13,29,37,19,0,30,2,7,6,2,3,2,48,28,49,46,4,45,54,1,45,53,2,2020-08-17 19:55:46.644242
20227,770,2294,2745,1262,1178,1032,17733,21023,248,44,137,58,20,29,36,1192,45,1359,86,315,278,81,153,103,2164,1819,13,39,29,14,5,0,43,2,5,6,3,2,2,38,31,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,14,29,37,19,0,30,2,7,6,2,3,2,48,29,49,46,4,45,54,1,45,53,2,2020-08-18 20:03:34.714878
20227,770,2294,2745,1262,1178,1032,17733,21023,248,44,137,58,20,29,36,1192,45,1359,86,315,278,81,153,103,2164,1819,13,39,29,14,5,0,43,2,5,6,3,2,2,38,31,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,14,29,37,19,0,30,2,7,6,2,3,2,48,29,49,46,4,45,54,1,45,53,2,2020-08-19 20:17:53.274161
20561,779,2336,2817,1269,1199,1040,18060,21328,254,45,139,58,21,29,37,1217,37,1371,86,319,283,81,158,105,2191,1806,13,39,29,14,5,0,43,2,5,6,3,2,2,38,31,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,14,29,37,19,0,30,2,7,6,2,3,2,48,28,49,46,4,45,54,1,45,53,2,2020-08-20 20:19:10.870827
20690,785,2368,2861,1277,1215,1046,18286,21251,254,45,139,59,21,30,37,1231,34,1374,86,319,285,80,159,105,2207,1854,13,39,29,14,5,0,43,2,5,6,3,3,2,38,30,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,14,29,37,19,0,30,2,7,6,2,3,2,48,29,49,46,4,45,54,1,45,53,2,2020-08-21 22:06:38.556211
20690,785,2368,2861,1277,1215,1046,18286,21251,254,45,139,59,21,30,37,1231,34,1374,86,319,285,80,159,105,2207,1854,13,39,29,14,5,0,43,2,5,6,3,3,2,38,30,0,1,10,38,51,0,14,2,8,3,1,2,2,68,2,2,14,29,37,19,0,30,2,7,6,2,3,2,48,29,49,46,4,45,54,1,45,53,2,2020-08-22 19:18:32.286572
21094,812,2402,2923,1295,1231,1065,18611,21579,255,47,140,60,21,31,38,1239,32,1402,90,320,290,82,159,105,2231,1851,13,39,29,14,5,0,43,2,5,6,3,2,2,38,30,0,1,10,38,51,0,14,3,8,3,1,2,2,68,2,2,14,29,37,19,0,30,2,7,6,2,3,2,48,28,49,46,4,45,53,1,45,53,2,2020-08-23 20:13:33.216038
