# Cases Race/Ethnicity: Hispanic,# Cases Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,# Cases Race/Ethnicity: Non-Hispanic Asian,# Cases Race/Ethnicity: Non-Hispanic Black,# Cases Race/Ethnicity: Non-Hispanic Multiracial,# Cases Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,# Cases Race/Ethnicity: Non-Hispanic Other Race,# Cases Race/Ethnicity: Non-Hispanic White,# Cases Race/Ethnicity: Unknown,# Deaths Race/Ethnicity: Hispanic,# Deaths Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,# Deaths Race/Ethnicity: Non-Hispanic Asian,# Deaths Race/Ethnicity: Non-Hispanic Black,# Deaths Race/Ethnicity: Non-Hispanic Multiracial,# Deaths Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,# Deaths Race/Ethnicity: Non-Hispanic Other Race,# Deaths Race/Ethnicity: Non-Hispanic White,# Deaths Race/Ethnicity: Unknown,# Hospitalized Race/Ethnicity: Hispanic,# Hospitalized Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,# Hospitalized Race/Ethnicity: Non-Hispanic Asian,# Hospitalized Race/Ethnicity: Non-Hispanic Black,# Hospitalized Race/Ethnicity: Non-Hispanic Multiracial,# Hospitalized Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,# Hospitalized Race/Ethnicity: Non-Hispanic Other Race,# Hospitalized Race/Ethnicity: Non-Hispanic White,# Hospitalized Race/Ethnicity: Unknown,% Cases Age [0-19],% Cases Age [20-39],% Cases Age [40-59],% Cases Age [60-79],% Cases Age [80+],% Cases Age [Unknown],% Cases Race/Ethnicity: Hispanic,% Cases Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,% Cases Race/Ethnicity: Non-Hispanic Asian,% Cases Race/Ethnicity: Non-Hispanic Black,% Cases Race/Ethnicity: Non-Hispanic Multiracial,% Cases Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,% Cases Race/Ethnicity: Non-Hispanic Other Race,% Cases Race/Ethnicity: Non-Hispanic White,% Cases Race/Ethnicity: Unknown,% Deaths Age [0-19],% Deaths Age [20-39],% Deaths Age [40-59],% Deaths Age [60-79],% Deaths Age [80+],% Deaths Age [Unknown],% Deaths Race/Ethnicity: Hispanic,% Deaths Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,% Deaths Race/Ethnicity: Non-Hispanic Asian,% Deaths Race/Ethnicity: Non-Hispanic Black,% Deaths Race/Ethnicity: Non-Hispanic Multiracial,% Deaths Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,% Deaths Race/Ethnicity: Non-Hispanic Other Race,% Deaths Race/Ethnicity: Non-Hispanic White,% Deaths Race/Ethnicity: Unknown,% Hospitalized Age [0-19],% Hospitalized Age [20-39],% Hospitalized Age [40-59],% Hospitalized Age [60-79],% Hospitalized Age [80+],% Hospitalized Age [Unknown],% Hospitalized Race/Ethnicity: Hispanic,% Hospitalized Race/Ethnicity: Non-Hispanic American Indian or Alaska Native,% Hospitalized Race/Ethnicity: Non-Hispanic Asian,% Hospitalized Race/Ethnicity: Non-Hispanic Black,% Hospitalized Race/Ethnicity: Non-Hispanic Multiracial,% Hospitalized Race/Ethnicity: Non-Hispanic Native Hawaiian or Other Pacific Islander,% Hospitalized Race/Ethnicity: Non-Hispanic Other Race,% Hospitalized Race/Ethnicity: Non-Hispanic White,% Hospitalized Race/Ethnicity: Unknown,% Total Cases: Female,% Total Cases: Male,% Total Cases: Unknown Sex,% Total Deaths: Female,% Total Deaths: Male,% Total Deaths: Unknown Sex,% Total Hospitalized: Female,% Total Hospitalized: Male,% Total Hospitalized: Unknown Sex,% Total Tested: Negative,% Total Tested: Positive,Scrape_Time,Total Tested: Negative,Total Tested: Positive
8440,350,1240,1164,354,542,491,7031,6919,135,16,106,38,16,12,26,831,51,802,52,237,166,37,72,60,1489,1000,7,34,33,19,7,0,43,2,6,6,2,3,3,36,26,0,2,9,39,51,0,11,1,9,3,1,1,2,70,4,1,12,27,39,21,0,28,2,8,6,1,2,2,51,26,52,47,2,45,54,1,44,54,2,94,6,2020-06-17 15:42:58.532081,453495,26531
8579,359,1246,1175,355,558,495,7088,6929,132,16,106,37,15,12,26,833,49,807,52,237,167,37,72,60,1495,1011,8,34,33,19,7,0,43,2,6,6,2,3,2,36,26,0,1,9,39,51,0,11,1,9,3,1,1,2,71,4,1,12,27,39,21,0,28,2,8,6,1,2,2,51,26,52,47,2,45,54,1,44,54,2,94,6,2020-06-17 21:19:31.192297,408232,26784
8673,369,1250,1183,357,567,494,7152,7147,140,16,106,38,15,12,26,842,50,813,53,237,167,37,74,60,1499,1019,8,34,32,19,7,0,43,2,6,6,2,3,2,36,26,0,1,9,39,51,0,12,1,9,3,1,1,2,70,4,1,12,27,39,21,0,28,2,8,6,1,3,2,51,26,51,47,2,45,54,1,44,54,2,94,6,2020-06-18 21:08:25.151030,419707,27192
8673,369,1250,1183,357,567,494,7152,7147,140,16,106,38,15,12,26,842,50,813,53,237,167,37,74,60,1499,1019,8,34,32,19,7,0,43,2,6,6,2,3,2,36,26,0,1,9,39,51,0,12,1,9,3,1,1,2,70,4,1,12,27,39,21,0,28,2,8,6,1,3,2,51,26,51,47,2,45,54,1,44,54,2,94,6,2020-06-19 19:52:01.883772,419707,27192
8840,376,1259,1197,361,588,500,7272,7832,144,16,106,40,15,12,26,846,60,825,54,238,167,37,78,60,1507,1064,8,34,32,18,7,0,43,2,6,6,2,3,2,36,28,0,1,9,39,51,0,12,1,9,3,1,1,2,70,5,1,12,27,39,21,0,28,2,8,6,1,3,2,51,26,51,47,2,45,54,1,44,54,2,94,6,2020-06-20 21:24:06.824728,437844,28225
8872,376,1262,1205,367,593,500,7300,8205,145,16,106,40,15,12,26,846,64,828,54,238,167,37,78,60,1507,1080,8,34,32,18,7,0,43,2,6,6,2,3,2,36,29,0,1,9,39,51,0,12,1,9,3,1,1,2,70,5,1,12,27,39,21,0,28,2,8,6,1,3,2,51,27,51,47,2,45,54,1,44,54,2,94,6,2020-06-21 21:18:09.274684,446258,28680
9240,389,1273,1222,383,603,507,7447,7806,146,16,106,40,15,12,26,848,67,850,55,239,168,39,80,60,1512,1059,8,35,32,18,7,0,44,2,6,6,2,3,2,35,27,0,1,9,39,51,0,12,1,9,3,1,1,2,70,5,1,12,27,39,21,0,28,2,8,6,1,3,2,50,26,51,47,2,45,54,1,44,54,2,94,6,2020-06-22 21:19:47.718590,448334,28870
9412,397,1279,1225,389,615,513,7532,8024,148,16,107,40,15,12,26,855,65,854,57,238,168,39,80,61,1515,1055,8,35,32,18,7,0,44,2,6,6,2,3,2,35,27,0,1,9,39,51,0,12,1,9,3,1,1,2,70,5,1,12,27,39,21,0,28,2,8,6,1,3,2,50,26,51,47,2,45,54,1,44,54,2,94,6,2020-06-23 21:09:51.432401,457673,29386
9585,400,1295,1243,396,644,519,7630,8157,149,17,108,40,16,12,26,862,63,865,57,238,170,39,80,61,1520,1063,8,35,32,18,7,0,44,2,6,6,2,3,2,35,27,0,1,9,39,51,0,12,1,9,3,1,1,2,70,5,1,12,27,39,21,0,29,2,8,6,1,3,2,50,26,51,47,2,46,54,1,44,54,2,94,6,2020-06-24 21:44:15.310299,465629,29869
9585,400,1295,1243,396,644,519,7630,8157,149,17,108,40,16,12,26,862,63,865,57,238,170,39,80,61,1520,1063,8,35,32,18,7,0,44,2,6,6,2,3,2,35,27,0,1,9,39,51,0,12,1,9,3,1,1,2,70,5,1,12,27,39,21,0,29,2,8,6,1,3,2,50,26,51,47,2,46,54,1,44,54,2,94,6,2020-06-25 21:28:22.881126,465629,29869
