County Name,Scrape Time,Total Cases,Total Deaths,Total Hospitalized
Adams,2020-06-17 15:42:58.532081,100,0,7
Asotin,2020-06-17 15:42:58.532081,20,2,1
Benton,2020-06-17 15:42:58.532081,1218,74,176
Chelan,2020-06-17 15:42:58.532081,273,6,19
Clallam,2020-06-17 15:42:58.532081,29,0,3
Clark,2020-06-17 15:42:58.532081,629,27,97
Columbia,2020-06-17 15:42:58.532081,1,0,0
Cowlitz,2020-06-17 15:42:58.532081,118,0,19
Douglas,2020-06-17 15:42:58.532081,183,3,12
Ferry,2020-06-17 15:42:58.532081,1,0,0
Franklin,2020-06-17 15:42:58.532081,1005,26,107
Garfield,2020-06-17 15:42:58.532081,0,0,0
Grant,2020-06-17 15:42:58.532081,268,5,30
Grays Harbor,2020-06-17 15:42:58.532081,20,0,7
Island,2020-06-17 15:42:58.532081,183,11,32
Jefferson,2020-06-17 15:42:58.532081,32,0,6
King,2020-06-17 15:42:58.532081,8850,595,1703
Kitsap,2020-06-17 15:42:58.532081,178,2,27
Kittitas,2020-06-17 15:42:58.532081,92,0,1
Klickitat,2020-06-17 15:42:58.532081,49,3,6
Lewis,2020-06-17 15:42:58.532081,40,3,11
Lincoln,2020-06-17 15:42:58.532081,2,0,0
Mason,2020-06-17 15:42:58.532081,40,1,5
Okanogan,2020-06-17 15:42:58.532081,58,1,5
Pacific,2020-06-17 15:42:58.532081,12,1,2
Pend Oreille,2020-06-17 15:42:58.532081,3,0,0
Pierce,2020-06-17 15:42:58.532081,2161,89,381
San Juan,2020-06-17 15:42:58.532081,16,0,1
Skagit,2020-06-17 15:42:58.532081,464,15,54
Skamania,2020-06-17 15:42:58.532081,3,0,1
Snohomish,2020-06-17 15:42:58.532081,3171,158,588
Spokane,2020-06-17 15:42:58.532081,846,37,97
Stevens,2020-06-17 15:42:58.532081,15,1,4
Thurston,2020-06-17 15:42:58.532081,197,5,32
Wahkiakum,2020-06-17 15:42:58.532081,4,0,0
Walla Walla,2020-06-17 15:42:58.532081,122,3,8
Whatcom,2020-06-17 15:42:58.532081,455,39,53
Whitman,2020-06-17 15:42:58.532081,29,0,0
Yakima,2020-06-17 15:42:58.532081,5597,124,413
Adams,2020-06-17 21:19:31.192297,101,0,7
Asotin,2020-06-17 21:19:31.192297,20,2,1
Benton,2020-06-17 21:19:31.192297,1236,74,177
Chelan,2020-06-17 21:19:31.192297,276,6,19
Clallam,2020-06-17 21:19:31.192297,32,0,3
Clark,2020-06-17 21:19:31.192297,630,27,97
Columbia,2020-06-17 21:19:31.192297,1,0,0
Cowlitz,2020-06-17 21:19:31.192297,120,0,19
Douglas,2020-06-17 21:19:31.192297,184,3,12
Ferry,2020-06-17 21:19:31.192297,1,0,0
Franklin,2020-06-17 21:19:31.192297,1044,26,111
Garfield,2020-06-17 21:19:31.192297,0,0,0
Grant,2020-06-17 21:19:31.192297,310,5,30
Grays Harbor,2020-06-17 21:19:31.192297,21,0,7
Island,2020-06-17 21:19:31.192297,184,11,32
Jefferson,2020-06-17 21:19:31.192297,32,0,6
King,2020-06-17 21:19:31.192297,8885,591,1707
Kitsap,2020-06-17 21:19:31.192297,180,2,27
Kittitas,2020-06-17 21:19:31.192297,92,0,1
Klickitat,2020-06-17 21:19:31.192297,49,3,6
Lewis,2020-06-17 21:19:31.192297,41,3,12
Lincoln,2020-06-17 21:19:31.192297,2,0,0
Mason,2020-06-17 21:19:31.192297,41,1,5
Okanogan,2020-06-17 21:19:31.192297,61,1,5
Pacific,2020-06-17 21:19:31.192297,12,1,2
Pend Oreille,2020-06-17 21:19:31.192297,3,0,0
Pierce,2020-06-17 21:19:31.192297,2179,89,386
San Juan,2020-06-17 21:19:31.192297,16,0,1
Skagit,2020-06-17 21:19:31.192297,469,15,54
Skamania,2020-06-17 21:19:31.192297,3,0,1
Snohomish,2020-06-17 21:19:31.192297,3187,159,592
Spokane,2020-06-17 21:19:31.192297,870,37,99
Stevens,2020-06-17 21:19:31.192297,16,1,4
Thurston,2020-06-17 21:19:31.192297,197,5,32
Wahkiakum,2020-06-17 21:19:31.192297,4,0,0
Walla Walla,2020-06-17 21:19:31.192297,124,3,8
Whatcom,2020-06-17 21:19:31.192297,457,39,53
Whitman,2020-06-17 21:19:31.192297,28,0,0
Yakima,2020-06-17 21:19:31.192297,5651,122,419
Adams,2020-06-18 21:08:25.151030,101,0,7
Asotin,2020-06-18 21:08:25.151030,20,2,1
Benton,2020-06-18 21:08:25.151030,1268,75,178
Chelan,2020-06-18 21:08:25.151030,279,6,19
Clallam,2020-06-18 21:08:25.151030,32,0,3
Clark,2020-06-18 21:08:25.151030,638,28,98
Columbia,2020-06-18 21:08:25.151030,1,0,0
Cowlitz,2020-06-18 21:08:25.151030,124,0,19
Douglas,2020-06-18 21:08:25.151030,189,3,12
Ferry,2020-06-18 21:08:25.151030,1,0,0
Franklin,2020-06-18 21:08:25.151030,1081,28,115
Garfield,2020-06-18 21:08:25.151030,0,0,0
Grant,2020-06-18 21:08:25.151030,328,5,30
Grays Harbor,2020-06-18 21:08:25.151030,21,0,7
Island,2020-06-18 21:08:25.151030,184,12,32
Jefferson,2020-06-18 21:08:25.151030,32,0,6
King,2020-06-18 21:08:25.151030,8963,597,1712
Kitsap,2020-06-18 21:08:25.151030,182,2,27
Kittitas,2020-06-18 21:08:25.151030,92,0,1
Klickitat,2020-06-18 21:08:25.151030,52,3,8
Lewis,2020-06-18 21:08:25.151030,43,3,12
Lincoln,2020-06-18 21:08:25.151030,2,0,0
Mason,2020-06-18 21:08:25.151030,41,1,5
Okanogan,2020-06-18 21:08:25.151030,62,2,5
Pacific,2020-06-18 21:08:25.151030,12,1,2
Pend Oreille,2020-06-18 21:08:25.151030,3,0,0
Pierce,2020-06-18 21:08:25.151030,2199,89,389
San Juan,2020-06-18 21:08:25.151030,16,0,1
Skagit,2020-06-18 21:08:25.151030,474,15,54
Skamania,2020-06-18 21:08:25.151030,3,0,1
Snohomish,2020-06-18 21:08:25.151030,3200,160,593
Spokane,2020-06-18 21:08:25.151030,880,37,100
Stevens,2020-06-18 21:08:25.151030,16,1,4
Thurston,2020-06-18 21:08:25.151030,201,5,32
Wahkiakum,2020-06-18 21:08:25.151030,4,0,0
Walla Walla,2020-06-18 21:08:25.151030,127,3,8
Whatcom,2020-06-18 21:08:25.151030,467,39,53
Whitman,2020-06-18 21:08:25.151030,30,0,0
Yakima,2020-06-18 21:08:25.151030,5777,128,424
Adams,2020-06-19 19:52:01.883772,101,0,7
Asotin,2020-06-19 19:52:01.883772,20,2,1
Benton,2020-06-19 19:52:01.883772,1268,75,178
Chelan,2020-06-19 19:52:01.883772,279,6,19
Clallam,2020-06-19 19:52:01.883772,32,0,3
Clark,2020-06-19 19:52:01.883772,638,28,98
Columbia,2020-06-19 19:52:01.883772,1,0,0
Cowlitz,2020-06-19 19:52:01.883772,124,0,19
Douglas,2020-06-19 19:52:01.883772,189,3,12
