CasesByOnsetDate,CumCasesByReportDate,DeathsByOnsetDate,CumDeathsByDOD,PosTestsByCollectDate,NegTestsByCollectDate,TimeSeriesDate,UpdateDate,Scrape_Time
4,0,0,,,,2020-01-16,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
1,,,,,,2020-01-17,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
0,,,,,,2020-01-18,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-19,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-20,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-21,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,1,,,,,2020-01-22,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
1,,,,,,2020-01-23,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
0,,,,,,2020-01-24,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-25,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-26,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-27,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-28,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-29,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-30,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-01-31,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
1,,,,,,2020-02-01,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,1,,,,2020-02-02,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,0,,,,2020-02-03,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
0,,,,,,2020-02-04,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-02-05,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-02-06,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
1,,,,,,2020-02-07,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
0,,,,,,2020-02-08,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-02-09,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
1,,,,,,2020-02-10,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,,,,,2020-02-11,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
2,,,,,,2020-02-12,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
0,,,,,,2020-02-13,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
1,,1,,,,2020-02-14,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
,,0,,,,2020-02-15,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
3,,1,,,,2020-02-16,2020-03-28 23:59:00,2020-03-31 23:01:16.811208
