# Confirmatory Lab Tests,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: Unknown,% Cases Race/Ethnicity: White,County Name,Scrape Time,Total Cases: Female,Total Cases: Male,Total Confirmatory Tests: Female,Total Confirmatory Tests: Male,Total Confirmed Cases,Total Deaths: ,Total Probable Cases,Total Recovered
2769,0.00,24.14,0.00,75.86,Barbour,2020-08-06 20:39:39.519927,15,13,2769,2769,29,1,0,15
14533,11.11,15.70,0.00,73.19,Berkeley,2020-08-06 20:39:39.519927,349,326,14533,14533,647,11,28,584
3581,0.00,0.00,0.00,100.00,Boone,2020-08-06 20:39:39.519927,47,48,3581,3581,95,0,0,65
1318,0.00,25.00,0.00,75.00,Braxton,2020-08-06 20:39:39.519927,3,5,1318,1318,8,0,0,8
3331,1.64,16.39,0.00,81.97,Brooke,2020-08-06 20:39:39.519927,33,26,3331,3331,60,1,1,44
28918,11.17,7.63,0.00,81.20,Cabell,2020-08-06 20:39:39.519927,177,189,28918,28918,358,2,9,199
1111,0.00,0.00,0.00,100.00,Calhoun,2020-08-06 20:39:39.519927,2,4,1111,1111,6,0,0,6
1121,0.00,0.00,0.00,100.00,Clay,2020-08-06 20:39:39.519927,8,10,1121,1121,17,1,1,14
488,0.00,0.00,0.00,100.00,Doddridge,2020-08-06 20:39:39.519927,1,4,488,488,5,0,0,0
8777,2.92,15.33,0.00,81.75,Fayette,2020-08-06 20:39:39.519927,78,59,8777,8777,137,5,0,85
1032,37.50,0.00,0.00,62.50,Gilmer,2020-08-06 20:39:39.519927,6,10,1032,1032,16,0,0,15
1961,0.00,31.96,0.00,68.04,Grant,2020-08-06 20:39:39.519927,52,45,1961,1961,96,1,1,25
6868,2.27,3.41,0.00,94.32,Greenbrier,2020-08-06 20:39:39.519927,49,39,6868,6868,88,3,0,76
2752,1.32,0.00,0.00,98.68,Hampshire,2020-08-06 20:39:39.519927,35,41,2752,2752,76,1,0,64
7207,4.67,4.67,0.00,90.65,Hancock,2020-08-06 20:39:39.519927,58,45,7207,7207,103,0,4,82
1907,22.81,14.04,0.00,63.16,Hardy,2020-08-06 20:39:39.519927,31,26,1907,1907,56,0,1,52
9951,1.45,10.14,0.00,88.41,Harrison,2020-08-06 20:39:39.519927,114,93,9951,9951,206,1,1,163
2893,0.00,1.88,0.00,98.13,Jackson,2020-08-06 20:39:39.519927,107,53,2893,2893,160,19,0,135
8761,7.14,19.39,0.00,73.47,Jefferson,2020-08-06 20:39:39.519927,147,147,8761,8761,288,4,6,279
33055,11.76,25.00,0.00,63.24,Kanawha,2020-08-06 20:39:39.519927,486,379,33055,33055,863,22,13,542
3530,0.00,14.29,0.00,85.71,Lewis,2020-08-06 20:39:39.519927,12,14,3530,3530,27,2,1,21
2854,0.00,0.00,0.00,100.00,Lincoln,2020-08-06 20:39:39.519927,50,29,2854,2854,79,0,0,41
5369,4.55,23.86,0.00,71.59,Logan,2020-08-06 20:39:39.519927,103,72,5369,5369,176,3,0,36
9441,20.67,6.15,0.00,73.18,Marion,2020-08-06 20:39:39.519927,100,78,9441,9441,175,2,4,99
4760,0.78,5.47,0.00,93.75,Marshall,2020-08-06 20:39:39.519927,64,64,4760,4760,125,1,3,116
2543,0.00,3.77,0.00,96.23,Mason,2020-08-06 20:39:39.519927,27,26,2543,2543,53,1,0,31
2318,20.41,30.61,0.00,48.98,McDowell,2020-08-06 20:39:39.519927,26,23,2318,2318,48,0,1,13
8034,10.34,58.05,0.00,31.61,Mercer,2020-08-06 20:39:39.519927,96,73,8034,8034,174,3,0,39
4102,12.07,5.17,0.00,82.76,Mineral,2020-08-06 20:39:39.519927,58,58,4102,4102,114,4,2,88
2907,1.92,22.44,0.00,75.64,Mingo,2020-08-06 20:39:39.519927,92,63,2907,2907,154,3,2,70
23968,11.52,13.78,0.00,74.70,Monongalia,2020-08-06 20:39:39.519927,464,465,23968,23968,913,5,16,842
1792,0.00,0.00,0.00,100.00,Monroe,2020-08-06 20:39:39.519927,10,9,1792,1792,18,0,1,18
1753,0.00,0.00,0.00,100.00,Morgan,2020-08-06 20:39:39.519927,9,17,1753,1753,25,0,1,25
2970,0.00,2.86,0.00,97.14,Nicholas,2020-08-06 20:39:39.519927,24,11,2970,2970,34,1,1,21
15889,10.94,6.79,0.00,82.26,Ohio,2020-08-06 20:39:39.519927,153,112,15889,15889,262,4,3,231
1496,6.90,17.24,0.00,75.86,Pendleton,2020-08-06 20:39:39.519927,34,24,1496,1496,57,1,1,24
656,0.00,40.00,0.00,60.00,Pleasants,2020-08-06 20:39:39.519927,6,4,656,656,9,0,1,6
1278,0.00,0.00,0.00,100.00,Pocahontas,2020-08-06 20:39:39.519927,20,21,1278,1278,40,0,1,41
5702,2.44,8.94,0.00,88.62,Preston,2020-08-06 20:39:39.519927,67,56,5702,5702,101,4,22,107
6911,2.25,9.55,0.56,87.64,Putnam,2020-08-06 20:39:39.519927,92,85,6911,6911,177,0,1,121
13600,10.48,7.62,0.00,81.90,Raleigh,2020-08-06 20:39:39.519927,102,108,13600,13600,203,1,7,148
7106,4.85,33.98,0.00,61.17,Randolph,2020-08-06 20:39:39.519927,39,164,7106,7106,203,0,3,203
1663,0.00,0.00,0.00,100.00,Ritchie,2020-08-06 20:39:39.519927,0,3,1663,1663,3,0,0,3
1989,0.00,7.14,0.00,92.86,Roane,2020-08-06 20:39:39.519927,8,6,1989,1989,14,1,0,13
1772,0.00,0.00,0.00,100.00,Summers,2020-08-06 20:39:39.519927,4,3,1772,1772,7,0,0,6
4036,0.00,8.93,0.00,91.07,Taylor,2020-08-06 20:39:39.519927,29,27,4036,4036,55,1,1,36
2598,0.00,9.09,0.00,90.91,Tucker,2020-08-06 20:39:39.519927,6,5,2598,2598,11,0,0,9
794,0.00,0.00,0.00,100.00,Tyler,2020-08-06 20:39:39.519927,8,5,794,794,13,0,0,12
2999,0.00,0.00,0.00,100.00,Upshur,2020-08-06 20:39:39.519927,20,19,2999,2999,36,0,3,39
4225,0.00,1.02,0.00,98.98,Wayne,2020-08-06 20:39:39.519927,137,59,4225,4225,194,9,2,165
