# Confirmatory Lab Tests,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: White,County Name,Scrape Time,Total Cases: Female,Total Cases: Male,Total Confirmatory Tests: Female,Total Confirmatory Tests: Male,Total Confirmed Cases,Total Deaths: ,Total Probable Cases,Total Recovered
2861,0.00,24.14,75.86,Barbour,2020-08-07 20:11:12.605768,15,14,2861,2861,29,1,0,23
14690,11.22,15.45,73.32,Berkeley,2020-08-07 20:11:12.605768,355,331,14690,14690,658,11,28,589
3659,0.00,0.00,100.00,Boone,2020-08-07 20:11:12.605768,48,49,3659,3659,97,0,0,65
1344,0.00,25.00,75.00,Braxton,2020-08-07 20:11:12.605768,3,5,1344,1344,8,0,0,8
3342,1.61,16.13,82.26,Brooke,2020-08-07 20:11:12.605768,33,27,3342,3342,61,1,1,45
29198,11.53,8.04,80.43,Cabell,2020-08-07 20:11:12.605768,179,193,29198,29198,364,2,9,205
1128,0.00,0.00,100.00,Calhoun,2020-08-07 20:11:12.605768,2,4,1128,1128,6,0,0,6
1132,0.00,0.00,100.00,Clay,2020-08-07 20:11:12.605768,8,10,1132,1132,17,1,1,15
497,0.00,0.00,100.00,Doddridge,2020-08-07 20:11:12.605768,1,4,497,497,5,0,0,0
8886,2.86,16.43,80.71,Fayette,2020-08-07 20:11:12.605768,79,61,8886,8886,140,5,0,85
1261,37.50,0.00,62.50,Gilmer,2020-08-07 20:11:12.605768,6,10,1261,1261,16,0,0,15
1984,0.85,35.90,63.25,Grant,2020-08-07 20:11:12.605768,68,49,1984,1984,116,1,1,25
6918,2.20,6.59,91.21,Greenbrier,2020-08-07 20:11:12.605768,51,40,6918,6918,91,3,0,76
2800,1.32,0.00,98.68,Hampshire,2020-08-07 20:11:12.605768,35,41,2800,2800,76,1,0,65
7254,4.59,4.59,90.83,Hancock,2020-08-07 20:11:12.605768,58,47,7254,7254,105,0,4,86
1942,22.41,12.07,65.52,Hardy,2020-08-07 20:11:12.605768,32,26,1942,1942,57,0,1,52
