# Confirmatory Lab Tests,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Other,% Cases Race/Ethnicity: White,County Name,Scrape Time,Total Active Cases,Total Cases: Female,Total Cases: Male,Total Confirmatory Tests: Female,Total Confirmatory Tests: Male,Total Confirmed Cases,Total Deaths: ,Total Probable Cases,Total Recovered
3047,3.45,17.24,79.31,Barbour,2020-08-14 20:22:33.156091,7,15,16,3047,3047,31,1,0,23
15862,11.02,14.37,74.62,Berkeley,2020-08-14 20:22:33.156091,97,380,347,15862,15862,698,11,29,619
3848,0.00,0.00,100.00,Boone,2020-08-14 20:22:33.156091,37,60,54,3848,3848,114,0,0,77
1432,0.00,12.50,87.50,Braxton,2020-08-14 20:22:33.156091,0,3,5,1432,1432,8,0,0,8
3601,1.52,4.55,93.94,Brooke,2020-08-14 20:22:33.156091,14,38,33,3601,3601,71,1,1,57
32519,10.64,5.20,84.16,Cabell,2020-08-14 20:22:33.156091,206,215,220,32519,32519,426,3,10,227
1233,0.00,0.00,100.00,Calhoun,2020-08-14 20:22:33.156091,0,2,4,1233,1233,6,0,0,6
1203,0.00,0.00,100.00,Clay,2020-08-14 20:22:33.156091,2,8,10,1203,1203,18,1,0,15
534,0.00,0.00,100.00,Doddridge,2020-08-14 20:22:33.156091,2,2,4,534,534,6,0,0,4
9641,3.05,14.02,82.93,Fayette,2020-08-14 20:22:33.156091,47,93,71,9641,9641,165,7,1,112
1610,33.33,5.56,61.11,Gilmer,2020-08-14 20:22:33.156091,3,8,10,1610,1610,18,0,0,15
2453,0.85,20.51,78.63,Grant,2020-08-14 20:22:33.156091,84,76,55,2453,2453,130,4,1,43
7217,2.17,5.43,92.39,Greenbrier,2020-08-14 20:22:33.156091,13,54,40,7217,7217,94,3,0,78
3261,1.18,1.18,97.65,Hampshire,2020-08-14 20:22:33.156091,15,41,45,3261,3261,86,1,0,70
7792,4.59,2.75,92.66,Hancock,2020-08-14 20:22:33.156091,22,60,48,7792,7792,108,0,4,90
2157,22.03,11.86,66.10,Hardy,2020-08-14 20:22:33.156091,5,35,27,2157,2157,61,0,1,57
11251,1.28,5.96,92.77,Harrison,2020-08-14 20:22:33.156091,50,129,111,11251,11251,237,1,3,189
3294,0.00,1.81,98.19,Jackson,2020-08-14 20:22:33.156091,11,110,56,3294,3294,166,19,0,136
9585,7.95,19.21,72.85,Jefferson,2020-08-14 20:22:33.156091,18,152,151,9585,9585,296,4,7,281
36894,14.95,12.83,72.22,Kanawha,2020-08-14 20:22:33.156091,308,567,472,36894,36894,1031,24,15,714
3720,0.00,14.29,85.71,Lewis,2020-08-14 20:22:33.156091,3,12,14,3720,3720,27,2,1,23
3190,0.00,1.03,98.97,Lincoln,2020-08-14 20:22:33.156091,53,60,37,3190,3190,97,0,0,44
6821,3.31,10.66,86.03,Logan,2020-08-14 20:22:33.156091,236,162,122,6821,6821,285,10,0,39
11321,18.88,3.06,78.06,Marion,2020-08-14 20:22:33.156091,28,108,89,11321,11321,192,2,6,168
5057,0.78,4.65,94.57,Marshall,2020-08-14 20:22:33.156091,4,65,65,5057,5057,126,1,4,125
2744,0.00,1.43,98.57,Mason,2020-08-14 20:22:33.156091,26,35,32,2744,2744,70,1,0,43
2672,19.67,22.95,57.38,McDowell,2020-08-14 20:22:33.156091,51,35,30,2672,2672,64,0,1,14
9325,13.67,35.25,51.08,Mercer,2020-08-14 20:22:33.156091,164,124,90,9325,9325,218,17,1,38
4651,11.81,3.15,85.04,Mineral,2020-08-14 20:22:33.156091,19,63,64,4651,4651,125,4,2,104
