CommercialLabTotalTest,Counties,Deaths,Pct_Age_0_17,Pct_Age_18_29,Pct_Age_30_39,Pct_Age_40_49,Pct_Age_50_59,Pct_Age_60_69,Pct_Age_70_79,Pct_Age_80_plus,Pct_Exposure_CommunityAcquired,Pct_Exposure_ContactWithAKnownCase,Pct_Exposure_DomesticTravel,Pct_Exposure_InternationalTravel,Pct_Exposure_Other,Pct_Exposure_PendingInvestigation,Pct_Exposure_Unknown,Pct_Gender_Female,Pct_Gender_Male,Pct_Hospitalized_No,Pct_Hospitalized_Unknown,Pct_Hospitalized_Yes,Pct_Symptom_AbdominalPain,Pct_Symptom_Chills,Pct_Symptom_Cough,Pct_Symptom_Diarrhea,Pct_Symptom_Fever,Pct_Symptom_Headache,Pct_Symptom_MuscleAches,Pct_Symptom_NauseaOrVomiting,Pct_Symptom_None,Pct_Symptom_RunnyNose,Pct_Symptom_ShortnessOfBreath,Pct_Symptom_SoreThroat,Pct_UnderlyingCond_No,Pct_UnderlyingCond_Unknown,Pct_UnderlyingCond_Yes,Recovered,Scrape_Time,TestPositivePercentage,Test_Pct_Age_0_18,Test_Pct_Age_19_29,Test_Pct_Age_30_39,Test_Pct_Age_40_49,Test_Pct_Age_50_59,Test_Pct_Age_60_69,Test_Pct_Age_70_79,Test_Pct_Age_80_plus,TotalConfirmedCases,TotalProbableCases,WPHLTotalTest
2934,21,2,6.9,16.3,14.1,15.7,16.3,20.6,7.1,3.0,9.5,46.3,14.9,3.3,4.7,7.3,14.0,50.9,49.1,81.8,3.5,14.7,2.8,8.6,14.8,5.3,12.7,11.7,11.8,5.6,0.7,9.6,8.4,8.0,48.3,12.0,39.7,176,2020-04-16 00:42:49.522494,5.047318611987381,9.791386271870795,15.578734858681024,16.722745625841185,15.847913862718707,15.847913862718707,15.174966352624494,7.166890982503364,3.869448183041723,288,105,3169
2934,21,2,6.9,17.7,13.9,15.2,15.9,20.4,6.9,3.3,10.0,44.6,14.4,3.3,4.2,8.6,14.9,50.0,50.0,82.2,3.5,14.3,2.8,8.7,14.8,5.2,12.7,11.7,11.8,5.7,0.6,9.7,8.4,8.0,48.0,13.2,38.8,187,2020-04-16 20:17:53.180366,5.047318611987381,9.791386271870795,15.578734858681024,16.722745625841185,15.847913862718707,15.847913862718707,15.174966352624494,7.166890982503364,3.869448183041723,296,105,3169
3987,21,2,6.7,17.7,14.1,15.2,16.1,20.4,6.7,3.0,10.8,45.7,14.9,3.0,4.4,6.2,14.9,50.7,49.3,79.8,3.9,16.3,2.7,8.6,14.8,5.2,12.8,11.5,11.8,5.7,0.6,9.8,8.6,8.0,47.2,13.4,39.3,206,2020-04-17 23:09:46.740081,4.416403785488959,9.112959112959112,16.181566181566183,17.221067221067223,16.181566181566183,15.142065142065142,15.142065142065142,7.033957033957034,3.9847539847539846,305,107,3293
3987,21,2,7.5,17.8,14.0,14.9,16.2,20.0,6.6,3.0,10.4,44.6,14.0,2.9,4.2,9.1,14.9,50.3,49.7,79.8,3.7,16.5,2.7,8.6,14.8,5.3,12.9,11.4,11.7,5.7,0.6,9.8,8.6,8.0,47.2,12.9,39.8,227,2020-04-18 21:30:06.651787,4.416403785488959,9.112959112959112,16.181566181566183,17.221067221067223,16.181566181566183,15.142065142065142,15.142065142065142,7.033957033957034,3.9847539847539846,309,113,3293
3987,21,2,8.9,20.6,15.9,1.4,18.8,23.2,7.6,3.5,10.8,43.9,13.9,2.9,4.2,9.5,14.8,50.1,49.9,79.3,4.7,16.0,2.7,8.6,14.8,5.2,12.8,11.4,11.7,5.7,0.6,9.8,8.6,8.0,51.6,5.0,43.4,233,2020-04-19 20:25:38.345137,4.416403785488959,9.112959112959112,16.181566181566183,17.221067221067223,16.181566181566183,15.142065142065142,15.142065142065142,7.033957033957034,3.9847539847539846,313,113,3293
3670,21,2,7.3,18.0,13.5,14.8,17.3,19.8,6.4,3.0,11.3,44.6,13.5,2.9,4.2,9.1,14.4,49.7,50.3,78.8,4.7,16.5,2.7,8.6,14.9,5.3,12.8,11.3,11.6,5.8,0.6,9.8,8.6,8.0,47.3,12.2,40.4,237,2020-04-20 20:46:07.153559,4.416403785488959,9.106648199445983,16.170360110803326,17.209141274238227,16.170360110803326,16.170360110803326,14.162049861495845,7.029085872576177,3.9819944598337953,317,111,3488
3761,21,6,7.4,17.7,13.8,15.0,17.0,19.5,6.5,3.1,11.5,45.4,13.3,2.9,4.3,8.4,14.2,50.6,49.4,78.8,5.2,16.0,2.8,8.5,14.8,5.4,12.6,11.3,11.6,5.9,0.6,9.8,8.8,8.0,46.6,13.2,40.2,254,2020-04-21 20:14:37.098546,4.416403785488959,9.106648199445983,16.170360110803326,17.209141274238227,16.170360110803326,16.170360110803326,14.162049861495845,7.029085872576177,3.9819944598337953,322,119,3606
3903,21,6,7.2,18.1,13.8,14.9,17.2,19.7,6.2,3.1,11.9,44.7,13.3,2.9,4.3,8.8,14.2,50.4,49.6,78.9,5.2,16.0,2.8,8.5,14.9,5.3,12.7,11.3,11.6,5.8,0.6,9.8,8.8,8.0,47.0,12.9,40.1,275,2020-04-22 21:40:40.777296,4.416403785488959,9.100346020761247,16.15916955017301,17.197231833910035,16.15916955017301,16.15916955017301,14.152249134948097,7.024221453287197,4.048442906574395,326,121,3664
4082,21,7,7.1,18.2,13.7,14.8,18.2,19.1,6.2,2.8,11.8,43.4,13.1,2.9,4.2,10.5,14.0,50.9,49.1,77.4,6.6,16.0,2.7,8.5,14.8,5.4,12.6,11.3,11.6,5.7,0.6,9.9,8.8,8.0,46.5,13.7,39.8,279,2020-04-23 20:24:53.560662,4.416403785488959,9.615384615384617,16.025641025641026,16.76788124156545,16.025641025641026,16.16059379217274,14.068825910931174,7.321187584345479,4.014844804318488,332,121,3752
4295,21,7,8.3,17.9,13.8,15.0,17.9,18.4,5.8,2.9,13.4,42.9,12.5,2.9,3.9,11.1,13.4,51.0,49.0,76.3,8.6,15.1,2.8,8.5,14.8,5.4,12.6,11.5,11.5,5.8,0.7,9.8,8.8,7.9,45.7,14.9,39.3,321,2020-04-24 21:00:36.088309,4.416403785488959,9.979423868312757,16.015089163237313,17.043895747599453,16.015089163237313,16.015089163237313,14.026063100137174,6.9615912208504795,3.943758573388203,349,124,3851
4295,21,7,9.1,18.0,14.3,14.6,17.5,17.8,6.1,2.6,13.0,41.7,12.1,3.0,3.9,13.4,13.0,50.7,49.3,75.8,9.6,14.6,3.0,8.5,14.7,5.3,12.6,11.4,11.4,5.9,0.8,9.8,8.7,7.8,45.1,16.4,38.4,334,2020-04-25 20:31:08.877708,4.416403785488959,9.979423868312757,16.015089163237313,17.043895747599453,16.015089163237313,16.015089163237313,14.026063100137174,6.9615912208504795,3.943758573388203,362,129,3851
4295,21,7,10.0,17.6,14.6,14.4,17.4,17.6,5.9,2.6,13.3,42.2,12.0,2.9,3.8,12.9,12.9,50.0,50.0,76.8,9.1,14.1,2.9,8.5,14.7,5.3,12.7,11.4,11.4,5.8,1.0,9.7,8.8,7.8,45.5,16.4,38.1,342,2020-04-26 20:05:10.096418,4.416403785488959,9.979423868312757,16.015089163237313,17.043895747599453,16.015089163237313,16.015089163237313,14.026063100137174,6.9615912208504795,3.943758573388203,370,132,3851
