% Cases Race/Ethnicity: White,% Cases Race/Ethnicity: Hispanic,% Cases Race/Ethnicity: American Indian,% Cases Race/Ethnicity: Black,% Cases Race/Ethnicity: Asian,% Cases Race/Ethnicity: Unknown,% Cases Race/Ethnicity: Other,Scrape Time
62.49,11.59,10.07,1.42,0.28,2.56,11.59,2020-04-14 20:02:20.597235
62.09,11.94,9.86,1.52,0.57,2.65,11.37,2020-04-16 00:42:49.522494
62.92,11.89,9.83,1.12,0.56,2.72,10.96,2020-04-16 20:17:53.180366
63.23,12.22,10.39,0.96,0.38,2.12,10.68,2020-04-17 23:09:46.740081
61.92,12.5,10.77,1.25,0.67,2.4,10.48,2020-04-18 21:30:06.651787
61.11,12.58,11.06,1.33,0.76,2.57,10.58,2020-04-19 20:25:38.345137
61.02,12.49,11.54,1.23,0.66,2.37,10.69,2020-04-20 20:46:07.153559
60.57,12.64,11.6,1.04,1.13,2.26,10.75,2020-04-21 20:14:37.098546
61.04,13.21,11.13,0.85,0.85,2.64,10.28,2020-04-22 21:40:40.777296
64.37,14.42,4.47,1.12,1.12,3.35,11.17,2020-04-23 20:24:53.560662
58.12,13.54,13.83,0.86,0.86,2.88,9.89,2020-04-24 21:00:36.088309
57.67,13.5,15.04,0.77,0.68,2.8,9.55,2020-04-25 20:31:08.877708
55.44,13.81,16.08,0.85,1.23,3.22,9.37,2020-04-26 20:05:10.096418
56.57,13.33,17.16,0.39,0.59,2.84,9.12,04/27/2020  00:01:50.50
55.21,13.42,16.99,0.77,1.16,3.28,9.17,04/28/2020  00:01:58.58
55.65,13.91,16.62,0.68,0.97,3.38,8.79,04/29/2020  00:59:22.22
53.29,14.1,16.54,1.69,1.6,3.95,8.83,04/30/2020  00:11:04.4
54.25,13.56,18.34,1.05,1.05,3.34,8.4,05/01/2020  00:58:43.43
52.5,13.57,19.7,1.23,1.23,3.58,8.2,05/02/2020  00:37:29.29
51.46,13.52,20.47,1.31,1.41,3.57,8.26,05/03/2020  00:34:13.13
51.97,13.06,21.13,1.63,1.15,3.07,7.97,05/04/2020  00:47:02.2
51.09,12.65,22.36,1.71,1.14,3.14,7.9,05/05/2020  00:08:09.9
49.27,12.42,25.7,1.36,0.78,2.81,7.66,05/06/2020  00:17:42.42
49.22,12.4,26.07,1.26,0.68,2.71,7.66,05/07/2020  00:58:18.18
47.35,12.41,26.52,1.7,1.04,3.22,7.77,05/08/2020  00:05:46.5
47.66,12.73,27.56,1.24,0.67,2.68,7.46,05/09/2020  00:29:21.9
46.87,12.42,28.2,1.44,0.87,2.79,7.41,05/10/2020  00:07:02.7
46.88,11.98,28.19,1.34,0.77,2.49,8.34,05/11/2020  00:51:25.5
46.88,11.93,28.52,1.3,0.75,2.42,8.2,2020-05-12 20:17:05.655818
45.91,12.17,29.37,1.24,0.67,2.66,7.98,2020-05-13 20:08:34.635825
47.33,11.42,29.37,1.01,0.46,2.58,7.83,2020-05-14 21:05:09.764774
46.4,11.65,29.83,1.23,0.66,2.46,7.77,2020-05-15 20:24:38.110022
46.32,11.17,31.33,1.05,0.38,2.48,7.26,2020-05-16 19:59:00.221449
46.27,11.47,30.98,1.05,0.38,2.58,7.27,2020-05-17 19:56:35.036356
46.28,11.45,31.01,0.67,0.48,2.19,7.92,2020-05-18 20:29:28.079312
46.32,11.58,30.62,0.67,0.38,2.2,8.23,2020-05-19 21:10:37.389357
46.12,11.51,30.87,0.77,0.38,2.49,7.86,2020-05-20 20:06:36.647789
45.96,11.25,31.15,0.77,0.58,2.31,7.98,2020-05-21 20:59:58.385783
45.92,11.34,31.12,0.77,0.48,2.4,7.97,2020-05-22 20:08:01.537785
46.21,11.34,31.12,0.77,0.38,2.21,7.97,2020-05-23 20:43:58.875653
46.94,10.85,30.97,0.69,0.39,2.37,7.79,2020-05-24 20:36:13.943526
47.69,10.91,30.97,0.69,0.1,2.16,7.47,2020-05-25 20:52:12.372545
47.12,10.85,31.09,0.78,0.1,2.25,7.82,2020-05-26 21:06:22.268796
47.21,10.68,31.24,0.78,0.2,2.35,7.54,2020-05-27 20:42:11.789472
47.18,10.8,30.92,0.79,0.3,2.38,7.63,2020-05-28 20:18:57.588432
46.45,10.55,32.94,0.69,0.2,1.97,7.2,2020-05-29 20:02:03.206251
46.4,10.7,32.9,0.7,0.1,2,7.2,2020-05-30 19:53:35.425770
45.65,10.57,33.4,0.79,0.2,2.08,7.31,2020-05-31 20:13:52.562774
45.96,10.91,32.91,0.88,0.1,2.04,7.21,2020-06-01 20:10:57.295219
