Column Name,Scrape Time,State,Value
# Cases Age [0-4],2020-08-19 08:26:43 PM,AL,2187
# Cases Age [18-24],2020-08-19 08:26:43 PM,AL,14829
# Cases Age [25-49],2020-08-19 08:26:43 PM,AL,42782
# Cases Age [5-17],2020-08-19 08:26:43 PM,AL,7537
# Cases Age [50-64],2020-08-19 08:26:43 PM,AL,21663
# Cases Age [65+],2020-08-19 08:26:43 PM,AL,17666
# Cases Age [Unknown],2020-08-19 08:26:43 PM,AL,120
# Cases Age [0-4],2020-08-20 08:08:31 PM,AL,2196
# Cases Age [18-24],2020-08-20 08:08:31 PM,AL,14952
# Cases Age [25-49],2020-08-20 08:08:31 PM,AL,43003
# Cases Age [5-17],2020-08-20 08:08:31 PM,AL,7583
# Cases Age [50-64],2020-08-20 08:08:31 PM,AL,21805
# Cases Age [65+],2020-08-20 08:08:31 PM,AL,17824
# Cases Age [Unknown],2020-08-20 08:08:31 PM,AL,120
# Cases Age [0-4],2020-08-21 09:56:42 PM,AL,2196
# Cases Age [18-24],2020-08-21 09:56:42 PM,AL,14952
# Cases Age [25-49],2020-08-21 09:56:42 PM,AL,43003
# Cases Age [5-17],2020-08-21 09:56:42 PM,AL,7583
# Cases Age [50-64],2020-08-21 09:56:42 PM,AL,21805
# Cases Age [65+],2020-08-21 09:56:42 PM,AL,17824
# Cases Age [Unknown],2020-08-21 09:56:42 PM,AL,120
# Cases Age [0-4],2020-08-22 07:07:57 PM,AL,2204
# Cases Age [18-24],2020-08-22 07:07:57 PM,AL,15219
# Cases Age [25-49],2020-08-22 07:07:57 PM,AL,43780
# Cases Age [5-17],2020-08-22 07:07:57 PM,AL,7657
# Cases Age [50-64],2020-08-22 07:07:57 PM,AL,22324
# Cases Age [65+],2020-08-22 07:07:57 PM,AL,18290
# Cases Age [Unknown],2020-08-22 07:07:57 PM,AL,92
# Cases Age [0-4],2020-08-23 08:03:46 PM,AL,2212
# Cases Age [18-24],2020-08-23 08:03:46 PM,AL,15289
# Cases Age [25-49],2020-08-23 08:03:46 PM,AL,43948
# Cases Age [5-17],2020-08-23 08:03:46 PM,AL,7697
# Cases Age [50-64],2020-08-23 08:03:46 PM,AL,22441
# Cases Age [65+],2020-08-23 08:03:46 PM,AL,18413
# Cases Age [Unknown],2020-08-23 08:03:46 PM,AL,94
# Cases Age [0-4],2020-06-29 01:19:31 PM,AL,617
# Cases Age [25-49],2020-06-29 01:19:31 PM,AL,15123
# Cases Age [5-24],2020-06-29 01:19:31 PM,AL,6536
# Cases Age [50-64],2020-06-29 01:19:31 PM,AL,7624
# Cases Age [65+],2020-06-29 01:19:31 PM,AL,6510
# Cases Age [Unknown],2020-06-29 01:19:31 PM,AL,272
# Cases Age [0-4],2020-06-29 10:50:27 PM,AL,617
# Cases Age [25-49],2020-06-29 10:50:27 PM,AL,15123
# Cases Age [5-24],2020-06-29 10:50:27 PM,AL,6536
# Cases Age [50-64],2020-06-29 10:50:27 PM,AL,7624
# Cases Age [65+],2020-06-29 10:50:27 PM,AL,6510
# Cases Age [Unknown],2020-06-29 10:50:27 PM,AL,272
# Cases Age [0-4],2020-06-30 08:03:16 PM,AL,639
# Cases Age [25-49],2020-06-30 08:03:16 PM,AL,15606
# Cases Age [5-24],2020-06-30 08:03:16 PM,AL,6805
# Cases Age [50-64],2020-06-30 08:03:16 PM,AL,7817
# Cases Age [65+],2020-06-30 08:03:16 PM,AL,6638
# Cases Age [Unknown],2020-06-30 08:03:16 PM,AL,31
# Cases Age [0-4],2020-07-01 08:03:44 PM,AL,653
# Cases Age [25-49],2020-07-01 08:03:44 PM,AL,15984
# Cases Age [5-24],2020-07-01 08:03:44 PM,AL,7003
# Cases Age [50-64],2020-07-01 08:03:44 PM,AL,7986
# Cases Age [65+],2020-07-01 08:03:44 PM,AL,6787
# Cases Age [Unknown],2020-07-01 08:03:44 PM,AL,29
# Cases Age [0-4],2020-07-02 10:08:51 PM,AL,677
# Cases Age [25-49],2020-07-02 10:08:51 PM,AL,16457
# Cases Age [5-24],2020-07-02 10:08:51 PM,AL,7277
# Cases Age [50-64],2020-07-02 10:08:51 PM,AL,8208
# Cases Age [65+],2020-07-02 10:08:51 PM,AL,6957
# Cases Age [Unknown],2020-07-02 10:08:51 PM,AL,28
# Cases Age [0-4],2020-07-03 10:40:06 PM,AL,712
# Cases Age [25-49],2020-07-03 10:40:06 PM,AL,17178
