Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-07-27 08:22:31 PM,AR,5076
# Cases Age [18-24],2020-07-27 08:22:31 PM,AR,5406
# Cases Age [25-44],2020-07-27 08:22:31 PM,AR,14310
# Cases Age [45-64],2020-07-27 08:22:31 PM,AR,10471
# Cases Age [65+],2020-07-27 08:22:31 PM,AR,4184
# Cases Age [0-17],2020-07-28 08:07:12 PM,AR,5160
# Cases Age [18-24],2020-07-28 08:07:12 PM,AR,5506
# Cases Age [25-44],2020-07-28 08:07:12 PM,AR,14544
# Cases Age [45-64],2020-07-28 08:07:12 PM,AR,10681
# Cases Age [65+],2020-07-28 08:07:12 PM,AR,4290
# Cases Age [0-17],2020-07-29 08:17:48 PM,AR,5241
# Cases Age [18-24],2020-07-29 08:17:48 PM,AR,5629
# Cases Age [25-44],2020-07-29 08:17:48 PM,AR,14824
# Cases Age [45-64],2020-07-29 08:17:48 PM,AR,10876
# Cases Age [65+],2020-07-29 08:17:48 PM,AR,4398
# Cases Age [0-17],2020-07-30 08:37:18 PM,AR,5341
# Cases Age [18-24],2020-07-30 08:37:18 PM,AR,5732
# Cases Age [25-44],2020-07-30 08:37:18 PM,AR,15122
# Cases Age [45-64],2020-07-30 08:37:18 PM,AR,11087
# Cases Age [65+],2020-07-30 08:37:18 PM,AR,4477
# Cases Age [0-17],2020-07-31 08:04:35 PM,AR,5446
# Cases Age [18-24],2020-07-31 08:04:35 PM,AR,5821
# Cases Age [25-44],2020-07-31 08:04:35 PM,AR,15369
# Cases Age [45-64],2020-07-31 08:04:35 PM,AR,11295
# Cases Age [65+],2020-07-31 08:04:35 PM,AR,4580
# Cases Age [0-17],2020-08-01 08:12:35 PM,AR,5518
# Cases Age [18-24],2020-08-01 08:12:35 PM,AR,5931
# Cases Age [25-44],2020-08-01 08:12:35 PM,AR,15633
# Cases Age [45-64],2020-08-01 08:12:35 PM,AR,11440
# Cases Age [65+],2020-08-01 08:12:35 PM,AR,4651
# Cases Age [0-17],2020-08-02 08:23:42 PM,AR,5518
# Cases Age [18-24],2020-08-02 08:23:42 PM,AR,5931
# Cases Age [25-44],2020-08-02 08:23:42 PM,AR,15633
# Cases Age [45-64],2020-08-02 08:23:42 PM,AR,11440
# Cases Age [65+],2020-08-02 08:23:42 PM,AR,4651
# Cases Age [0-17],2020-08-03 08:13:46 PM,AR,5694
# Cases Age [18-24],2020-08-03 08:13:46 PM,AR,6132
# Cases Age [25-44],2020-08-03 08:13:46 PM,AR,16089
# Cases Age [45-64],2020-08-03 08:13:46 PM,AR,11836
# Cases Age [65+],2020-08-03 08:13:46 PM,AR,4846
# Cases Age [0-17],2020-08-04 08:00:11 PM,AR,5798
# Cases Age [18-24],2020-08-04 08:00:11 PM,AR,6241
# Cases Age [25-44],2020-08-04 08:00:11 PM,AR,16366
# Cases Age [45-64],2020-08-04 08:00:11 PM,AR,12035
# Cases Age [65+],2020-08-04 08:00:11 PM,AR,4941
# Cases Age [0-17],2020-08-05 08:05:28 PM,AR,5883
# Cases Age [18-24],2020-08-05 08:05:28 PM,AR,6368
# Cases Age [25-44],2020-08-05 08:05:28 PM,AR,16738
# Cases Age [45-64],2020-08-05 08:05:28 PM,AR,12254
# Cases Age [65+],2020-08-05 08:05:28 PM,AR,5050
# Cases Age [0-17],2020-08-06 08:00:58 PM,AR,5972
# Cases Age [18-24],2020-08-06 08:00:58 PM,AR,6458
