Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-04-06 01:18:52 AM,CA,1
# Cases Age [18-49],2020-04-06 01:18:52 AM,CA,49
# Cases Age [50-64],2020-04-06 01:18:52 AM,CA,27
# Cases Age [65+],2020-04-06 01:18:52 AM,CA,22
# Cases Age [Unknown],2020-04-06 01:18:52 AM,CA,0
# Cases Age [0-17],2020-04-06 06:26:37 PM,CA,1
# Cases Age [18-49],2020-04-06 06:26:37 PM,CA,50
# Cases Age [50-64],2020-04-06 06:26:37 PM,CA,27
# Cases Age [65+],2020-04-06 06:26:37 PM,CA,22
# Cases Age [Unknown],2020-04-06 06:26:37 PM,CA,0
# Cases Age [0-17],2020-04-07 11:20:20 PM,CA,1
# Cases Age [18-49],2020-04-07 11:20:20 PM,CA,49
# Cases Age [50-64],2020-04-07 11:20:20 PM,CA,27
# Cases Age [65+],2020-04-07 11:20:20 PM,CA,22
# Cases Age [Unknown],2020-04-07 11:20:20 PM,CA,0
# Cases Age [0-17],2020-04-08 06:26:06 PM,CA,1
# Cases Age [18-49],2020-04-08 06:26:06 PM,CA,49
# Cases Age [50-64],2020-04-08 06:26:06 PM,CA,27
# Cases Age [65+],2020-04-08 06:26:06 PM,CA,22
# Cases Age [Unknown],2020-04-08 06:26:06 PM,CA,0
# Cases Age [0-17],2020-04-09 05:34:36 PM,CA,1
# Cases Age [18-49],2020-04-09 05:34:36 PM,CA,49
# Cases Age [50-64],2020-04-09 05:34:36 PM,CA,27
# Cases Age [65+],2020-04-09 05:34:36 PM,CA,22
# Cases Age [Unknown],2020-04-09 05:34:36 PM,CA,0
# Cases Age [0-17],2020-04-10 06:56:00 PM,CA,1
# Cases Age [18-49],2020-04-10 06:56:00 PM,CA,49
# Cases Age [50-64],2020-04-10 06:56:00 PM,CA,27
# Cases Age [65+],2020-04-10 06:56:00 PM,CA,22
# Cases Age [Unknown],2020-04-10 06:56:00 PM,CA,0
# Cases Age [0-17],2020-04-11 04:56:13 PM,CA,1
# Cases Age [18-49],2020-04-11 04:56:13 PM,CA,49
# Cases Age [50-64],2020-04-11 04:56:13 PM,CA,27
# Cases Age [65+],2020-04-11 04:56:13 PM,CA,22
# Cases Age [Unknown],2020-04-11 04:56:13 PM,CA,0
# Cases Age [0-17],2020-04-12 06:00:20 PM,CA,2
# Cases Age [18-49],2020-04-12 06:00:20 PM,CA,49
# Cases Age [50-64],2020-04-12 06:00:20 PM,CA,27
# Cases Age [65+],2020-04-12 06:00:20 PM,CA,22
# Cases Age [Unknown],2020-04-12 06:00:20 PM,CA,0
# Cases Age [0-17],2020-04-14 01:39:46 AM,CA,2
# Cases Age [18-49],2020-04-14 01:39:46 AM,CA,48
# Cases Age [50-64],2020-04-14 01:39:46 AM,CA,27
# Cases Age [65+],2020-04-14 01:39:46 AM,CA,23
# Cases Age [Unknown],2020-04-14 01:39:46 AM,CA,0
# Cases Age [0-17],2020-04-14 08:36:07 PM,CA,2
# Cases Age [18-49],2020-04-14 08:36:07 PM,CA,48
# Cases Age [50-64],2020-04-14 08:36:07 PM,CA,27
# Cases Age [65+],2020-04-14 08:36:07 PM,CA,23
# Cases Age [Unknown],2020-04-14 08:36:07 PM,CA,0
# Cases Age [0-17],2020-04-15 07:12:54 PM,CA,2
# Cases Age [18-49],2020-04-15 07:12:54 PM,CA,48
# Cases Age [50-64],2020-04-15 07:12:54 PM,CA,27
# Cases Age [65+],2020-04-15 07:12:54 PM,CA,23
# Cases Age [Unknown],2020-04-15 07:12:54 PM,CA,0
# Cases Age [0-17],2020-04-16 06:32:16 PM,CA,2
# Cases Age [18-49],2020-04-16 06:32:16 PM,CA,48
# Cases Age [50-64],2020-04-16 06:32:16 PM,CA,27
# Cases Age [65+],2020-04-16 06:32:16 PM,CA,23
# Cases Age [Unknown],2020-04-16 06:32:16 PM,CA,0
# Cases Age [0-17],2020-04-17 05:54:07 PM,CA,2
# Cases Age [18-49],2020-04-17 05:54:07 PM,CA,48
# Cases Age [50-64],2020-04-17 05:54:07 PM,CA,27
# Cases Age [65+],2020-04-17 05:54:07 PM,CA,23
# Cases Age [Unknown],2020-04-17 05:54:07 PM,CA,0
# Cases Age [0-17],2020-04-18 05:42:15 PM,CA,2
# Cases Age [18-49],2020-04-18 05:42:15 PM,CA,48
# Cases Age [50-64],2020-04-18 05:42:15 PM,CA,27
# Cases Age [65+],2020-04-18 05:42:15 PM,CA,23
# Cases Age [Unknown],2020-04-18 05:42:15 PM,CA,0
# Cases Age [0-17],2020-04-19 06:20:23 PM,CA,2
# Cases Age [18-49],2020-04-19 06:20:23 PM,CA,47
# Cases Age [50-64],2020-04-19 06:20:23 PM,CA,27
# Cases Age [65+],2020-04-19 06:20:23 PM,CA,23
