Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-06-02,CO,602.73
# Cases Age [10-19],2020-06-02,CO,1240.2844
# Cases Age [20-29],2020-06-02,CO,4339.656
# Cases Age [30-39],2020-06-02,CO,4655.7544
# Cases Age [40-49],2020-06-02,CO,4612.893599999999
# Cases Age [50-59],2020-06-02,CO,4280.7224
# Cases Age [60-69],2020-06-02,CO,3021.6864
# Cases Age [70-79],2020-06-02,CO,1912.6631999999997
# Cases Age [80+],2020-06-02,CO,2065.3548
# Cases Age [Unknown],2020-06-02,CO,48.218399999999995
# Cases Age [0-9],2020-06-03,CO,616.968
# Cases Age [10-19],2020-06-03,CO,1263.702
# Cases Age [20-29],2020-06-03,CO,4391.838
# Cases Age [30-39],2020-06-03,CO,4703.027999999999
# Cases Age [40-49],2020-06-03,CO,4667.849999999999
# Cases Age [50-59],2020-06-03,CO,4313.364
# Cases Age [60-69],2020-06-03,CO,3046.9559999999997
# Cases Age [70-79],2020-06-03,CO,1929.3780000000002
# Cases Age [80+],2020-06-03,CO,2078.2079999999996
# Cases Age [Unknown],2020-06-03,CO,48.708
# Cases Age [0-9],2020-06-04,CO,626.544
# Cases Age [10-19],2020-06-04,CO,1294.1280000000002
# Cases Age [20-29],2020-06-04,CO,4465.152
# Cases Age [30-39],2020-06-04,CO,4755.168
# Cases Age [40-49],2020-06-04,CO,4714.128000000001
# Cases Age [50-59],2020-06-04,CO,4361.183999999999
# Cases Age [60-69],2020-06-04,CO,3069.7920000000004
# Cases Age [70-79],2020-06-04,CO,1937.088
# Cases Age [80+],2020-06-04,CO,2087.5679999999998
# Cases Age [Unknown],2020-06-04,CO,49.248
# Cases Age [0-9],2020-06-05,CO,632.3835
# Cases Age [10-19],2020-06-05,CO,1319.997
# Cases Age [20-29],2020-06-05,CO,4517.814
# Cases Age [30-39],2020-06-05,CO,4805.009999999999
# Cases Age [40-49],2020-06-05,CO,4755.303
# Cases Age [50-59],2020-06-05,CO,4401.830999999999
# Cases Age [60-69],2020-06-05,CO,3087.357
# Cases Age [70-79],2020-06-05,CO,1952.3805
# Cases Age [80+],2020-06-05,CO,2107.0245
# Cases Age [Unknown],2020-06-05,CO,41.4225
# Cases Age [0-9],2020-06-06,CO,643.2887999999999
# Cases Age [10-19],2020-06-06,CO,1339.4887999999999
# Cases Age [20-29],2020-06-06,CO,4575.4264
# Cases Age [30-39],2020-06-06,CO,4856.6912
# Cases Age [40-49],2020-06-06,CO,4789.856
# Cases Age [50-59],2020-06-06,CO,4427.832
# Cases Age [60-69],2020-06-06,CO,3102.2672
# Cases Age [70-79],2020-06-06,CO,1957.7144
# Cases Age [80+],2020-06-06,CO,2119.2328
# Cases Age [Unknown],2020-06-06,CO,38.98720000000001
# Cases Age [0-9],2020-06-07,CO,644.023
# Cases Age [10-19],2020-06-07,CO,1358.0484999999999
# Cases Age [20-29],2020-06-07,CO,4603.3644
# Cases Age [30-39],2020-06-07,CO,4886.1745
# Cases Age [40-49],2020-06-07,CO,4824.5723
# Cases Age [50-59],2020-06-07,CO,4446.5588
# Cases Age [60-69],2020-06-07,CO,3110.9111
# Cases Age [70-79],2020-06-07,CO,1965.6702
# Cases Age [80+],2020-06-07,CO,2125.2759
# Cases Age [Unknown],2020-06-07,CO,39.20140000000001
# Cases Age [0-9],2020-06-08,CO,653.8456
# Cases Age [10-19],2020-06-08,CO,1378.1487
# Cases Age [20-29],2020-06-08,CO,4641.7401
# Cases Age [30-39],2020-06-08,CO,4920.7518
# Cases Age [40-49],2020-06-08,CO,4844.657700000001
# Cases Age [50-59],2020-06-08,CO,4469.8238
# Cases Age [60-69],2020-06-08,CO,3122.6764
# Cases Age [70-79],2020-06-08,CO,1975.6282999999999
# Cases Age [80+],2020-06-08,CO,2133.4531
