Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-07-12 00:00:00,CT,689
# Cases Age [10-19],2020-07-12 00:00:00,CT,1458
# Cases Age [20-29],2020-07-12 00:00:00,CT,5863
# Cases Age [30-39],2020-07-12 00:00:00,CT,6741
# Cases Age [40-49],2020-07-12 00:00:00,CT,6680
# Cases Age [50-59],2020-07-12 00:00:00,CT,7989
# Cases Age [60-69],2020-07-12 00:00:00,CT,6607
# Cases Age [70-79],2020-07-12 00:00:00,CT,4441
# Cases Age [80+],2020-07-12 00:00:00,CT,6986
# Confirmed Cases Age [0-9],2020-07-12 00:00:00,CT,666
# Confirmed Cases Age [10-19],2020-07-12 00:00:00,CT,1401
# Confirmed Cases Age [20-29],2020-07-12 00:00:00,CT,5658
# Confirmed Cases Age [30-39],2020-07-12 00:00:00,CT,6573
# Confirmed Cases Age [40-49],2020-07-12 00:00:00,CT,6493
# Confirmed Cases Age [50-59],2020-07-12 00:00:00,CT,7752
# Confirmed Cases Age [60-69],2020-07-12 00:00:00,CT,6396
# Confirmed Cases Age [70-79],2020-07-12 00:00:00,CT,4207
# Confirmed Cases Age [80+],2020-07-12 00:00:00,CT,6328
# Probable Cases Age [0-9],2020-07-12 00:00:00,CT,23
# Probable Cases Age [10-19],2020-07-12 00:00:00,CT,57
# Probable Cases Age [20-29],2020-07-12 00:00:00,CT,205
# Probable Cases Age [30-39],2020-07-12 00:00:00,CT,168
# Probable Cases Age [40-49],2020-07-12 00:00:00,CT,187
# Probable Cases Age [50-59],2020-07-12 00:00:00,CT,237
# Probable Cases Age [60-69],2020-07-12 00:00:00,CT,211
# Probable Cases Age [70-79],2020-07-12 00:00:00,CT,234
# Probable Cases Age [80+],2020-07-12 00:00:00,CT,658
# Cases Age [0-9],2020-07-09 00:00:00,CT,682
# Cases Age [10-19],2020-07-09 00:00:00,CT,1430
# Cases Age [20-29],2020-07-09 00:00:00,CT,5807
# Cases Age [30-39],2020-07-09 00:00:00,CT,6707
# Cases Age [40-49],2020-07-09 00:00:00,CT,6655
# Cases Age [50-59],2020-07-09 00:00:00,CT,7956
# Cases Age [60-69],2020-07-09 00:00:00,CT,6589
# Cases Age [70-79],2020-07-09 00:00:00,CT,4434
# Cases Age [80+],2020-07-09 00:00:00,CT,6971
# Confirmed Cases Age [0-9],2020-07-09 00:00:00,CT,659
# Confirmed Cases Age [10-19],2020-07-09 00:00:00,CT,1374
# Confirmed Cases Age [20-29],2020-07-09 00:00:00,CT,5603
# Confirmed Cases Age [30-39],2020-07-09 00:00:00,CT,6540
# Confirmed Cases Age [40-49],2020-07-09 00:00:00,CT,6468
# Confirmed Cases Age [50-59],2020-07-09 00:00:00,CT,7721
# Confirmed Cases Age [60-69],2020-07-09 00:00:00,CT,6378
# Confirmed Cases Age [70-79],2020-07-09 00:00:00,CT,4196
# Confirmed Cases Age [80+],2020-07-09 00:00:00,CT,6320
# Probable Cases Age [0-9],2020-07-09 00:00:00,CT,23
# Probable Cases Age [10-19],2020-07-09 00:00:00,CT,56
# Probable Cases Age [20-29],2020-07-09 00:00:00,CT,204
# Probable Cases Age [30-39],2020-07-09 00:00:00,CT,167
# Probable Cases Age [40-49],2020-07-09 00:00:00,CT,187
# Probable Cases Age [50-59],2020-07-09 00:00:00,CT,235
# Probable Cases Age [60-69],2020-07-09 00:00:00,CT,211
# Probable Cases Age [70-79],2020-07-09 00:00:00,CT,238
# Probable Cases Age [80+],2020-07-09 00:00:00,CT,651
# Cases Age [0-9],2020-07-08 00:00:00,CT,678
# Cases Age [10-19],2020-07-08 00:00:00,CT,1422
# Cases Age [20-29],2020-07-08 00:00:00,CT,5792
# Cases Age [30-39],2020-07-08 00:00:00,CT,6701
# Cases Age [40-49],2020-07-08 00:00:00,CT,6645
# Cases Age [50-59],2020-07-08 00:00:00,CT,7945
# Cases Age [60-69],2020-07-08 00:00:00,CT,6579
# Cases Age [70-79],2020-07-08 00:00:00,CT,4430
# Cases Age [80+],2020-07-08 00:00:00,CT,6961
# Confirmed Cases Age [0-9],2020-07-08 00:00:00,CT,655
# Confirmed Cases Age [10-19],2020-07-08 00:00:00,CT,1366
# Confirmed Cases Age [20-29],2020-07-08 00:00:00,CT,5588
# Confirmed Cases Age [30-39],2020-07-08 00:00:00,CT,6532
# Confirmed Cases Age [40-49],2020-07-08 00:00:00,CT,6457
# Confirmed Cases Age [50-59],2020-07-08 00:00:00,CT,7709
# Confirmed Cases Age [60-69],2020-07-08 00:00:00,CT,6366
# Confirmed Cases Age [70-79],2020-07-08 00:00:00,CT,4192
# Confirmed Cases Age [80+],2020-07-08 00:00:00,CT,6310
# Probable Cases Age [0-9],2020-07-08 00:00:00,CT,23
# Probable Cases Age [10-19],2020-07-08 00:00:00,CT,56
# Probable Cases Age [20-29],2020-07-08 00:00:00,CT,204
# Probable Cases Age [30-39],2020-07-08 00:00:00,CT,169
# Probable Cases Age [40-49],2020-07-08 00:00:00,CT,188
# Probable Cases Age [50-59],2020-07-08 00:00:00,CT,236
# Probable Cases Age [60-69],2020-07-08 00:00:00,CT,213
# Probable Cases Age [70-79],2020-07-08 00:00:00,CT,238
# Probable Cases Age [80+],2020-07-08 00:00:00,CT,651
# Cases Age [0-9],2020-07-07 00:00:00,CT,674
# Cases Age [10-19],2020-07-07 00:00:00,CT,1412
# Cases Age [20-29],2020-07-07 00:00:00,CT,5761
# Cases Age [30-39],2020-07-07 00:00:00,CT,6685
# Cases Age [40-49],2020-07-07 00:00:00,CT,6633
# Cases Age [50-59],2020-07-07 00:00:00,CT,7935
# Cases Age [60-69],2020-07-07 00:00:00,CT,6574
# Cases Age [70-79],2020-07-07 00:00:00,CT,4424
# Cases Age [80+],2020-07-07 00:00:00,CT,6955
# Confirmed Cases Age [0-9],2020-07-07 00:00:00,CT,651
# Confirmed Cases Age [10-19],2020-07-07 00:00:00,CT,1357
# Confirmed Cases Age [20-29],2020-07-07 00:00:00,CT,5558
# Confirmed Cases Age [30-39],2020-07-07 00:00:00,CT,6516
# Confirmed Cases Age [40-49],2020-07-07 00:00:00,CT,6448
# Confirmed Cases Age [50-59],2020-07-07 00:00:00,CT,7701
# Confirmed Cases Age [60-69],2020-07-07 00:00:00,CT,6360
# Confirmed Cases Age [70-79],2020-07-07 00:00:00,CT,4186
# Confirmed Cases Age [80+],2020-07-07 00:00:00,CT,6304
# Probable Cases Age [0-9],2020-07-07 00:00:00,CT,23
# Probable Cases Age [10-19],2020-07-07 00:00:00,CT,55
# Probable Cases Age [20-29],2020-07-07 00:00:00,CT,203
# Probable Cases Age [30-39],2020-07-07 00:00:00,CT,169
# Probable Cases Age [40-49],2020-07-07 00:00:00,CT,185
# Probable Cases Age [50-59],2020-07-07 00:00:00,CT,234
# Probable Cases Age [60-69],2020-07-07 00:00:00,CT,214
# Probable Cases Age [70-79],2020-07-07 00:00:00,CT,238
# Probable Cases Age [80+],2020-07-07 00:00:00,CT,651
# Cases Age [0-9],2020-07-06 00:00:00,CT,670
# Cases Age [10-19],2020-07-06 00:00:00,CT,1403
# Cases Age [20-29],2020-07-06 00:00:00,CT,5750
# Cases Age [30-39],2020-07-06 00:00:00,CT,6670
# Cases Age [40-49],2020-07-06 00:00:00,CT,6622
# Cases Age [50-59],2020-07-06 00:00:00,CT,7926
# Cases Age [60-69],2020-07-06 00:00:00,CT,6565
# Cases Age [70-79],2020-07-06 00:00:00,CT,4417
# Cases Age [80+],2020-07-06 00:00:00,CT,6952
# Confirmed Cases Age [0-9],2020-07-06 00:00:00,CT,647
# Confirmed Cases Age [10-19],2020-07-06 00:00:00,CT,1349
# Confirmed Cases Age [20-29],2020-07-06 00:00:00,CT,5547
# Confirmed Cases Age [30-39],2020-07-06 00:00:00,CT,6502
# Confirmed Cases Age [40-49],2020-07-06 00:00:00,CT,6438
