Column Name,Scrape Time,State,Value
# Cases Age [0-4]: Female,2020-06-15 05:08:47 PM,DC,60.0
# Cases Age [0-4]: Male,2020-06-15 05:08:47 PM,DC,60.0
# Cases Age [15-19]: Female,2020-06-15 05:08:47 PM,DC,116.0
# Cases Age [15-19]: Male,2020-06-15 05:08:47 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-15 05:08:47 PM,DC,322.0
# Cases Age [20-24]: Male,2020-06-15 05:08:47 PM,DC,237.0
# Cases Age [25-34]: Female,2020-06-15 05:08:47 PM,DC,950.0
# Cases Age [25-34]: Male,2020-06-15 05:08:47 PM,DC,903.0
# Cases Age [35-44]: Female,2020-06-15 05:08:47 PM,DC,874.0
# Cases Age [35-44]: Male,2020-06-15 05:08:47 PM,DC,894.0
# Cases Age [45-54]: Female,2020-06-15 05:08:47 PM,DC,716.0
# Cases Age [45-54]: Male,2020-06-15 05:08:47 PM,DC,792.0
# Cases Age [5-14]: Female,2020-06-15 05:08:47 PM,DC,117.0
# Cases Age [5-14]: Male,2020-06-15 05:08:47 PM,DC,115.0
# Cases Age [55-64]: Female,2020-06-15 05:08:47 PM,DC,739.0
# Cases Age [55-64]: Male,2020-06-15 05:08:47 PM,DC,853.0
# Cases Age [65-74]: Female,2020-06-15 05:08:47 PM,DC,489.0
# Cases Age [65-74]: Male,2020-06-15 05:08:47 PM,DC,532.0
# Cases Age [75+]: Female,2020-06-15 05:08:47 PM,DC,526.0
# Cases Age [75+]: Male,2020-06-15 05:08:47 PM,DC,380.0
# Cases Age [0-4]: Female,2020-06-16 08:26:59 PM,DC,60.0
# Cases Age [0-4]: Male,2020-06-16 08:26:59 PM,DC,61.0
# Cases Age [15-19]: Female,2020-06-16 08:26:59 PM,DC,117.0
# Cases Age [15-19]: Male,2020-06-16 08:26:59 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-16 08:26:59 PM,DC,321.0
# Cases Age [20-24]: Male,2020-06-16 08:26:59 PM,DC,237.0
# Cases Age [25-34]: Female,2020-06-16 08:26:59 PM,DC,955.0
# Cases Age [25-34]: Male,2020-06-16 08:26:59 PM,DC,906.0
# Cases Age [35-44]: Female,2020-06-16 08:26:59 PM,DC,878.0
# Cases Age [35-44]: Male,2020-06-16 08:26:59 PM,DC,892.0
# Cases Age [45-54]: Female,2020-06-16 08:26:59 PM,DC,717.0
# Cases Age [45-54]: Male,2020-06-16 08:26:59 PM,DC,792.0
# Cases Age [5-14]: Female,2020-06-16 08:26:59 PM,DC,118.0
# Cases Age [5-14]: Male,2020-06-16 08:26:59 PM,DC,116.0
# Cases Age [55-64]: Female,2020-06-16 08:26:59 PM,DC,738.0
# Cases Age [55-64]: Male,2020-06-16 08:26:59 PM,DC,855.0
# Cases Age [65-74]: Female,2020-06-16 08:26:59 PM,DC,490.0
# Cases Age [65-74]: Male,2020-06-16 08:26:59 PM,DC,531.0
# Cases Age [75+]: Female,2020-06-16 08:26:59 PM,DC,528.0
# Cases Age [75+]: Male,2020-06-16 08:26:59 PM,DC,380.0
# Cases Age [0-4]: Female,2020-06-17 08:30:51 PM,DC,60.0
# Cases Age [0-4]: Male,2020-06-17 08:30:51 PM,DC,61.0
# Cases Age [15-19]: Female,2020-06-17 08:30:51 PM,DC,119.0
# Cases Age [15-19]: Male,2020-06-17 08:30:51 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-17 08:30:51 PM,DC,323.0
# Cases Age [20-24]: Male,2020-06-17 08:30:51 PM,DC,237.0
# Cases Age [25-34]: Female,2020-06-17 08:30:51 PM,DC,958.0
# Cases Age [25-34]: Male,2020-06-17 08:30:51 PM,DC,909.0
# Cases Age [35-44]: Female,2020-06-17 08:30:51 PM,DC,879.0
# Cases Age [35-44]: Male,2020-06-17 08:30:51 PM,DC,896.0
# Cases Age [45-54]: Female,2020-06-17 08:30:51 PM,DC,719.0
# Cases Age [45-54]: Male,2020-06-17 08:30:51 PM,DC,792.0
# Cases Age [5-14]: Female,2020-06-17 08:30:51 PM,DC,118.0
# Cases Age [5-14]: Male,2020-06-17 08:30:51 PM,DC,117.0
# Cases Age [55-64]: Female,2020-06-17 08:30:51 PM,DC,737.0
# Cases Age [55-64]: Male,2020-06-17 08:30:51 PM,DC,858.0
# Cases Age [65-74]: Female,2020-06-17 08:30:51 PM,DC,492.0
# Cases Age [65-74]: Male,2020-06-17 08:30:51 PM,DC,534.0
# Cases Age [75+]: Female,2020-06-17 08:30:51 PM,DC,529.0
# Cases Age [75+]: Male,2020-06-17 08:30:51 PM,DC,382.0
# Cases Age [0-4]: Female,2020-06-18 09:02:44 PM,DC,60.0
# Cases Age [0-4]: Male,2020-06-18 09:02:44 PM,DC,61.0
# Cases Age [15-19]: Female,2020-06-18 09:02:44 PM,DC,119.0
# Cases Age [15-19]: Male,2020-06-18 09:02:44 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-18 09:02:44 PM,DC,323.0
# Cases Age [20-24]: Male,2020-06-18 09:02:44 PM,DC,237.0
# Cases Age [25-34]: Female,2020-06-18 09:02:44 PM,DC,958.0
# Cases Age [25-34]: Male,2020-06-18 09:02:44 PM,DC,909.0
# Cases Age [35-44]: Female,2020-06-18 09:02:44 PM,DC,879.0
# Cases Age [35-44]: Male,2020-06-18 09:02:44 PM,DC,896.0
# Cases Age [45-54]: Female,2020-06-18 09:02:44 PM,DC,719.0
# Cases Age [45-54]: Male,2020-06-18 09:02:44 PM,DC,792.0
# Cases Age [5-14]: Female,2020-06-18 09:02:44 PM,DC,118.0
# Cases Age [5-14]: Male,2020-06-18 09:02:44 PM,DC,117.0
# Cases Age [55-64]: Female,2020-06-18 09:02:44 PM,DC,737.0
# Cases Age [55-64]: Male,2020-06-18 09:02:44 PM,DC,858.0
# Cases Age [65-74]: Female,2020-06-18 09:02:44 PM,DC,492.0
# Cases Age [65-74]: Male,2020-06-18 09:02:44 PM,DC,534.0
# Cases Age [75+]: Female,2020-06-18 09:02:44 PM,DC,529.0
# Cases Age [75+]: Male,2020-06-18 09:02:44 PM,DC,382.0
# Cases Age [0-4]: Female,2020-06-19 07:43:59 PM,DC,62.0
# Cases Age [0-4]: Male,2020-06-19 07:43:59 PM,DC,61.0
# Cases Age [15-19]: Female,2020-06-19 07:43:59 PM,DC,119.0
# Cases Age [15-19]: Male,2020-06-19 07:43:59 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-19 07:43:59 PM,DC,326.0
# Cases Age [20-24]: Male,2020-06-19 07:43:59 PM,DC,240.0
# Cases Age [25-34]: Female,2020-06-19 07:43:59 PM,DC,976.0
# Cases Age [25-34]: Male,2020-06-19 07:43:59 PM,DC,919.0
# Cases Age [35-44]: Female,2020-06-19 07:43:59 PM,DC,889.0
# Cases Age [35-44]: Male,2020-06-19 07:43:59 PM,DC,906.0
# Cases Age [45-54]: Female,2020-06-19 07:43:59 PM,DC,727.0
# Cases Age [45-54]: Male,2020-06-19 07:43:59 PM,DC,796.0
# Cases Age [5-14]: Female,2020-06-19 07:43:59 PM,DC,120.0
# Cases Age [5-14]: Male,2020-06-19 07:43:59 PM,DC,119.0
# Cases Age [55-64]: Female,2020-06-19 07:43:59 PM,DC,750.0
# Cases Age [55-64]: Male,2020-06-19 07:43:59 PM,DC,867.0
# Cases Age [65-74]: Female,2020-06-19 07:43:59 PM,DC,495.0
# Cases Age [65-74]: Male,2020-06-19 07:43:59 PM,DC,536.0
# Cases Age [75+]: Female,2020-06-19 07:43:59 PM,DC,532.0
# Cases Age [75+]: Male,2020-06-19 07:43:59 PM,DC,385.0
# Cases Age [0-4]: Female,2020-06-20 09:17:52 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-20 09:17:52 PM,DC,61.0
# Cases Age [15-19]: Female,2020-06-20 09:17:52 PM,DC,119.0
# Cases Age [15-19]: Male,2020-06-20 09:17:52 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-20 09:17:52 PM,DC,327.0
# Cases Age [20-24]: Male,2020-06-20 09:17:52 PM,DC,242.0
# Cases Age [25-34]: Female,2020-06-20 09:17:52 PM,DC,980.0
# Cases Age [25-34]: Male,2020-06-20 09:17:52 PM,DC,922.0
# Cases Age [35-44]: Female,2020-06-20 09:17:52 PM,DC,892.0
# Cases Age [35-44]: Male,2020-06-20 09:17:52 PM,DC,911.0
# Cases Age [45-54]: Female,2020-06-20 09:17:52 PM,DC,730.0
# Cases Age [45-54]: Male,2020-06-20 09:17:52 PM,DC,800.0
# Cases Age [5-14]: Female,2020-06-20 09:17:52 PM,DC,120.0
# Cases Age [5-14]: Male,2020-06-20 09:17:52 PM,DC,121.0
# Cases Age [55-64]: Female,2020-06-20 09:17:52 PM,DC,750.0
# Cases Age [55-64]: Male,2020-06-20 09:17:52 PM,DC,869.0
# Cases Age [65-74]: Female,2020-06-20 09:17:52 PM,DC,495.0
# Cases Age [65-74]: Male,2020-06-20 09:17:52 PM,DC,537.0
# Cases Age [75+]: Female,2020-06-20 09:17:52 PM,DC,533.0
# Cases Age [75+]: Male,2020-06-20 09:17:52 PM,DC,385.0
# Cases Age [0-4]: Female,2020-06-21 08:48:39 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-21 08:48:39 PM,DC,62.0
# Cases Age [15-19]: Female,2020-06-21 08:48:39 PM,DC,119.0
# Cases Age [15-19]: Male,2020-06-21 08:48:39 PM,DC,95.0
# Cases Age [20-24]: Female,2020-06-21 08:48:39 PM,DC,328.0
# Cases Age [20-24]: Male,2020-06-21 08:48:39 PM,DC,244.0
# Cases Age [25-34]: Female,2020-06-21 08:48:39 PM,DC,986.0
# Cases Age [25-34]: Male,2020-06-21 08:48:39 PM,DC,926.0
# Cases Age [35-44]: Female,2020-06-21 08:48:39 PM,DC,894.0
# Cases Age [35-44]: Male,2020-06-21 08:48:39 PM,DC,914.0
# Cases Age [45-54]: Female,2020-06-21 08:48:39 PM,DC,730.0
# Cases Age [45-54]: Male,2020-06-21 08:48:39 PM,DC,804.0
# Cases Age [5-14]: Female,2020-06-21 08:48:39 PM,DC,120.0
# Cases Age [5-14]: Male,2020-06-21 08:48:39 PM,DC,122.0
# Cases Age [55-64]: Female,2020-06-21 08:48:39 PM,DC,753.0
# Cases Age [55-64]: Male,2020-06-21 08:48:39 PM,DC,874.0
# Cases Age [65-74]: Female,2020-06-21 08:48:39 PM,DC,497.0
# Cases Age [65-74]: Male,2020-06-21 08:48:39 PM,DC,538.0
# Cases Age [75+]: Female,2020-06-21 08:48:39 PM,DC,533.0
# Cases Age [75+]: Male,2020-06-21 08:48:39 PM,DC,386.0
# Cases Age [0-4]: Female,2020-06-22 07:52:58 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-22 07:52:58 PM,DC,64.0
# Cases Age [15-19]: Female,2020-06-22 07:52:58 PM,DC,119.0
# Cases Age [15-19]: Male,2020-06-22 07:52:58 PM,DC,96.0
# Cases Age [20-24]: Female,2020-06-22 07:52:58 PM,DC,331.0
# Cases Age [20-24]: Male,2020-06-22 07:52:58 PM,DC,244.0
# Cases Age [25-34]: Female,2020-06-22 07:52:58 PM,DC,991.0
# Cases Age [25-34]: Male,2020-06-22 07:52:58 PM,DC,934.0
# Cases Age [35-44]: Female,2020-06-22 07:52:58 PM,DC,898.0
# Cases Age [35-44]: Male,2020-06-22 07:52:58 PM,DC,917.0
# Cases Age [45-54]: Female,2020-06-22 07:52:58 PM,DC,732.0
# Cases Age [45-54]: Male,2020-06-22 07:52:58 PM,DC,805.0
# Cases Age [5-14]: Female,2020-06-22 07:52:58 PM,DC,122.0
# Cases Age [5-14]: Male,2020-06-22 07:52:58 PM,DC,123.0
# Cases Age [55-64]: Female,2020-06-22 07:52:58 PM,DC,755.0
# Cases Age [55-64]: Male,2020-06-22 07:52:58 PM,DC,875.0
# Cases Age [65-74]: Female,2020-06-22 07:52:58 PM,DC,498.0
# Cases Age [65-74]: Male,2020-06-22 07:52:58 PM,DC,538.0
# Cases Age [75+]: Female,2020-06-22 07:52:58 PM,DC,534.0
# Cases Age [75+]: Male,2020-06-22 07:52:58 PM,DC,387.0
# Cases Age [0-4]: Female,2020-06-23 07:21:01 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-23 07:21:01 PM,DC,64.0
# Cases Age [15-19]: Female,2020-06-23 07:21:01 PM,DC,120.0
# Cases Age [15-19]: Male,2020-06-23 07:21:01 PM,DC,96.0
# Cases Age [20-24]: Female,2020-06-23 07:21:01 PM,DC,334.0
# Cases Age [20-24]: Male,2020-06-23 07:21:01 PM,DC,244.0
# Cases Age [25-34]: Female,2020-06-23 07:21:01 PM,DC,993.0
# Cases Age [25-34]: Male,2020-06-23 07:21:01 PM,DC,939.0
# Cases Age [35-44]: Female,2020-06-23 07:21:01 PM,DC,902.0
# Cases Age [35-44]: Male,2020-06-23 07:21:01 PM,DC,919.0
# Cases Age [45-54]: Female,2020-06-23 07:21:01 PM,DC,733.0
# Cases Age [45-54]: Male,2020-06-23 07:21:01 PM,DC,808.0
# Cases Age [5-14]: Female,2020-06-23 07:21:01 PM,DC,123.0
# Cases Age [5-14]: Male,2020-06-23 07:21:01 PM,DC,124.0
# Cases Age [55-64]: Female,2020-06-23 07:21:01 PM,DC,760.0
# Cases Age [55-64]: Male,2020-06-23 07:21:01 PM,DC,877.0
# Cases Age [65-74]: Female,2020-06-23 07:21:01 PM,DC,500.0
# Cases Age [65-74]: Male,2020-06-23 07:21:01 PM,DC,540.0
# Cases Age [75+]: Female,2020-06-23 07:21:01 PM,DC,535.0
# Cases Age [75+]: Male,2020-06-23 07:21:01 PM,DC,388.0
# Cases Age [0-4]: Female,2020-06-24 08:29:56 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-24 08:29:56 PM,DC,64.0
# Cases Age [15-19]: Female,2020-06-24 08:29:56 PM,DC,120.0
# Cases Age [15-19]: Male,2020-06-24 08:29:56 PM,DC,96.0
# Cases Age [20-24]: Female,2020-06-24 08:29:56 PM,DC,335.0
# Cases Age [20-24]: Male,2020-06-24 08:29:56 PM,DC,245.0
# Cases Age [25-34]: Female,2020-06-24 08:29:56 PM,DC,999.0
# Cases Age [25-34]: Male,2020-06-24 08:29:56 PM,DC,942.0
# Cases Age [35-44]: Female,2020-06-24 08:29:56 PM,DC,904.0
# Cases Age [35-44]: Male,2020-06-24 08:29:56 PM,DC,922.0
# Cases Age [45-54]: Female,2020-06-24 08:29:56 PM,DC,734.0
# Cases Age [45-54]: Male,2020-06-24 08:29:56 PM,DC,811.0
# Cases Age [5-14]: Female,2020-06-24 08:29:56 PM,DC,125.0
# Cases Age [5-14]: Male,2020-06-24 08:29:56 PM,DC,126.0
# Cases Age [55-64]: Female,2020-06-24 08:29:56 PM,DC,761.0
# Cases Age [55-64]: Male,2020-06-24 08:29:56 PM,DC,881.0
# Cases Age [65-74]: Female,2020-06-24 08:29:56 PM,DC,500.0
# Cases Age [65-74]: Male,2020-06-24 08:29:56 PM,DC,544.0
# Cases Age [75+]: Female,2020-06-24 08:29:56 PM,DC,535.0
# Cases Age [75+]: Male,2020-06-24 08:29:56 PM,DC,389.0
# Cases Age [0-4]: Female,2020-06-25 07:51:23 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-25 07:51:23 PM,DC,64.0
# Cases Age [15-19]: Female,2020-06-25 07:51:23 PM,DC,122.0
# Cases Age [15-19]: Male,2020-06-25 07:51:23 PM,DC,96.0
# Cases Age [20-24]: Female,2020-06-25 07:51:23 PM,DC,335.0
# Cases Age [20-24]: Male,2020-06-25 07:51:23 PM,DC,246.0
# Cases Age [25-34]: Female,2020-06-25 07:51:23 PM,DC,1000.0
# Cases Age [25-34]: Male,2020-06-25 07:51:23 PM,DC,947.0
# Cases Age [35-44]: Female,2020-06-25 07:51:23 PM,DC,908.0
# Cases Age [35-44]: Male,2020-06-25 07:51:23 PM,DC,924.0
# Cases Age [45-54]: Female,2020-06-25 07:51:23 PM,DC,737.0
# Cases Age [45-54]: Male,2020-06-25 07:51:23 PM,DC,815.0
# Cases Age [5-14]: Female,2020-06-25 07:51:23 PM,DC,126.0
# Cases Age [5-14]: Male,2020-06-25 07:51:23 PM,DC,126.0
# Cases Age [55-64]: Female,2020-06-25 07:51:23 PM,DC,761.0
# Cases Age [55-64]: Male,2020-06-25 07:51:23 PM,DC,882.0
# Cases Age [65-74]: Female,2020-06-25 07:51:23 PM,DC,500.0
# Cases Age [65-74]: Male,2020-06-25 07:51:23 PM,DC,544.0
# Cases Age [75+]: Female,2020-06-25 07:51:23 PM,DC,535.0
# Cases Age [75+]: Male,2020-06-25 07:51:23 PM,DC,391.0
# Cases Age [0-4]: Female,2020-06-26 07:33:21 PM,DC,63.0
# Cases Age [0-4]: Male,2020-06-26 07:33:21 PM,DC,64.0
