Column Name,Scrape Time,State,Value
# Cases Age [0-4],2020-06-16 14:53:13.692716,DE,123
# Cases Age [18-34],2020-06-16 14:53:13.692716,DE,2757
# Cases Age [35-49],2020-06-16 14:53:13.692716,DE,2652
# Cases Age [5-17],2020-06-16 14:53:13.692716,DE,491
# Cases Age [50-64],2020-06-16 14:53:13.692716,DE,2387
# Cases Age [65+],2020-06-16 14:53:13.692716,DE,1993
# Cases Age [0-4],2020-06-16 14:53:13.692716,DE,104.03
# Cases Age [18-34],2020-06-16 14:53:13.692716,DE,2808.8100000000004
# Cases Age [35-49],2020-06-16 14:53:13.692716,DE,2600.75
# Cases Age [5-17],2020-06-16 14:53:13.692716,DE,520.15
# Cases Age [50-64],2020-06-16 14:53:13.692716,DE,2392.69
# Cases Age [65+],2020-06-16 14:53:13.692716,DE,1976.57
# Cases Age [0-4],2020-06-16 21:44:41.743752,DE,123
# Cases Age [18-34],2020-06-16 21:44:41.743752,DE,2757
# Cases Age [35-49],2020-06-16 21:44:41.743752,DE,2652
# Cases Age [5-17],2020-06-16 21:44:41.743752,DE,491
# Cases Age [50-64],2020-06-16 21:44:41.743752,DE,2387
# Cases Age [65+],2020-06-16 21:44:41.743752,DE,1993
# Cases Age [0-4],2020-06-16 21:44:41.743752,DE,104.03
# Cases Age [18-34],2020-06-16 21:44:41.743752,DE,2808.8100000000004
# Cases Age [35-49],2020-06-16 21:44:41.743752,DE,2600.75
# Cases Age [5-17],2020-06-16 21:44:41.743752,DE,520.15
# Cases Age [50-64],2020-06-16 21:44:41.743752,DE,2392.69
# Cases Age [65+],2020-06-16 21:44:41.743752,DE,1976.57
# Cases Age [0-4],2020-06-17 21:14:47.199705,DE,124
# Cases Age [18-34],2020-06-17 21:14:47.199705,DE,2761
# Cases Age [35-49],2020-06-17 21:14:47.199705,DE,2660
# Cases Age [5-17],2020-06-17 21:14:47.199705,DE,491
# Cases Age [50-64],2020-06-17 21:14:47.199705,DE,2390
# Cases Age [65+],2020-06-17 21:14:47.199705,DE,2018
# Cases Age [0-4],2020-06-17 21:14:47.199705,DE,104.44
# Cases Age [18-34],2020-06-17 21:14:47.199705,DE,2715.44
# Cases Age [35-49],2020-06-17 21:14:47.199705,DE,2611.0
# Cases Age [5-17],2020-06-17 21:14:47.199705,DE,522.2
# Cases Age [50-64],2020-06-17 21:14:47.199705,DE,2402.12
# Cases Age [65+],2020-06-17 21:14:47.199705,DE,1984.3600000000001
# Cases Age [0-4],2020-06-18 14:47:44.465537,DE,124
# Cases Age [18-34],2020-06-18 14:47:44.465537,DE,2784
# Cases Age [35-49],2020-06-18 14:47:44.465537,DE,2670
# Cases Age [5-17],2020-06-18 14:47:44.465537,DE,494
# Cases Age [50-64],2020-06-18 14:47:44.465537,DE,2402
# Cases Age [65+],2020-06-18 14:47:44.465537,DE,2025
# Cases Age [0-4],2020-06-18 14:47:44.465537,DE,104.99000000000001
# Cases Age [18-34],2020-06-18 14:47:44.465537,DE,2834.73
# Cases Age [35-49],2020-06-18 14:47:44.465537,DE,2624.75
# Cases Age [5-17],2020-06-18 14:47:44.465537,DE,524.95
# Cases Age [50-64],2020-06-18 14:47:44.465537,DE,2414.77
# Cases Age [65+],2020-06-18 14:47:44.465537,DE,1994.81
# Cases Age [0-4],2020-06-18 21:02:46.610361,DE,124
# Cases Age [18-34],2020-06-18 21:02:46.610361,DE,2784
# Cases Age [35-49],2020-06-18 21:02:46.610361,DE,2670
# Cases Age [5-17],2020-06-18 21:02:46.610361,DE,494
# Cases Age [50-64],2020-06-18 21:02:46.610361,DE,2402
# Cases Age [65+],2020-06-18 21:02:46.610361,DE,2025
# Cases Age [0-4],2020-06-18 21:02:46.610361,DE,104.99000000000001
# Cases Age [18-34],2020-06-18 21:02:46.610361,DE,2834.73
# Cases Age [35-49],2020-06-18 21:02:46.610361,DE,2624.75
# Cases Age [5-17],2020-06-18 21:02:46.610361,DE,524.95
# Cases Age [50-64],2020-06-18 21:02:46.610361,DE,2414.77
# Cases Age [65+],2020-06-18 21:02:46.610361,DE,1994.81
# Cases Age [0-4],2020-06-19 19:44:01.474061,DE,126
# Cases Age [18-34],2020-06-19 19:44:01.474061,DE,2807
# Cases Age [35-49],2020-06-19 19:44:01.474061,DE,2691
# Cases Age [5-17],2020-06-19 19:44:01.474061,DE,504
# Cases Age [50-64],2020-06-19 19:44:01.474061,DE,2420
# Cases Age [65+],2020-06-19 19:44:01.474061,DE,2063
# Cases Age [0-4],2020-06-19 19:44:01.474061,DE,106.11
# Cases Age [18-34],2020-06-19 19:44:01.474061,DE,2758.86
# Cases Age [35-49],2020-06-19 19:44:01.474061,DE,2652.75
# Cases Age [5-17],2020-06-19 19:44:01.474061,DE,530.5500000000001
# Cases Age [50-64],2020-06-19 19:44:01.474061,DE,2440.53
# Cases Age [65+],2020-06-19 19:44:01.474061,DE,2016.09
# Cases Age [0-4],2020-06-20 21:17:54.871949,DE,126
# Cases Age [18-34],2020-06-20 21:17:54.871949,DE,2828
# Cases Age [35-49],2020-06-20 21:17:54.871949,DE,2702
# Cases Age [5-17],2020-06-20 21:17:54.871949,DE,505
# Cases Age [50-64],2020-06-20 21:17:54.871949,DE,2429
# Cases Age [65+],2020-06-20 21:17:54.871949,DE,2091
# Cases Age [0-4],2020-06-20 21:17:54.871949,DE,106.81
# Cases Age [18-34],2020-06-20 21:17:54.871949,DE,2777.06
# Cases Age [35-49],2020-06-20 21:17:54.871949,DE,2670.25
# Cases Age [5-17],2020-06-20 21:17:54.871949,DE,534.0500000000001
# Cases Age [50-64],2020-06-20 21:17:54.871949,DE,2456.63
# Cases Age [65+],2020-06-20 21:17:54.871949,DE,2136.2000000000003
# Cases Age [0-4],2020-06-21 20:48:41.833719,DE,129
# Cases Age [18-34],2020-06-21 20:48:41.833719,DE,2874
# Cases Age [35-49],2020-06-21 20:48:41.833719,DE,2721
# Cases Age [5-17],2020-06-21 20:48:41.833719,DE,510
# Cases Age [50-64],2020-06-21 20:48:41.833719,DE,2446
# Cases Age [65+],2020-06-21 20:48:41.833719,DE,2095
# Cases Age [0-4],2020-06-21 20:48:41.833719,DE,107.75
# Cases Age [18-34],2020-06-21 20:48:41.833719,DE,2909.25
# Cases Age [35-49],2020-06-21 20:48:41.833719,DE,2693.75
# Cases Age [5-17],2020-06-21 20:48:41.833719,DE,538.75
# Cases Age [50-64],2020-06-21 20:48:41.833719,DE,2478.25
# Cases Age [65+],2020-06-21 20:48:41.833719,DE,2047.25
# Cases Age [0-4],2020-06-22 19:53:01.079524,DE,130
# Cases Age [18-34],2020-06-22 19:53:01.079524,DE,2890
# Cases Age [35-49],2020-06-22 19:53:01.079524,DE,2734
# Cases Age [5-17],2020-06-22 19:53:01.079524,DE,512
# Cases Age [50-64],2020-06-22 19:53:01.079524,DE,2455
# Cases Age [65+],2020-06-22 19:53:01.079524,DE,2099
# Cases Age [0-4],2020-06-22 19:53:01.079524,DE,108.2
# Cases Age [18-34],2020-06-22 19:53:01.079524,DE,2921.4
# Cases Age [35-49],2020-06-22 19:53:01.079524,DE,2705.0
# Cases Age [5-17],2020-06-22 19:53:01.079524,DE,541.0
# Cases Age [50-64],2020-06-22 19:53:01.079524,DE,2488.6
# Cases Age [65+],2020-06-22 19:53:01.079524,DE,2055.8
# Cases Age [0-4],2020-06-23 19:21:03.505220,DE,129
# Cases Age [18-34],2020-06-23 19:21:03.505220,DE,2898
# Cases Age [35-49],2020-06-23 19:21:03.505220,DE,2747
# Cases Age [5-17],2020-06-23 19:21:03.505220,DE,515
# Cases Age [50-64],2020-06-23 19:21:03.505220,DE,2457
# Cases Age [65+],2020-06-23 19:21:03.505220,DE,2101
# Cases Age [0-4],2020-06-23 19:21:03.505220,DE,108.47
# Cases Age [18-34],2020-06-23 19:21:03.505220,DE,2928.69
# Cases Age [35-49],2020-06-23 19:21:03.505220,DE,2711.75
# Cases Age [5-17],2020-06-23 19:21:03.505220,DE,542.35
# Cases Age [50-64],2020-06-23 19:21:03.505220,DE,2494.81
# Cases Age [65+],2020-06-23 19:21:03.505220,DE,2060.93
# Cases Age [0-4],2020-06-24 20:29:58.433449,DE,129
# Cases Age [18-34],2020-06-24 20:29:58.433449,DE,2908
# Cases Age [35-49],2020-06-24 20:29:58.433449,DE,2758
# Cases Age [5-17],2020-06-24 20:29:58.433449,DE,517
# Cases Age [50-64],2020-06-24 20:29:58.433449,DE,2464
# Cases Age [65+],2020-06-24 20:29:58.433449,DE,2113
# Cases Age [0-4],2020-06-24 20:29:58.433449,DE,108.89
# Cases Age [18-34],2020-06-24 20:29:58.433449,DE,2940.03
# Cases Age [35-49],2020-06-24 20:29:58.433449,DE,2722.25
# Cases Age [5-17],2020-06-24 20:29:58.433449,DE,544.45
# Cases Age [50-64],2020-06-24 20:29:58.433449,DE,2504.4700000000003
# Cases Age [65+],2020-06-24 20:29:58.433449,DE,2068.91
# Cases Age [0-4],2020-06-25 19:51:26.501236,DE,133
# Cases Age [18-34],2020-06-25 19:51:26.501236,DE,2948
# Cases Age [35-49],2020-06-25 19:51:26.501236,DE,2778
# Cases Age [5-17],2020-06-25 19:51:26.501236,DE,528
# Cases Age [50-64],2020-06-25 19:51:26.501236,DE,2473
# Cases Age [65+],2020-06-25 19:51:26.501236,DE,2120
# Cases Age [0-4],2020-06-25 19:51:26.501236,DE,109.8
# Cases Age [18-34],2020-06-25 19:51:26.501236,DE,2964.6000000000004
# Cases Age [35-49],2020-06-25 19:51:26.501236,DE,2745.0
# Cases Age [5-17],2020-06-25 19:51:26.501236,DE,549.0
# Cases Age [50-64],2020-06-25 19:51:26.501236,DE,2525.4
# Cases Age [65+],2020-06-25 19:51:26.501236,DE,2086.2
# Cases Age [0-4],2020-06-26 19:33:23.818310,DE,131
# Cases Age [18-34],2020-06-26 19:33:23.818310,DE,2963
# Cases Age [35-49],2020-06-26 19:33:23.818310,DE,2780
# Cases Age [5-17],2020-06-26 19:33:23.818310,DE,544
# Cases Age [50-64],2020-06-26 19:33:23.818310,DE,2473
# Cases Age [65+],2020-06-26 19:33:23.818310,DE,2126
# Cases Age [0-4],2020-06-26 19:33:23.818310,DE,110.17
# Cases Age [18-34],2020-06-26 19:33:23.818310,DE,2974.59
# Cases Age [35-49],2020-06-26 19:33:23.818310,DE,2754.25
# Cases Age [5-17],2020-06-26 19:33:23.818310,DE,550.85
# Cases Age [50-64],2020-06-26 19:33:23.818310,DE,2423.7400000000002
# Cases Age [65+],2020-06-26 19:33:23.818310,DE,2093.23
# Cases Age [0-4],2020-06-27 21:26:35.807048,DE,131
# Cases Age [18-34],2020-06-27 21:26:35.807048,DE,3008
# Cases Age [35-49],2020-06-27 21:26:35.807048,DE,2797
# Cases Age [5-17],2020-06-27 21:26:35.807048,DE,548
# Cases Age [50-64],2020-06-27 21:26:35.807048,DE,2477
# Cases Age [65+],2020-06-27 21:26:35.807048,DE,2130
# Cases Age [0-4],2020-06-27 21:26:35.807048,DE,110.91
# Cases Age [18-34],2020-06-27 21:26:35.807048,DE,2994.57
# Cases Age [35-49],2020-06-27 21:26:35.807048,DE,2772.75
# Cases Age [5-17],2020-06-27 21:26:35.807048,DE,554.5500000000001
# Cases Age [50-64],2020-06-27 21:26:35.807048,DE,2440.02
# Cases Age [65+],2020-06-27 21:26:35.807048,DE,2107.29
# Cases Age [0-4],2020-06-28 20:00:09.500490,DE,134
# Cases Age [18-34],2020-06-28 20:00:09.500490,DE,3083
# Cases Age [35-49],2020-06-28 20:00:09.500490,DE,2819
# Cases Age [5-17],2020-06-28 20:00:09.500490,DE,553
# Cases Age [50-64],2020-06-28 20:00:09.500490,DE,2496
# Cases Age [65+],2020-06-28 20:00:09.500490,DE,2141
# Cases Age [0-4],2020-06-28 20:00:09.500490,DE,112.26
# Cases Age [18-34],2020-06-28 20:00:09.500490,DE,3031.02
# Cases Age [35-49],2020-06-28 20:00:09.500490,DE,2806.5
# Cases Age [5-17],2020-06-28 20:00:09.500490,DE,561.3000000000001
# Cases Age [50-64],2020-06-28 20:00:09.500490,DE,2469.72
# Cases Age [65+],2020-06-28 20:00:09.500490,DE,2132.94
# Cases Age [0-4],2020-06-29 22:51:17.588724,DE,138
# Cases Age [18-34],2020-06-29 22:51:17.588724,DE,3168
# Cases Age [35-49],2020-06-29 22:51:17.588724,DE,2842
# Cases Age [5-17],2020-06-29 22:51:17.588724,DE,560
# Cases Age [50-64],2020-06-29 22:51:17.588724,DE,2513
# Cases Age [65+],2020-06-29 22:51:17.588724,DE,2155
# Cases Age [0-4],2020-06-29 22:51:17.588724,DE,113.76
# Cases Age [18-34],2020-06-29 22:51:17.588724,DE,3185.28
# Cases Age [35-49],2020-06-29 22:51:17.588724,DE,2844.0
# Cases Age [5-17],2020-06-29 22:51:17.588724,DE,568.8000000000001
# Cases Age [50-64],2020-06-29 22:51:17.588724,DE,2502.72
# Cases Age [65+],2020-06-29 22:51:17.588724,DE,2161.44
# Cases Age [0-4],2020-06-30 20:04:13.649468,DE,144
# Cases Age [18-34],2020-06-30 20:04:13.649468,DE,3218
# Cases Age [35-49],2020-06-30 20:04:13.649468,DE,2855
# Cases Age [5-17],2020-06-30 20:04:13.649468,DE,564
# Cases Age [50-64],2020-06-30 20:04:13.649468,DE,2531
# Cases Age [65+],2020-06-30 20:04:13.649468,DE,2162
# Cases Age [0-4],2020-06-30 20:04:13.649468,DE,114.74000000000001
# Cases Age [18-34],2020-06-30 20:04:13.649468,DE,3212.7200000000003
# Cases Age [35-49],2020-06-30 20:04:13.649468,DE,2868.5
# Cases Age [5-17],2020-06-30 20:04:13.649468,DE,573.7
# Cases Age [50-64],2020-06-30 20:04:13.649468,DE,2524.28
# Cases Age [65+],2020-06-30 20:04:13.649468,DE,2180.06
