Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-03-14,GA,1
# Cases Age [18-59],2020-03-14,GA,20
# Cases Age [60+],2020-03-14,GA,19
# Cases Age [Unknown],2020-03-14,GA,2
# Cases Age [0-17],2020-03-15,GA,1
# Cases Age [18-59],2020-03-15,GA,28
# Cases Age [60+],2020-03-15,GA,35
# Cases Age [Unknown],2020-03-15,GA,2
# Cases Age [0-17],2020-03-16,GA,2
# Cases Age [18-59],2020-03-16,GA,53
# Cases Age [60+],2020-03-16,GA,53
# Cases Age [Unknown],2020-03-16,GA,13
# Cases Age [0-17],2020-03-17,GA,1
# Cases Age [18-59],2020-03-17,GA,67
# Cases Age [60+],2020-03-17,GA,58
# Cases Age [Unknown],2020-03-17,GA,19
# Cases Age [0-17],2020-03-18,GA,4
# Cases Age [18-59],2020-03-18,GA,85
# Cases Age [60+],2020-03-18,GA,77
# Cases Age [Unknown],2020-03-18,GA,32
# Cases Age [0-17],2020-03-19,GA,3
# Cases Age [18-59],2020-03-19,GA,132
# Cases Age [60+],2020-03-19,GA,100
# Cases Age [Unknown],2020-03-19,GA,52
# Cases Age [0-17],2020-03-20,GA,4
# Cases Age [18-59],2020-03-20,GA,172
# Cases Age [60+],2020-03-20,GA,139
# Cases Age [Unknown],2020-03-20,GA,105
# Cases Age [0-17],2020-03-21,GA,6
# Cases Age [18-59],2020-03-21,GA,228
# Cases Age [60+],2020-03-21,GA,178
# Cases Age [Unknown],2020-03-21,GA,144
# Cases Age [0-17],2020-03-22,GA,6
# Cases Age [18-59],2020-03-22,GA,372
# Cases Age [60+],2020-03-22,GA,223
# Cases Age [Unknown],2020-03-22,GA,19
# Cases Age [0-17],2020-03-23,GA,8
# Cases Age [18-59],2020-03-23,GA,472
# Cases Age [60+],2020-03-23,GA,288
# Cases Age [Unknown],2020-03-23,GA,32
# Cases Age [0-17],2020-03-24,GA,11
# Cases Age [18-59],2020-03-24,GA,614
# Cases Age [60+],2020-03-24,GA,384
# Cases Age [Unknown],2020-03-24,GA,88
# Cases Age [0-17],2020-03-25,GA,14
# Cases Age [18-59],2020-03-25,GA,832
# Cases Age [60+],2020-03-25,GA,499
# Cases Age [Unknown],2020-03-25,GA,42
# Cases Age [0-17],2020-03-26,GA,14
# Cases Age [18-59],2020-03-26,GA,832
# Cases Age [60+],2020-03-26,GA,499
# Cases Age [Unknown],2020-03-26,GA,42
# Cases Age [0-17],2020-03-27,GA,16
# Cases Age [18-59],2020-03-27,GA,937
# Cases Age [60+],2020-03-27,GA,575
# Cases Age [Unknown],2020-03-27,GA,115
# Cases Age [0-17],2020-03-28,GA,24
# Cases Age [18-59],2020-03-28,GA,1370
# Cases Age [60+],2020-03-28,GA,856
# Cases Age [Unknown],2020-03-28,GA,196
# Cases Age [0-17],2020-03-29,GA,27
# Cases Age [18-59],2020-03-29,GA,1502
# Cases Age [60+],2020-03-29,GA,939
# Cases Age [Unknown],2020-03-29,GA,215
# Cases Age [0-17],2020-03-30,GA,30
