Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-04-16 02:29:38 AM,IA,27
# Cases Age [18-40],2020-04-16 02:29:38 AM,IA,643
# Cases Age [41-60],2020-04-16 02:29:38 AM,IA,768
# Cases Age [61-80],2020-04-16 02:29:38 AM,IA,445
# Cases Age [81+],2020-04-16 02:29:38 AM,IA,112
# Cases Age [0-17],2020-04-16 08:17:13 PM,IA,27
# Cases Age [18-40],2020-04-16 08:17:13 PM,IA,680
# Cases Age [41-60],2020-04-16 08:17:13 PM,IA,830
# Cases Age [61-80],2020-04-16 08:17:13 PM,IA,476
# Cases Age [81+],2020-04-16 08:17:13 PM,IA,128
# Cases Age [0-17],2020-04-17 08:04:19 PM,IA,27
# Cases Age [18-40],2020-04-17 08:04:19 PM,IA,749
# Cases Age [41-60],2020-04-17 08:04:19 PM,IA,898
# Cases Age [61-80],2020-04-17 08:04:19 PM,IA,506
# Cases Age [81+],2020-04-17 08:04:19 PM,IA,152
# Cases Age [0-17],2020-04-18 08:11:24 PM,IA,35
# Cases Age [18-40],2020-04-18 08:11:24 PM,IA,814
# Cases Age [41-60],2020-04-18 08:11:24 PM,IA,976
# Cases Age [61-80],2020-04-18 08:11:24 PM,IA,532
# Cases Age [81+],2020-04-18 08:11:24 PM,IA,156
# Cases Age [0-17],2020-04-19 08:24:55 PM,IA,35
# Cases Age [18-40],2020-04-19 08:24:55 PM,IA,1017
# Cases Age [41-60],2020-04-19 08:24:55 PM,IA,1123
# Cases Age [61-80],2020-04-19 08:24:55 PM,IA,554
# Cases Age [81+],2020-04-19 08:24:55 PM,IA,173
# Cases Age [0-17],2020-04-20 08:21:38 PM,IA,36
# Cases Age [18-40],2020-04-20 08:21:38 PM,IA,1137
# Cases Age [41-60],2020-04-20 08:21:38 PM,IA,1211
# Cases Age [61-80],2020-04-20 08:21:38 PM,IA,586
# Cases Age [81+],2020-04-20 08:21:38 PM,IA,189
# Cases Age [0-17],2020-04-21 08:08:47 PM,IA,40
# Cases Age [18-40],2020-04-21 08:08:47 PM,IA,1369
# Cases Age [41-60],2020-04-21 08:08:47 PM,IA,1408
# Cases Age [61-80],2020-04-21 08:08:47 PM,IA,629
# Cases Age [81+],2020-04-21 08:08:47 PM,IA,195
# Cases Age [0-17],2020-04-22 08:23:10 PM,IA,42
# Cases Age [18-40],2020-04-22 08:23:10 PM,IA,1417
# Cases Age [41-60],2020-04-22 08:23:10 PM,IA,1452
# Cases Age [61-80],2020-04-22 08:23:10 PM,IA,642
# Cases Age [81+],2020-04-22 08:23:10 PM,IA,195
# Cases Age [0-17],2020-04-23 08:20:48 PM,IA,47
# Cases Age [18-40],2020-04-23 08:20:48 PM,IA,1490
# Cases Age [41-60],2020-04-23 08:20:48 PM,IA,1512
# Cases Age [61-80],2020-04-23 08:20:48 PM,IA,675
# Cases Age [81+],2020-04-23 08:20:48 PM,IA,200
# Cases Age [0-17],2020-04-24 08:39:30 PM,IA,53
# Cases Age [18-40],2020-04-24 08:39:30 PM,IA,1690
# Cases Age [41-60],2020-04-24 08:39:30 PM,IA,1723
# Cases Age [61-80],2020-04-24 08:39:30 PM,IA,743
# Cases Age [81+],2020-04-24 08:39:30 PM,IA,236
# Cases Age [0-17],2020-04-25 08:27:56 PM,IA,61
# Cases Age [18-40],2020-04-25 08:27:56 PM,IA,1969
# Cases Age [41-60],2020-04-25 08:27:56 PM,IA,1980
# Cases Age [61-80],2020-04-25 08:27:56 PM,IA,821
# Cases Age [81+],2020-04-25 08:27:56 PM,IA,261
# Cases Age [0-17],2020-04-26 08:00:59 PM,IA,72
# Cases Age [18-40],2020-04-26 08:00:59 PM,IA,2144
# Cases Age [41-60],2020-04-26 08:00:59 PM,IA,2121
# Cases Age [61-80],2020-04-26 08:00:59 PM,IA,865
# Cases Age [81+],2020-04-26 08:00:59 PM,IA,274
# Cases Age [0-17],2020-04-27 08:42:10 PM,IA,86
# Cases Age [18-40],2020-04-27 08:42:10 PM,IA,2311
# Cases Age [41-60],2020-04-27 08:42:10 PM,IA,2262
# Cases Age [61-80],2020-04-27 08:42:10 PM,IA,918
# Cases Age [81+],2020-04-27 08:42:10 PM,IA,291
# Cases Age [0-17],2020-04-28 08:35:54 PM,IA,111
# Cases Age [18-40],2020-04-28 08:35:54 PM,IA,2526
# Cases Age [41-60],2020-04-28 08:35:54 PM,IA,2454
# Cases Age [61-80],2020-04-28 08:35:54 PM,IA,971
# Cases Age [81+],2020-04-28 08:35:54 PM,IA,314
# Cases Age [0-17],2020-04-29 07:55:20 PM,IA,120
# Cases Age [18-40],2020-04-29 07:55:20 PM,IA,2710
# Cases Age [41-60],2020-04-29 07:55:20 PM,IA,2636
# Cases Age [61-80],2020-04-29 07:55:20 PM,IA,1037
# Cases Age [81+],2020-04-29 07:55:20 PM,IA,340
# Cases Age [0-17],2020-04-30 08:54:57 PM,IA,125
# Cases Age [18-40],2020-04-30 08:54:57 PM,IA,2853
# Cases Age [41-60],2020-04-30 08:54:57 PM,IA,2748
# Cases Age [61-80],2020-04-30 08:54:57 PM,IA,1072
# Cases Age [81+],2020-04-30 08:54:57 PM,IA,347
# Cases Age [0-17],2020-05-01 08:24:56 PM,IA,148
# Cases Age [18-40],2020-05-01 08:24:56 PM,IA,3183
# Cases Age [41-60],2020-05-01 08:24:56 PM,IA,3008
# Cases Age [61-80],2020-05-01 08:24:56 PM,IA,1158
# Cases Age [81+],2020-05-01 08:24:56 PM,IA,384
# Cases Age [0-17],2020-05-02 08:32:29 PM,IA,163
# Cases Age [18-40],2020-05-02 08:32:29 PM,IA,3518
# Cases Age [41-60],2020-05-02 08:32:29 PM,IA,3299
# Cases Age [61-80],2020-05-02 08:32:29 PM,IA,1249
# Cases Age [81+],2020-05-02 08:32:29 PM,IA,407
# Cases Age [0-17],2020-05-03 08:31:54 PM,IA,174
# Cases Age [18-40],2020-05-03 08:31:54 PM,IA,3751
# Cases Age [41-60],2020-05-03 08:31:54 PM,IA,3487
# Cases Age [61-80],2020-05-03 08:31:54 PM,IA,1305
