Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-06-30 09:42:51 PM,ID,440.42400000000004
# Cases Age [100+],2020-06-30 09:42:51 PM,ID,0.1
# Cases Age [18-29],2020-06-30 09:42:51 PM,ID,2098.131
# Cases Age [30-39],2020-06-30 09:42:51 PM,ID,978.72
# Cases Age [40-49],2020-06-30 09:42:51 PM,ID,850.263
# Cases Age [50-59],2020-06-30 09:42:51 PM,ID,746.274
# Cases Age [60-69],2020-06-30 09:42:51 PM,ID,501.59399999999994
# Cases Age [70-79],2020-06-30 09:42:51 PM,ID,263.031
# Cases Age [80-89],2020-06-30 09:42:51 PM,ID,2.8
# Cases Age [90-99],2020-06-30 09:42:51 PM,ID,1.0
# Cases Age [0-17],2020-07-01 08:05:03 PM,ID,471.38000000000005
# Cases Age [100+],2020-07-01 08:05:03 PM,ID,0.1
# Cases Age [18-29],2020-07-01 08:05:03 PM,ID,2197.6499999999996
# Cases Age [30-39],2020-07-01 08:05:03 PM,ID,1025.57
# Cases Age [40-49],2020-07-01 08:05:03 PM,ID,872.6899999999999
# Cases Age [50-59],2020-07-01 08:05:03 PM,ID,777.14
# Cases Age [60-69],2020-07-01 08:05:03 PM,ID,509.6
# Cases Age [70-79],2020-07-01 08:05:03 PM,ID,273.90999999999997
# Cases Age [80-89],2020-07-01 08:05:03 PM,ID,2.7
# Cases Age [90-99],2020-07-01 08:05:03 PM,ID,0.9
# Cases Age [0-17],2020-07-02 10:11:56 PM,ID,487.88200000000006
# Cases Age [100+],2020-07-02 10:11:56 PM,ID,0.1
# Cases Age [18-29],2020-07-02 10:11:56 PM,ID,2287.771
# Cases Age [30-39],2020-07-02 10:11:56 PM,ID,1054.88
# Cases Age [40-49],2020-07-02 10:11:56 PM,ID,903.2409999999999
# Cases Age [50-59],2020-07-02 10:11:56 PM,ID,804.346
# Cases Age [60-69],2020-07-02 10:11:56 PM,ID,520.847
# Cases Age [70-79],2020-07-02 10:11:56 PM,ID,296.685
# Cases Age [80-89],2020-07-02 10:11:56 PM,ID,2.6
# Cases Age [90-99],2020-07-02 10:11:56 PM,ID,0.9
# Cases Age [0-17],2020-07-03 10:41:59 PM,ID,517.556
# Cases Age [100+],2020-07-03 10:41:59 PM,ID,0.1
# Cases Age [18-29],2020-07-03 10:41:59 PM,ID,2454.8940000000002
# Cases Age [30-39],2020-07-03 10:41:59 PM,ID,1126.034
# Cases Age [40-49],2020-07-03 10:41:59 PM,ID,958.1779999999999
# Cases Age [50-59],2020-07-03 10:41:59 PM,ID,846.274
# Cases Age [60-69],2020-07-03 10:41:59 PM,ID,545.532
# Cases Age [70-79],2020-07-03 10:41:59 PM,ID,300.74199999999996
# Cases Age [80-89],2020-07-03 10:41:59 PM,ID,2.5
# Cases Age [90-99],2020-07-03 10:41:59 PM,ID,0.9
# Cases Age [0-17],2020-07-04 08:28:25 PM,ID,552.75
# Cases Age [100+],2020-07-04 08:28:25 PM,ID,0.1
# Cases Age [18-29],2020-07-04 08:28:25 PM,ID,2616.35
# Cases Age [30-39],2020-07-04 08:28:25 PM,ID,1186.57
# Cases Age [40-49],2020-07-04 08:28:25 PM,ID,1009.6899999999998
# Cases Age [50-59],2020-07-04 08:28:25 PM,ID,891.77
# Cases Age [60-69],2020-07-04 08:28:25 PM,ID,574.86
# Cases Age [70-79],2020-07-04 08:28:25 PM,ID,309.54
# Cases Age [80-89],2020-07-04 08:28:25 PM,ID,2.4
# Cases Age [90-99],2020-07-04 08:28:25 PM,ID,0.9
# Cases Age [0-17],2020-07-05 08:02:00 PM,ID,579.975
# Cases Age [100+],2020-07-05 08:02:00 PM,ID,0.1
# Cases Age [18-29],2020-07-05 08:02:00 PM,ID,2768.4139999999998
