Column Name,Scrape Time,State,Value
# Cases Age [Unknown],2020-04-06,IL,6
# Cases Age [0-20],2020-04-06,IL,224
# Cases Age [20-29],2020-04-06,IL,1451
# Cases Age [30-39],2020-04-06,IL,1861
# Cases Age [40-49],2020-04-06,IL,2273
# Cases Age [50-59],2020-04-06,IL,2471
# Cases Age [60-69],2020-04-06,IL,1926
# Cases Age [70-79],2020-04-06,IL,1235
# Cases Age [80+],2020-04-06,IL,815
# Cases Age [Unknown],2020-04-07,IL,6
# Cases Age [0-20],2020-04-07,IL,248
# Cases Age [20-29],2020-04-07,IL,1599
# Cases Age [30-39],2020-04-07,IL,2056
# Cases Age [40-49],2020-04-07,IL,2525
# Cases Age [50-59],2020-04-07,IL,2724
# Cases Age [60-69],2020-04-07,IL,2139
# Cases Age [70-79],2020-04-07,IL,1349
# Cases Age [80+],2020-04-07,IL,912
# Cases Age [Unknown],2020-04-08,IL,7
# Cases Age [0-20],2020-04-08,IL,275
# Cases Age [20-29],2020-04-08,IL,1766
# Cases Age [30-39],2020-04-08,IL,2300
# Cases Age [40-49],2020-04-08,IL,2785
# Cases Age [50-59],2020-04-08,IL,3030
# Cases Age [60-69],2020-04-08,IL,2365
# Cases Age [70-79],2020-04-08,IL,1513
# Cases Age [80+],2020-04-08,IL,1037
# Cases Age [Unknown],2020-04-09,IL,7
# Cases Age [0-20],2020-04-09,IL,298
# Cases Age [20-29],2020-04-09,IL,1926
# Cases Age [30-39],2020-04-09,IL,2485
# Cases Age [40-49],2020-04-09,IL,3022
# Cases Age [50-59],2020-04-09,IL,3318
# Cases Age [60-69],2020-04-09,IL,2574
# Cases Age [70-79],2020-04-09,IL,1630
# Cases Age [80+],2020-04-09,IL,1162
# Cases Age [Unknown],2020-04-10,IL,7
# Cases Age [0-20],2020-04-10,IL,333
# Cases Age [20-29],2020-04-10,IL,2118
# Cases Age [30-39],2020-04-10,IL,2704
# Cases Age [40-49],2020-04-10,IL,3289
# Cases Age [50-59],2020-04-10,IL,3590
# Cases Age [60-69],2020-04-10,IL,2827
# Cases Age [70-79],2020-04-10,IL,1755
# Cases Age [80+],2020-04-10,IL,1264
# Cases Age [Unknown],2020-04-11,IL,7
# Cases Age [0-20],2020-04-11,IL,358
# Cases Age [20-29],2020-04-11,IL,2285
# Cases Age [30-39],2020-04-11,IL,2916
# Cases Age [40-49],2020-04-11,IL,3562
# Cases Age [50-59],2020-04-11,IL,3846
# Cases Age [60-69],2020-04-11,IL,3002
# Cases Age [70-79],2020-04-11,IL,1841
# Cases Age [80+],2020-04-11,IL,1363
# Cases Age [Unknown],2020-04-12,IL,8
# Cases Age [0-20],2020-04-12,IL,402
# Cases Age [20-29],2020-04-12,IL,2491
# Cases Age [30-39],2020-04-12,IL,3200
# Cases Age [40-49],2020-04-12,IL,3874
# Cases Age [50-59],2020-04-12,IL,4179
# Cases Age [60-69],2020-04-12,IL,3224
# Cases Age [70-79],2020-04-12,IL,1978
# Cases Age [80+],2020-04-12,IL,1496
# Cases Age [Unknown],2020-04-13,IL,8
# Cases Age [0-20],2020-04-13,IL,432
# Cases Age [20-29],2020-04-13,IL,2659
# Cases Age [30-39],2020-04-13,IL,3398
# Cases Age [40-49],2020-04-13,IL,4091
# Cases Age [50-59],2020-04-13,IL,4419
# Cases Age [60-69],2020-04-13,IL,3377
# Cases Age [70-79],2020-04-13,IL,2055
# Cases Age [80+],2020-04-13,IL,1586
# Cases Age [Unknown],2020-04-14,IL,6
# Cases Age [0-20],2020-04-14,IL,476
# Cases Age [20-29],2020-04-14,IL,2805
# Cases Age [30-39],2020-04-14,IL,3609
# Cases Age [40-49],2020-04-14,IL,4291
# Cases Age [50-59],2020-04-14,IL,4641
# Cases Age [60-69],2020-04-14,IL,3573
# Cases Age [70-79],2020-04-14,IL,2160
# Cases Age [80+],2020-04-14,IL,1686
# Cases Age [Unknown],2020-04-15,IL,6
# Cases Age [0-20],2020-04-15,IL,511
# Cases Age [20-29],2020-04-15,IL,2961
# Cases Age [30-39],2020-04-15,IL,3815
# Cases Age [40-49],2020-04-15,IL,4532
# Cases Age [50-59],2020-04-15,IL,4908
# Cases Age [60-69],2020-04-15,IL,3745
# Cases Age [70-79],2020-04-15,IL,2302
# Cases Age [80+],2020-04-15,IL,1813
# Cases Age [Unknown],2020-04-16,IL,7
# Cases Age [0-20],2020-04-16,IL,544
# Cases Age [20-29],2020-04-16,IL,3116
# Cases Age [30-39],2020-04-16,IL,3970
# Cases Age [40-49],2020-04-16,IL,4733
# Cases Age [50-59],2020-04-16,IL,5138
# Cases Age [60-69],2020-04-16,IL,3893
# Cases Age [70-79],2020-04-16,IL,2397
# Cases Age [80+],2020-04-16,IL,1935
# Cases Age [Unknown],2020-04-17,IL,9
# Cases Age [0-20],2020-04-17,IL,625
# Cases Age [20-29],2020-04-17,IL,3349
# Cases Age [30-39],2020-04-17,IL,4245
# Cases Age [40-49],2020-04-17,IL,5069
# Cases Age [50-59],2020-04-17,IL,5514
# Cases Age [60-69],2020-04-17,IL,4164
# Cases Age [70-79],2020-04-17,IL,2522
# Cases Age [80+],2020-04-17,IL,2078
# Cases Age [Unknown],2020-04-18,IL,10
# Cases Age [0-20],2020-04-18,IL,680
# Cases Age [20-29],2020-04-18,IL,3587
# Cases Age [30-39],2020-04-18,IL,4488
# Cases Age [40-49],2020-04-18,IL,5365
# Cases Age [50-59],2020-04-18,IL,5815
# Cases Age [60-69],2020-04-18,IL,4385
# Cases Age [70-79],2020-04-18,IL,2649
# Cases Age [80+],2020-04-18,IL,2181
# Cases Age [Unknown],2020-04-19,IL,10
# Cases Age [0-20],2020-04-19,IL,734
# Cases Age [20-29],2020-04-19,IL,3766
# Cases Age [30-39],2020-04-19,IL,4691
# Cases Age [40-49],2020-04-19,IL,5574
# Cases Age [50-59],2020-04-19,IL,6048
# Cases Age [60-69],2020-04-19,IL,4541
# Cases Age [70-79],2020-04-19,IL,2720
# Cases Age [80+],2020-04-19,IL,2273
# Cases Age [Unknown],2020-04-20,IL,10
# Cases Age [0-20],2020-04-20,IL,801
# Cases Age [20-29],2020-04-20,IL,3920
# Cases Age [30-39],2020-04-20,IL,4850
# Cases Age [40-49],2020-04-20,IL,5750
# Cases Age [50-59],2020-04-20,IL,6251
# Cases Age [60-69],2020-04-20,IL,4707
# Cases Age [70-79],2020-04-20,IL,2834
# Cases Age [80+],2020-04-20,IL,2385
# Cases Age [Unknown],2020-04-21,IL,11
# Cases Age [0-20],2020-04-21,IL,860
# Cases Age [20-29],2020-04-21,IL,4137
# Cases Age [30-39],2020-04-21,IL,5080
# Cases Age [40-49],2020-04-21,IL,6038
# Cases Age [50-59],2020-04-21,IL,6565
# Cases Age [60-69],2020-04-21,IL,4891
# Cases Age [70-79],2020-04-21,IL,2949
# Cases Age [80+],2020-04-21,IL,2528
# Cases Age [Unknown],2020-04-22,IL,11
# Cases Age [0-20],2020-04-22,IL,940
# Cases Age [20-29],2020-04-22,IL,4437
# Cases Age [30-39],2020-04-22,IL,5398
# Cases Age [40-49],2020-04-22,IL,6408
# Cases Age [50-59],2020-04-22,IL,6953
# Cases Age [60-69],2020-04-22,IL,5131
# Cases Age [70-79],2020-04-22,IL,3121
# Cases Age [80+],2020-04-22,IL,2709
# Cases Age [Unknown],2020-04-23,IL,13
# Cases Age [0-20],2020-04-23,IL,995
# Cases Age [20-29],2020-04-23,IL,4729
# Cases Age [30-39],2020-04-23,IL,5703
# Cases Age [40-49],2020-04-23,IL,6747
# Cases Age [50-59],2020-04-23,IL,7303
# Cases Age [60-69],2020-04-23,IL,5356
# Cases Age [70-79],2020-04-23,IL,3238
# Cases Age [80+],2020-04-23,IL,2850
# Cases Age [Unknown],2020-04-24,IL,14
# Cases Age [0-20],2020-04-24,IL,1137
# Cases Age [20-29],2020-04-24,IL,5135
# Cases Age [30-39],2020-04-24,IL,6175
# Cases Age [40-49],2020-04-24,IL,7215
# Cases Age [50-59],2020-04-24,IL,7782
# Cases Age [60-69],2020-04-24,IL,5691
# Cases Age [70-79],2020-04-24,IL,3429
# Cases Age [80+],2020-04-24,IL,3080
# Cases Age [Unknown],2020-04-25,IL,15
# Cases Age [0-20],2020-04-25,IL,1228
# Cases Age [20-29],2020-04-25,IL,5405
# Cases Age [30-39],2020-04-25,IL,6515
# Cases Age [40-49],2020-04-25,IL,7575
# Cases Age [50-59],2020-04-25,IL,8192
# Cases Age [60-69],2020-04-25,IL,5951
# Cases Age [70-79],2020-04-25,IL,3592
# Cases Age [80+],2020-04-25,IL,3304
# Cases Age [Unknown],2020-04-26,IL,17
# Cases Age [0-20],2020-04-26,IL,1328
# Cases Age [20-29],2020-04-26,IL,5714
# Cases Age [30-39],2020-04-26,IL,6837
# Cases Age [40-49],2020-04-26,IL,7959
# Cases Age [50-59],2020-04-26,IL,8563
# Cases Age [60-69],2020-04-26,IL,6304
# Cases Age [70-79],2020-04-26,IL,3739
# Cases Age [80+],2020-04-26,IL,3442
