Column Name,Scrape Time,State,Value
% Cases Age [0-19],2020-06-09 02:38:24 PM,IN,1.7
% Cases Age [20-29],2020-06-09 02:38:24 PM,IN,11.7
% Cases Age [30-39],2020-06-09 02:38:24 PM,IN,14.4
% Cases Age [40-49],2020-06-09 02:38:24 PM,IN,15.7
% Cases Age [50-59],2020-06-09 02:38:24 PM,IN,18.1
% Cases Age [60-69],2020-06-09 02:38:24 PM,IN,18.2
% Cases Age [70-79],2020-06-09 02:38:24 PM,IN,12.4
% Cases Age [80+],2020-06-09 02:38:24 PM,IN,7.6
% Cases Age [0-19],2020-06-10 08:35:50 PM,IN,1.7
% Cases Age [20-29],2020-06-10 08:35:50 PM,IN,11.7
% Cases Age [30-39],2020-06-10 08:35:50 PM,IN,14.4
% Cases Age [40-49],2020-06-10 08:35:50 PM,IN,15.7
% Cases Age [50-59],2020-06-10 08:35:50 PM,IN,18.1
% Cases Age [60-69],2020-06-10 08:35:50 PM,IN,18.2
% Cases Age [70-79],2020-06-10 08:35:50 PM,IN,12.4
% Cases Age [80+],2020-06-10 08:35:50 PM,IN,7.6
% Cases Age [0-19],2020-06-11 08:29:49 PM,IN,1.7
% Cases Age [20-29],2020-06-11 08:29:49 PM,IN,11.7
% Cases Age [30-39],2020-06-11 08:29:49 PM,IN,14.4
% Cases Age [40-49],2020-06-11 08:29:49 PM,IN,15.7
% Cases Age [50-59],2020-06-11 08:29:49 PM,IN,18.1
% Cases Age [60-69],2020-06-11 08:29:49 PM,IN,18.2
% Cases Age [70-79],2020-06-11 08:29:49 PM,IN,12.4
% Cases Age [80+],2020-06-11 08:29:49 PM,IN,7.6
% Cases Age [0-19],2020-06-12 08:26:14 PM,IN,1.7
% Cases Age [20-29],2020-06-12 08:26:14 PM,IN,11.7
% Cases Age [30-39],2020-06-12 08:26:14 PM,IN,14.4
% Cases Age [40-49],2020-06-12 08:26:14 PM,IN,15.7
% Cases Age [50-59],2020-06-12 08:26:14 PM,IN,18.1
% Cases Age [60-69],2020-06-12 08:26:14 PM,IN,18.2
% Cases Age [70-79],2020-06-12 08:26:14 PM,IN,12.4
% Cases Age [80+],2020-06-12 08:26:14 PM,IN,7.6
% Cases Age [0-19],2020-06-13 08:43:14 PM,IN,1.7
% Cases Age [20-29],2020-06-13 08:43:14 PM,IN,11.7
% Cases Age [30-39],2020-06-13 08:43:14 PM,IN,14.4
% Cases Age [40-49],2020-06-13 08:43:14 PM,IN,15.7
% Cases Age [50-59],2020-06-13 08:43:14 PM,IN,18.1
% Cases Age [60-69],2020-06-13 08:43:14 PM,IN,18.2
% Cases Age [70-79],2020-06-13 08:43:14 PM,IN,12.4
% Cases Age [80+],2020-06-13 08:43:14 PM,IN,7.6
% Cases Age [0-19],2020-06-14 08:02:47 PM,IN,1.7
% Cases Age [20-29],2020-06-14 08:02:47 PM,IN,11.7
% Cases Age [30-39],2020-06-14 08:02:47 PM,IN,14.4
% Cases Age [40-49],2020-06-14 08:02:47 PM,IN,15.7
% Cases Age [50-59],2020-06-14 08:02:47 PM,IN,18.1
% Cases Age [60-69],2020-06-14 08:02:47 PM,IN,18.2
% Cases Age [70-79],2020-06-14 08:02:47 PM,IN,12.4
% Cases Age [80+],2020-06-14 08:02:47 PM,IN,7.6
% Cases Age [0-19],2020-06-15 08:27:03 PM,IN,1.7
% Cases Age [20-29],2020-06-15 08:27:03 PM,IN,11.7
% Cases Age [30-39],2020-06-15 08:27:03 PM,IN,14.4
% Cases Age [40-49],2020-06-15 08:27:03 PM,IN,15.7
% Cases Age [50-59],2020-06-15 08:27:03 PM,IN,18.1
% Cases Age [60-69],2020-06-15 08:27:03 PM,IN,18.2
% Cases Age [70-79],2020-06-15 08:27:03 PM,IN,12.4
% Cases Age [80+],2020-06-15 08:27:03 PM,IN,7.6
% Cases Age [0-19],2020-06-16 08:28:53 PM,IN,1.7
% Cases Age [20-29],2020-06-16 08:28:53 PM,IN,11.7
% Cases Age [30-39],2020-06-16 08:28:53 PM,IN,14.4
% Cases Age [40-49],2020-06-16 08:28:53 PM,IN,15.7
% Cases Age [50-59],2020-06-16 08:28:53 PM,IN,18.1
% Cases Age [60-69],2020-06-16 08:28:53 PM,IN,18.2
% Cases Age [70-79],2020-06-16 08:28:53 PM,IN,12.4
% Cases Age [80+],2020-06-16 08:28:53 PM,IN,7.6
% Cases Age [0-19],2020-06-17 08:33:31 PM,IN,1.7
% Cases Age [20-29],2020-06-17 08:33:31 PM,IN,11.7
% Cases Age [30-39],2020-06-17 08:33:31 PM,IN,14.4
% Cases Age [40-49],2020-06-17 08:33:31 PM,IN,15.7
% Cases Age [50-59],2020-06-17 08:33:31 PM,IN,18.1
% Cases Age [60-69],2020-06-17 08:33:31 PM,IN,18.2
% Cases Age [70-79],2020-06-17 08:33:31 PM,IN,12.4
% Cases Age [80+],2020-06-17 08:33:31 PM,IN,7.6
% Cases Age [0-19],2020-06-18 09:06:41 PM,IN,1.7
% Cases Age [20-29],2020-06-18 09:06:41 PM,IN,11.7
% Cases Age [30-39],2020-06-18 09:06:41 PM,IN,14.4
% Cases Age [40-49],2020-06-18 09:06:41 PM,IN,15.7
% Cases Age [50-59],2020-06-18 09:06:41 PM,IN,18.1
% Cases Age [60-69],2020-06-18 09:06:41 PM,IN,18.2
% Cases Age [70-79],2020-06-18 09:06:41 PM,IN,12.4
% Cases Age [80+],2020-06-18 09:06:41 PM,IN,7.6
% Cases Age [0-19],2020-06-19 07:46:49 PM,IN,1.7
% Cases Age [20-29],2020-06-19 07:46:49 PM,IN,11.7
% Cases Age [30-39],2020-06-19 07:46:49 PM,IN,14.4
% Cases Age [40-49],2020-06-19 07:46:49 PM,IN,15.7
% Cases Age [50-59],2020-06-19 07:46:49 PM,IN,18.1
% Cases Age [60-69],2020-06-19 07:46:49 PM,IN,18.2
% Cases Age [70-79],2020-06-19 07:46:49 PM,IN,12.4
% Cases Age [80+],2020-06-19 07:46:49 PM,IN,7.6
% Cases Age [0-19],2020-06-20 09:22:31 PM,IN,1.7
% Cases Age [20-29],2020-06-20 09:22:31 PM,IN,11.7
% Cases Age [30-39],2020-06-20 09:22:31 PM,IN,14.4
% Cases Age [40-49],2020-06-20 09:22:31 PM,IN,15.7
% Cases Age [50-59],2020-06-20 09:22:31 PM,IN,18.1
% Cases Age [60-69],2020-06-20 09:22:31 PM,IN,18.2
% Cases Age [70-79],2020-06-20 09:22:31 PM,IN,12.4
% Cases Age [80+],2020-06-20 09:22:31 PM,IN,7.6
% Cases Age [0-19],2020-06-21 08:56:06 PM,IN,1.7
% Cases Age [20-29],2020-06-21 08:56:06 PM,IN,11.7
% Cases Age [30-39],2020-06-21 08:56:06 PM,IN,14.4
% Cases Age [40-49],2020-06-21 08:56:06 PM,IN,15.7
% Cases Age [50-59],2020-06-21 08:56:06 PM,IN,18.1
% Cases Age [60-69],2020-06-21 08:56:06 PM,IN,18.2
% Cases Age [70-79],2020-06-21 08:56:06 PM,IN,12.4
% Cases Age [80+],2020-06-21 08:56:06 PM,IN,7.6
% Cases Age [0-19],2020-06-22 07:56:31 PM,IN,1.7
% Cases Age [20-29],2020-06-22 07:56:31 PM,IN,11.7
% Cases Age [30-39],2020-06-22 07:56:31 PM,IN,14.4
% Cases Age [40-49],2020-06-22 07:56:31 PM,IN,15.7
% Cases Age [50-59],2020-06-22 07:56:31 PM,IN,18.1
% Cases Age [60-69],2020-06-22 07:56:31 PM,IN,18.2
% Cases Age [70-79],2020-06-22 07:56:31 PM,IN,12.4
% Cases Age [80+],2020-06-22 07:56:31 PM,IN,7.6
% Cases Age [0-19],2020-06-23 07:22:53 PM,IN,1.7
% Cases Age [20-29],2020-06-23 07:22:53 PM,IN,11.7
% Cases Age [30-39],2020-06-23 07:22:53 PM,IN,14.4
% Cases Age [40-49],2020-06-23 07:22:53 PM,IN,15.7
% Cases Age [50-59],2020-06-23 07:22:53 PM,IN,18.1
