Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-03-29 10:54:21 AM,LA,23
# Cases Age [18-29],2020-03-29 10:54:21 AM,LA,295
# Cases Age [30-39],2020-03-29 10:54:21 AM,LA,491
# Cases Age [40-49],2020-03-29 10:54:21 AM,LA,649
# Cases Age [50-59],2020-03-29 10:54:21 AM,LA,708
# Cases Age [60-69],2020-03-29 10:54:21 AM,LA,591
# Cases Age [70+],2020-03-29 10:54:21 AM,LA,558
# Cases Age [0-17],2020-03-29 07:35:40 PM,LA,27
# Cases Age [18-29],2020-03-29 07:35:40 PM,LA,318
# Cases Age [30-39],2020-03-29 07:35:40 PM,LA,515
# Cases Age [40-49],2020-03-29 07:35:40 PM,LA,691
# Cases Age [50-59],2020-03-29 07:35:40 PM,LA,738
# Cases Age [60-69],2020-03-29 07:35:40 PM,LA,641
# Cases Age [70+],2020-03-29 07:35:40 PM,LA,606
# Cases Age [0-17],2020-03-30 08:37:28 PM,LA,31
# Cases Age [18-29],2020-03-30 08:37:28 PM,LA,367
# Cases Age [30-39],2020-03-30 08:37:28 PM,LA,584
# Cases Age [40-49],2020-03-30 08:37:28 PM,LA,777
# Cases Age [50-59],2020-03-30 08:37:28 PM,LA,843
# Cases Age [60-69],2020-03-30 08:37:28 PM,LA,730
# Cases Age [70+],2020-03-30 08:37:28 PM,LA,693
# Cases Age [0-17],2020-03-31 09:15:15 PM,LA,47
# Cases Age [18-29],2020-03-31 09:15:15 PM,LA,496
# Cases Age [30-39],2020-03-31 09:15:15 PM,LA,819
# Cases Age [40-49],2020-03-31 09:15:15 PM,LA,993
# Cases Age [50-59],2020-03-31 09:15:15 PM,LA,1090
# Cases Age [60-69],2020-03-31 09:15:15 PM,LA,938
# Cases Age [70+],2020-03-31 09:15:15 PM,LA,854
# Cases Age [0-17],2020-04-01 08:08:39 PM,LA,53
# Cases Age [18-29],2020-04-01 08:08:39 PM,LA,632
# Cases Age [30-39],2020-04-01 08:08:39 PM,LA,1027
# Cases Age [40-49],2020-04-01 08:08:39 PM,LA,1228
# Cases Age [50-59],2020-04-01 08:08:39 PM,LA,1334
# Cases Age [60-69],2020-04-01 08:08:39 PM,LA,1138
# Cases Age [70+],2020-04-01 08:08:39 PM,LA,1012
# Cases Age [0-17],2020-04-02 08:26:36 PM,LA,65
# Cases Age [18-29],2020-04-02 08:26:36 PM,LA,878
# Cases Age [30-39],2020-04-02 08:26:36 PM,LA,1454
# Cases Age [40-49],2020-04-02 08:26:36 PM,LA,1714
# Cases Age [50-59],2020-04-02 08:26:36 PM,LA,1929
# Cases Age [60-69],2020-04-02 08:26:36 PM,LA,1640
# Cases Age [70+],2020-04-02 08:26:36 PM,LA,1470
# Cases Age [0-17],2020-04-03 08:24:49 PM,LA,74
# Cases Age [18-29],2020-04-03 08:24:49 PM,LA,981
# Cases Age [30-39],2020-04-03 08:24:49 PM,LA,1647
# Cases Age [40-49],2020-04-03 08:24:49 PM,LA,1906
# Cases Age [50-59],2020-04-03 08:24:49 PM,LA,2178
# Cases Age [60-69],2020-04-03 08:24:49 PM,LA,1854
# Cases Age [70+],2020-04-03 08:24:49 PM,LA,1657
# Cases Age [0-17],2020-04-04 08:10:28 PM,LA,89
# Cases Age [18-29],2020-04-04 08:10:28 PM,LA,1197
# Cases Age [30-39],2020-04-04 08:10:28 PM,LA,1989
# Cases Age [40-49],2020-04-04 08:10:28 PM,LA,2313
# Cases Age [50-59],2020-04-04 08:10:28 PM,LA,2628
# Cases Age [60-69],2020-04-04 08:10:28 PM,LA,2234
# Cases Age [70+],2020-04-04 08:10:28 PM,LA,2046
# Cases Age [0-17],2020-04-05 08:15:35 PM,LA,123
# Cases Age [18-29],2020-04-05 08:15:35 PM,LA,1247
# Cases Age [30-39],2020-04-05 08:15:35 PM,LA,2048
# Cases Age [40-49],2020-04-05 08:15:35 PM,LA,2395
# Cases Age [50-59],2020-04-05 08:15:35 PM,LA,2737
# Cases Age [60-69],2020-04-05 08:15:35 PM,LA,2306
# Cases Age [70+],2020-04-05 08:15:35 PM,LA,2154
# Cases Age [0-17],2020-04-06 08:29:17 PM,LA,126
# Cases Age [18-29],2020-04-06 08:29:17 PM,LA,1477
# Cases Age [30-39],2020-04-06 08:29:17 PM,LA,2380
# Cases Age [40-49],2020-04-06 08:29:17 PM,LA,2759
# Cases Age [50-59],2020-04-06 08:29:17 PM,LA,3117
# Cases Age [60-69],2020-04-06 08:29:17 PM,LA,2649
# Cases Age [70+],2020-04-06 08:29:17 PM,LA,2359
# Cases Age [0-17],2020-04-07 08:05:14 PM,LA,142
# Cases Age [18-29],2020-04-07 08:05:14 PM,LA,1637
# Cases Age [30-39],2020-04-07 08:05:14 PM,LA,2620
# Cases Age [40-49],2020-04-07 08:05:14 PM,LA,2977
# Cases Age [50-59],2020-04-07 08:05:14 PM,LA,3401
# Cases Age [60-69],2020-04-07 08:05:14 PM,LA,2904
# Cases Age [70+],2020-04-07 08:05:14 PM,LA,2603
# Cases Age [0-17],2020-04-08 08:19:20 PM,LA,155
# Cases Age [18-29],2020-04-08 08:19:20 PM,LA,1720
# Cases Age [30-39],2020-04-08 08:19:20 PM,LA,2745
# Cases Age [40-49],2020-04-08 08:19:20 PM,LA,3103
# Cases Age [50-59],2020-04-08 08:19:20 PM,LA,3547
# Cases Age [60-69],2020-04-08 08:19:20 PM,LA,3041
# Cases Age [70+],2020-04-08 08:19:20 PM,LA,2719
# Cases Age [0-17],2020-04-09 07:52:05 PM,LA,166
# Cases Age [18-29],2020-04-09 07:52:05 PM,LA,1889
# Cases Age [30-39],2020-04-09 07:52:05 PM,LA,2924
# Cases Age [40-49],2020-04-09 07:52:05 PM,LA,3303
# Cases Age [50-59],2020-04-09 07:52:05 PM,LA,3808
# Cases Age [60-69],2020-04-09 07:52:05 PM,LA,3258
# Cases Age [70+],2020-04-09 07:52:05 PM,LA,2935
# Cases Age [0-17],2020-04-10 08:21:11 PM,LA,180
# Cases Age [18-29],2020-04-10 08:21:11 PM,LA,2003
# Cases Age [30-39],2020-04-10 08:21:11 PM,LA,3072
# Cases Age [40-49],2020-04-10 08:21:11 PM,LA,3444
# Cases Age [50-59],2020-04-10 08:21:11 PM,LA,3963
# Cases Age [60-69],2020-04-10 08:21:11 PM,LA,3438
# Cases Age [70+],2020-04-10 08:21:11 PM,LA,3153
# Cases Age [0-17],2020-04-11 07:53:50 PM,LA,191
# Cases Age [18-29],2020-04-11 07:53:50 PM,LA,2103
# Cases Age [30-39],2020-04-11 07:53:50 PM,LA,3198
# Cases Age [40-49],2020-04-11 07:53:50 PM,LA,3566
# Cases Age [50-59],2020-04-11 07:53:50 PM,LA,4100
# Cases Age [60-69],2020-04-11 07:53:50 PM,LA,3549
# Cases Age [70+],2020-04-11 07:53:50 PM,LA,3307
# Cases Age [0-17],2020-04-12 08:39:44 PM,LA,194
# Cases Age [18-29],2020-04-12 08:39:44 PM,LA,2177
# Cases Age [30-39],2020-04-12 08:39:44 PM,LA,3277
# Cases Age [40-49],2020-04-12 08:39:44 PM,LA,3654
# Cases Age [50-59],2020-04-12 08:39:44 PM,LA,4196
# Cases Age [60-69],2020-04-12 08:39:44 PM,LA,3633
# Cases Age [70+],2020-04-12 08:39:44 PM,LA,3464
# Cases Age [0-17],2020-04-13 08:22:14 PM,LA,203
# Cases Age [18-29],2020-04-13 08:22:14 PM,LA,2225
# Cases Age [30-39],2020-04-13 08:22:14 PM,LA,3339
# Cases Age [40-49],2020-04-13 08:22:14 PM,LA,3729
# Cases Age [50-59],2020-04-13 08:22:14 PM,LA,4274
# Cases Age [60-69],2020-04-13 08:22:14 PM,LA,3711
# Cases Age [70+],2020-04-13 08:22:14 PM,LA,3535
# Cases Age [0-17],2020-04-13 10:54:02 PM,LA,203
# Cases Age [18-29],2020-04-13 10:54:02 PM,LA,2225
# Cases Age [30-39],2020-04-13 10:54:02 PM,LA,3339
# Cases Age [40-49],2020-04-13 10:54:02 PM,LA,3729
# Cases Age [50-59],2020-04-13 10:54:02 PM,LA,4274
# Cases Age [60-69],2020-04-13 10:54:02 PM,LA,3711
# Cases Age [70+],2020-04-13 10:54:02 PM,LA,3535
# Cases Age [0-17],2020-04-14 08:01:51 PM,LA,207
# Cases Age [18-29],2020-04-14 08:01:51 PM,LA,2294
# Cases Age [30-39],2020-04-14 08:01:51 PM,LA,3421
# Cases Age [40-49],2020-04-14 08:01:51 PM,LA,3805
