Column Name,Scrape Time,State,Value
# Cases Age [0-19],2020-04-08,MA,363
# Cases Age [20-29],2020-04-08,MA,2195
# Cases Age [30-39],2020-04-08,MA,2603
# Cases Age [40-49],2020-04-08,MA,2649
# Cases Age [50-59],2020-04-08,MA,3204
# Cases Age [60-69],2020-04-08,MA,2398
# Cases Age [70-79],2020-04-08,MA,1529
# Cases Age [80+],2020-04-08,MA,1847
# Cases Age [Unknown],2020-04-08,MA,2
# Cases Age [0-19],2020-04-09,MA,403
# Cases Age [20-29],2020-04-09,MA,2408
# Cases Age [30-39],2020-04-09,MA,2882
# Cases Age [40-49],2020-04-09,MA,2926
# Cases Age [50-59],2020-04-09,MA,3562
# Cases Age [60-69],2020-04-09,MA,2681
# Cases Age [70-79],2020-04-09,MA,1782
# Cases Age [80+],2020-04-09,MA,2292
# Cases Age [Unknown],2020-04-09,MA,5
# Cases Age [0-19],2020-04-10,MA,446
# Cases Age [20-29],2020-04-10,MA,2637
# Cases Age [30-39],2020-04-10,MA,3201
# Cases Age [40-49],2020-04-10,MA,3236
# Cases Age [50-59],2020-04-10,MA,3931
# Cases Age [60-69],2020-04-10,MA,2950
# Cases Age [70-79],2020-04-10,MA,2001
# Cases Age [80+],2020-04-10,MA,2562
# Cases Age [Unknown],2020-04-10,MA,10
# Cases Age [0-19],2020-04-11,MA,500
# Cases Age [20-29],2020-04-11,MA,2834
# Cases Age [30-39],2020-04-11,MA,3459
# Cases Age [40-49],2020-04-11,MA,3500
# Cases Age [50-59],2020-04-11,MA,4279
# Cases Age [60-69],2020-04-11,MA,3224
# Cases Age [70-79],2020-04-11,MA,2169
# Cases Age [80+],2020-04-11,MA,2883
# Cases Age [Unknown],2020-04-11,MA,12
# Cases Age [0-19],2020-04-12,MA,554
# Cases Age [20-29],2020-04-12,MA,3107
# Cases Age [30-39],2020-04-12,MA,3801
# Cases Age [40-49],2020-04-12,MA,3848
# Cases Age [50-59],2020-04-12,MA,4654
# Cases Age [60-69],2020-04-12,MA,3582
# Cases Age [70-79],2020-04-12,MA,2424
# Cases Age [80+],2020-04-12,MA,3297
# Cases Age [Unknown],2020-04-12,MA,208
# Cases Age [0-19],2020-04-13,MA,593
# Cases Age [20-29],2020-04-13,MA,3262
# Cases Age [30-39],2020-04-13,MA,3993
# Cases Age [40-49],2020-04-13,MA,4002
# Cases Age [50-59],2020-04-13,MA,4896
# Cases Age [60-69],2020-04-13,MA,3778
# Cases Age [70-79],2020-04-13,MA,2580
# Cases Age [80+],2020-04-13,MA,3558
# Cases Age [Unknown],2020-04-13,MA,205
# Cases Age [0-19],2020-04-14,MA,622
# Cases Age [20-29],2020-04-14,MA,3393
# Cases Age [30-39],2020-04-14,MA,4165
# Cases Age [40-49],2020-04-14,MA,4166
# Cases Age [50-59],2020-04-14,MA,5120
# Cases Age [60-69],2020-04-14,MA,3979
# Cases Age [70-79],2020-04-14,MA,2744
# Cases Age [80+],2020-04-14,MA,3796
# Cases Age [Unknown],2020-04-14,MA,178
# Cases Age [0-19],2020-04-15,MA,675
# Cases Age [20-29],2020-04-15,MA,3593
# Cases Age [30-39],2020-04-15,MA,4448
# Cases Age [40-49],2020-04-15,MA,4455
# Cases Age [50-59],2020-04-15,MA,5420
# Cases Age [60-69],2020-04-15,MA,4244
# Cases Age [70-79],2020-04-15,MA,2894
# Cases Age [80+],2020-04-15,MA,3973
# Cases Age [Unknown],2020-04-15,MA,216
# Cases Age [0-19],2020-04-16,MA,737
# Cases Age [20-29],2020-04-16,MA,3826
# Cases Age [30-39],2020-04-16,MA,4706
# Cases Age [40-49],2020-04-16,MA,4754
# Cases Age [50-59],2020-04-16,MA,5784
# Cases Age [60-69],2020-04-16,MA,4562
# Cases Age [70-79],2020-04-16,MA,3142
# Cases Age [80+],2020-04-16,MA,4423
# Cases Age [Unknown],2020-04-16,MA,247
# Cases Age [0-19],2020-04-17,MA,803
# Cases Age [20-29],2020-04-17,MA,4095
# Cases Age [30-39],2020-04-17,MA,5040
# Cases Age [40-49],2020-04-17,MA,5071
# Cases Age [50-59],2020-04-17,MA,6158
# Cases Age [60-69],2020-04-17,MA,4850
# Cases Age [70-79],2020-04-17,MA,3342
# Cases Age [80+],2020-04-17,MA,4777
# Cases Age [Unknown],2020-04-17,MA,266
# Cases Age [0-19],2020-04-18,MA,852
# Cases Age [20-29],2020-04-18,MA,4314
# Cases Age [30-39],2020-04-18,MA,5282
# Cases Age [40-49],2020-04-18,MA,5326
# Cases Age [50-59],2020-04-18,MA,6445
# Cases Age [60-69],2020-04-18,MA,5090
# Cases Age [70-79],2020-04-18,MA,3571
# Cases Age [80+],2020-04-18,MA,5193
# Cases Age [Unknown],2020-04-18,MA,299
# Cases Age [0-19],2020-04-19,MA,899
# Cases Age [20-29],2020-04-19,MA,4483
# Cases Age [30-39],2020-04-19,MA,5483
# Cases Age [40-49],2020-04-19,MA,5517
# Cases Age [50-59],2020-04-19,MA,6687
# Cases Age [60-69],2020-04-19,MA,5315
# Cases Age [70-79],2020-04-19,MA,3767
# Cases Age [80+],2020-04-19,MA,5634
# Cases Age [Unknown],2020-04-19,MA,292
# Cases Age [0-19],2020-03-29,MA,101
# Cases Age [20-29],2020-03-29,MA,842
# Cases Age [30-39],2020-03-29,MA,866
# Cases Age [40-49],2020-03-29,MA,810
# Cases Age [50-59],2020-03-29,MA,953
# Cases Age [60-69],2020-03-29,MA,686
