Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-03-28,MD,5
# Cases Age [10-19],2020-03-28,MD,15
# Cases Age [20-29],2020-03-28,MD,138
# Cases Age [30-39],2020-03-28,MD,174
# Cases Age [40-49],2020-03-28,MD,204
# Cases Age [50-59],2020-03-28,MD,195
# Cases Age [60-69],2020-03-28,MD,143
# Cases Age [70-79],2020-03-28,MD,91
# Cases Age [80+],2020-03-28,MD,27
# Cases Age [Unknown],2020-03-28,MD,nan
# Cases Age [0-9],2020-03-29,MD,4
# Cases Age [10-19],2020-03-29,MD,21
# Cases Age [20-29],2020-03-29,MD,165
# Cases Age [30-39],2020-03-29,MD,203
# Cases Age [40-49],2020-03-29,MD,241
# Cases Age [50-59],2020-03-29,MD,243
# Cases Age [60-69],2020-03-29,MD,191
# Cases Age [70-79],2020-03-29,MD,117
# Cases Age [80+],2020-03-29,MD,54
# Cases Age [Unknown],2020-03-29,MD,nan
# Cases Age [0-9],2020-03-30,MD,5
# Cases Age [10-19],2020-03-30,MD,27
# Cases Age [20-29],2020-03-30,MD,188
# Cases Age [30-39],2020-03-30,MD,247
# Cases Age [40-49],2020-03-30,MD,262
# Cases Age [50-59],2020-03-30,MD,274
# Cases Age [60-69],2020-03-30,MD,219
# Cases Age [70-79],2020-03-30,MD,139
# Cases Age [80+],2020-03-30,MD,52
# Cases Age [Unknown],2020-03-30,MD,nan
# Cases Age [0-9],2020-03-31,MD,6
# Cases Age [10-19],2020-03-31,MD,32
# Cases Age [20-29],2020-03-31,MD,215
# Cases Age [30-39],2020-03-31,MD,290
# Cases Age [40-49],2020-03-31,MD,304
# Cases Age [50-59],2020-03-31,MD,335
# Cases Age [60-69],2020-03-31,MD,260
# Cases Age [70-79],2020-03-31,MD,157
# Cases Age [80+],2020-03-31,MD,61
# Cases Age [Unknown],2020-03-31,MD,nan
# Cases Age [0-9],2020-04-01,MD,6
# Cases Age [10-19],2020-04-01,MD,39
# Cases Age [20-29],2020-04-01,MD,252
# Cases Age [30-39],2020-04-01,MD,345
# Cases Age [40-49],2020-04-01,MD,372
# Cases Age [50-59],2020-04-01,MD,396
# Cases Age [60-69],2020-04-01,MD,309
# Cases Age [70-79],2020-04-01,MD,187
# Cases Age [80+],2020-04-01,MD,79
# Cases Age [Unknown],2020-04-01,MD,nan
# Cases Age [0-9],2020-04-02,MD,9
# Cases Age [10-19],2020-04-02,MD,46
# Cases Age [20-29],2020-04-02,MD,286
# Cases Age [30-39],2020-04-02,MD,410
# Cases Age [40-49],2020-04-02,MD,437
# Cases Age [50-59],2020-04-02,MD,471
# Cases Age [60-69],2020-04-02,MD,357
# Cases Age [70-79],2020-04-02,MD,217
# Cases Age [80+],2020-04-02,MD,98
# Cases Age [Unknown],2020-04-02,MD,nan
# Cases Age [0-9],2020-04-03,MD,9
# Cases Age [10-19],2020-04-03,MD,55
# Cases Age [20-29],2020-04-03,MD,335
# Cases Age [30-39],2020-04-03,MD,485
# Cases Age [40-49],2020-04-03,MD,509
# Cases Age [50-59],2020-04-03,MD,552
# Cases Age [60-69],2020-04-03,MD,423
# Cases Age [70-79],2020-04-03,MD,266
# Cases Age [80+],2020-04-03,MD,124
# Cases Age [Unknown],2020-04-03,MD,nan
# Cases Age [0-9],2020-04-04,MD,13
# Cases Age [10-19],2020-04-04,MD,65
# Cases Age [20-29],2020-04-04,MD,379
# Cases Age [30-39],2020-04-04,MD,557
# Cases Age [40-49],2020-04-04,MD,575
# Cases Age [50-59],2020-04-04,MD,625
# Cases Age [60-69],2020-04-04,MD,473
# Cases Age [70-79],2020-04-04,MD,299
# Cases Age [80+],2020-04-04,MD,139
# Cases Age [Unknown],2020-04-04,MD,nan
# Cases Age [0-9],2020-04-05,MD,16
# Cases Age [10-19],2020-04-05,MD,69
# Cases Age [20-29],2020-04-05,MD,422
# Cases Age [30-39],2020-04-05,MD,638
# Cases Age [40-49],2020-04-05,MD,666
# Cases Age [50-59],2020-04-05,MD,736
# Cases Age [60-69],2020-04-05,MD,546
# Cases Age [70-79],2020-04-05,MD,354
# Cases Age [80+],2020-04-05,MD,162
# Cases Age [Unknown],2020-04-05,MD,nan
# Cases Age [0-9],2020-04-06,MD,16
# Cases Age [10-19],2020-04-06,MD,76
# Cases Age [20-29],2020-04-06,MD,469
# Cases Age [30-39],2020-04-06,MD,718
# Cases Age [40-49],2020-04-06,MD,737
# Cases Age [50-59],2020-04-06,MD,825
# Cases Age [60-69],2020-04-06,MD,597
# Cases Age [70-79],2020-04-06,MD,407
# Cases Age [80+],2020-04-06,MD,200
# Cases Age [Unknown],2020-04-06,MD,nan
# Cases Age [0-9],2020-04-07,MD,21
# Cases Age [10-19],2020-04-07,MD,82
# Cases Age [20-29],2020-04-07,MD,505
# Cases Age [30-39],2020-04-07,MD,773
# Cases Age [40-49],2020-04-07,MD,795
# Cases Age [50-59],2020-04-07,MD,891
# Cases Age [60-69],2020-04-07,MD,643
# Cases Age [70-79],2020-04-07,MD,445
# Cases Age [80+],2020-04-07,MD,216
# Cases Age [Unknown],2020-04-07,MD,nan
# Cases Age [0-9],2020-04-08,MD,27
# Cases Age [10-19],2020-04-08,MD,109
# Cases Age [20-29],2020-04-08,MD,625
# Cases Age [30-39],2020-04-08,MD,968
# Cases Age [40-49],2020-04-08,MD,1015
# Cases Age [50-59],2020-04-08,MD,1135
# Cases Age [60-69],2020-04-08,MD,833
# Cases Age [70-79],2020-04-08,MD,550
# Cases Age [80+],2020-04-08,MD,267
# Cases Age [Unknown],2020-04-08,MD,nan
# Cases Age [0-9],2020-04-09,MD,33
# Cases Age [10-19],2020-04-09,MD,127
# Cases Age [20-29],2020-04-09,MD,701
# Cases Age [30-39],2020-04-09,MD,1076
# Cases Age [40-49],2020-04-09,MD,1145
# Cases Age [50-59],2020-04-09,MD,1282
# Cases Age [60-69],2020-04-09,MD,913
# Cases Age [70-79],2020-04-09,MD,600
# Cases Age [80+],2020-04-09,MD,308
# Cases Age [Unknown],2020-04-09,MD,nan
# Cases Age [0-9],2020-04-10,MD,36
# Cases Age [10-19],2020-04-10,MD,146
# Cases Age [20-29],2020-04-10,MD,772
# Cases Age [30-39],2020-04-10,MD,1205
# Cases Age [40-49],2020-04-10,MD,1281
# Cases Age [50-59],2020-04-10,MD,1421
# Cases Age [60-69],2020-04-10,MD,1051
# Cases Age [70-79],2020-04-10,MD,685
# Cases Age [80+],2020-04-10,MD,371
# Cases Age [Unknown],2020-04-10,MD,nan
# Cases Age [0-9],2020-04-11,MD,45
# Cases Age [10-19],2020-04-11,MD,162
# Cases Age [20-29],2020-04-11,MD,855
# Cases Age [30-39],2020-04-11,MD,1317
# Cases Age [40-49],2020-04-11,MD,1413
# Cases Age [50-59],2020-04-11,MD,1565
# Cases Age [60-69],2020-04-11,MD,1141
# Cases Age [70-79],2020-04-11,MD,757
# Cases Age [80+],2020-04-11,MD,439
# Cases Age [Unknown],2020-04-11,MD,nan
# Cases Age [0-9],2020-04-12,MD,52
# Cases Age [10-19],2020-04-12,MD,172
# Cases Age [20-29],2020-04-12,MD,906
# Cases Age [30-39],2020-04-12,MD,1390
# Cases Age [40-49],2020-04-12,MD,1504
# Cases Age [50-59],2020-04-12,MD,1675
# Cases Age [60-69],2020-04-12,MD,1212
# Cases Age [70-79],2020-04-12,MD,816
