Column Name,Scrape Time,State,Value
# Cases Age [0-19],2020-07-28 08:28:35 PM,ME,347
# Cases Age [20-29],2020-07-28 08:28:35 PM,ME,621
# Cases Age [30-39],2020-07-28 08:28:35 PM,ME,593
# Cases Age [40-49],2020-07-28 08:28:35 PM,ME,581
# Cases Age [50-59],2020-07-28 08:28:35 PM,ME,624
# Cases Age [60-69],2020-07-28 08:28:35 PM,ME,442
# Cases Age [70-79],2020-07-28 08:28:35 PM,ME,311
# Cases Age [80+],2020-07-28 08:28:35 PM,ME,319
% Cases Age [0-19],2020-07-28 08:28:35 PM,ME,9.0
% Cases Age [20-29],2020-07-28 08:28:35 PM,ME,16.2
% Cases Age [30-39],2020-07-28 08:28:35 PM,ME,15.5
% Cases Age [40-49],2020-07-28 08:28:35 PM,ME,15.1
% Cases Age [50-59],2020-07-28 08:28:35 PM,ME,16.3
% Cases Age [60-69],2020-07-28 08:28:35 PM,ME,11.5
% Cases Age [70-79],2020-07-28 08:28:35 PM,ME,8.1
% Cases Age [80+],2020-07-28 08:28:35 PM,ME,8.3
# Cases Age [0-19],2020-07-29 08:28:45 PM,ME,350
# Cases Age [20-29],2020-07-29 08:28:45 PM,ME,628
# Cases Age [30-39],2020-07-29 08:28:45 PM,ME,597
# Cases Age [40-49],2020-07-29 08:28:45 PM,ME,584
# Cases Age [50-59],2020-07-29 08:28:45 PM,ME,628
# Cases Age [60-69],2020-07-29 08:28:45 PM,ME,449
# Cases Age [70-79],2020-07-29 08:28:45 PM,ME,311
# Cases Age [80+],2020-07-29 08:28:45 PM,ME,319
% Cases Age [0-19],2020-07-29 08:28:45 PM,ME,9.1
% Cases Age [20-29],2020-07-29 08:28:45 PM,ME,16.2
% Cases Age [30-39],2020-07-29 08:28:45 PM,ME,15.4
% Cases Age [40-49],2020-07-29 08:28:45 PM,ME,15.1
% Cases Age [50-59],2020-07-29 08:28:45 PM,ME,16.2
% Cases Age [60-69],2020-07-29 08:28:45 PM,ME,11.6
% Cases Age [70-79],2020-07-29 08:28:45 PM,ME,8.0
% Cases Age [80+],2020-07-29 08:28:45 PM,ME,8.3
# Cases Age [0-19],2020-07-30 08:46:36 PM,ME,352
# Cases Age [20-29],2020-07-30 08:46:36 PM,ME,632
# Cases Age [30-39],2020-07-30 08:46:36 PM,ME,599
# Cases Age [40-49],2020-07-30 08:46:36 PM,ME,586
# Cases Age [50-59],2020-07-30 08:46:36 PM,ME,634
# Cases Age [60-69],2020-07-30 08:46:36 PM,ME,450
# Cases Age [70-79],2020-07-30 08:46:36 PM,ME,315
# Cases Age [80+],2020-07-30 08:46:36 PM,ME,320
% Cases Age [0-19],2020-07-30 08:46:36 PM,ME,9.1
% Cases Age [20-29],2020-07-30 08:46:36 PM,ME,16.3
% Cases Age [30-39],2020-07-30 08:46:36 PM,ME,15.4
% Cases Age [40-49],2020-07-30 08:46:36 PM,ME,15.1
% Cases Age [50-59],2020-07-30 08:46:36 PM,ME,16.3
% Cases Age [60-69],2020-07-30 08:46:36 PM,ME,11.6
% Cases Age [70-79],2020-07-30 08:46:36 PM,ME,8.1
% Cases Age [80+],2020-07-30 08:46:36 PM,ME,8.2
# Cases Age [0-19],2020-07-31 08:14:50 PM,ME,357
# Cases Age [20-29],2020-07-31 08:14:50 PM,ME,637
# Cases Age [30-39],2020-07-31 08:14:50 PM,ME,602
# Cases Age [40-49],2020-07-31 08:14:50 PM,ME,587
# Cases Age [50-59],2020-07-31 08:14:50 PM,ME,638
# Cases Age [60-69],2020-07-31 08:14:50 PM,ME,454
# Cases Age [70-79],2020-07-31 08:14:50 PM,ME,317
# Cases Age [80+],2020-07-31 08:14:50 PM,ME,320
% Cases Age [0-19],2020-07-31 08:14:50 PM,ME,9.1
% Cases Age [20-29],2020-07-31 08:14:50 PM,ME,16.3
% Cases Age [30-39],2020-07-31 08:14:50 PM,ME,15.4
% Cases Age [40-49],2020-07-31 08:14:50 PM,ME,15.0
% Cases Age [50-59],2020-07-31 08:14:50 PM,ME,16.3
% Cases Age [60-69],2020-07-31 08:14:50 PM,ME,11.6
% Cases Age [70-79],2020-07-31 08:14:50 PM,ME,8.1
% Cases Age [80+],2020-07-31 08:14:50 PM,ME,8.2
# Cases Age [0-19],2020-08-01 08:21:47 PM,ME,360
# Cases Age [20-29],2020-08-01 08:21:47 PM,ME,640
# Cases Age [30-39],2020-08-01 08:21:47 PM,ME,606
# Cases Age [40-49],2020-08-01 08:21:47 PM,ME,589
# Cases Age [50-59],2020-08-01 08:21:47 PM,ME,645
# Cases Age [60-69],2020-08-01 08:21:47 PM,ME,457
# Cases Age [70-79],2020-08-01 08:21:47 PM,ME,318
# Cases Age [80+],2020-08-01 08:21:47 PM,ME,322
% Cases Age [0-19],2020-08-01 08:21:47 PM,ME,9.1
% Cases Age [20-29],2020-08-01 08:21:47 PM,ME,16.3
% Cases Age [30-39],2020-08-01 08:21:47 PM,ME,15.4
% Cases Age [40-49],2020-08-01 08:21:47 PM,ME,15.0
% Cases Age [50-59],2020-08-01 08:21:47 PM,ME,16.4
% Cases Age [60-69],2020-08-01 08:21:47 PM,ME,11.6
% Cases Age [70-79],2020-08-01 08:21:47 PM,ME,8.1
% Cases Age [80+],2020-08-01 08:21:47 PM,ME,8.2
# Cases Age [0-19],2020-08-02 08:34:16 PM,ME,365
# Cases Age [20-29],2020-08-02 08:34:16 PM,ME,642
# Cases Age [30-39],2020-08-02 08:34:16 PM,ME,609
# Cases Age [40-49],2020-08-02 08:34:16 PM,ME,590
# Cases Age [50-59],2020-08-02 08:34:16 PM,ME,652
# Cases Age [60-69],2020-08-02 08:34:16 PM,ME,459
# Cases Age [70-79],2020-08-02 08:34:16 PM,ME,318
# Cases Age [80+],2020-08-02 08:34:16 PM,ME,323
% Cases Age [0-19],2020-08-02 08:34:16 PM,ME,9.2
% Cases Age [20-29],2020-08-02 08:34:16 PM,ME,16.2
% Cases Age [30-39],2020-08-02 08:34:16 PM,ME,15.4
% Cases Age [40-49],2020-08-02 08:34:16 PM,ME,14.9
% Cases Age [50-59],2020-08-02 08:34:16 PM,ME,16.5
% Cases Age [60-69],2020-08-02 08:34:16 PM,ME,11.6
% Cases Age [70-79],2020-08-02 08:34:16 PM,ME,8.0
% Cases Age [80+],2020-08-02 08:34:16 PM,ME,8.2
# Cases Age [0-19],2020-08-03 08:23:47 PM,ME,366
# Cases Age [20-29],2020-08-03 08:23:47 PM,ME,649
# Cases Age [30-39],2020-08-03 08:23:47 PM,ME,609
# Cases Age [40-49],2020-08-03 08:23:47 PM,ME,591
# Cases Age [50-59],2020-08-03 08:23:47 PM,ME,654
# Cases Age [60-69],2020-08-03 08:23:47 PM,ME,459
# Cases Age [70-79],2020-08-03 08:23:47 PM,ME,319
# Cases Age [80+],2020-08-03 08:23:47 PM,ME,323
% Cases Age [0-19],2020-08-03 08:23:47 PM,ME,9.2
% Cases Age [20-29],2020-08-03 08:23:47 PM,ME,16.3
% Cases Age [30-39],2020-08-03 08:23:47 PM,ME,15.3
