Column Name,Scrape Time,State,Value
# Cases Age [0-19],2020-03-21,MI,15
# Cases Age [20-29],2020-03-21,MI,70
# Cases Age [30-39],2020-03-21,MI,118
# Cases Age [40-49],2020-03-21,MI,157
# Cases Age [50-59],2020-03-21,MI,157
# Cases Age [60-69],2020-03-21,MI,149
# Cases Age [70-79],2020-03-21,MI,78
# Cases Age [80+],2020-03-21,MI,47
# Cases Age [Unknown],2020-03-21,MI,nan
# Cases Age [0-19],2020-03-22,MI,10
# Cases Age [20-29],2020-03-22,MI,82
# Cases Age [30-39],2020-03-22,MI,144
# Cases Age [40-49],2020-03-22,MI,186
# Cases Age [50-59],2020-03-22,MI,196
# Cases Age [60-69],2020-03-22,MI,207
# Cases Age [70-79],2020-03-22,MI,124
# Cases Age [80+],2020-03-22,MI,72
# Cases Age [Unknown],2020-03-22,MI,nan
# Cases Age [0-19],2020-03-23,MI,13
# Cases Age [20-29],2020-03-23,MI,119
# Cases Age [30-39],2020-03-23,MI,185
# Cases Age [40-49],2020-03-23,MI,239
# Cases Age [50-59],2020-03-23,MI,252
# Cases Age [60-69],2020-03-23,MI,265
# Cases Age [70-79],2020-03-23,MI,159
# Cases Age [80+],2020-03-23,MI,92
# Cases Age [Unknown],2020-03-23,MI,nan
# Cases Age [0-19],2020-03-24,MI,17
# Cases Age [20-29],2020-03-24,MI,143
# Cases Age [30-39],2020-03-24,MI,232
# Cases Age [40-49],2020-03-24,MI,304
# Cases Age [50-59],2020-03-24,MI,358
# Cases Age [60-69],2020-03-24,MI,376
# Cases Age [70-79],2020-03-24,MI,232
# Cases Age [80+],2020-03-24,MI,125
# Cases Age [Unknown],2020-03-24,MI,nan
# Cases Age [0-19],2020-03-25,MI,22
# Cases Age [20-29],2020-03-25,MI,183
# Cases Age [30-39],2020-03-25,MI,275
# Cases Age [40-49],2020-03-25,MI,389
# Cases Age [50-59],2020-03-25,MI,435
# Cases Age [60-69],2020-03-25,MI,481
# Cases Age [70-79],2020-03-25,MI,321
# Cases Age [80+],2020-03-25,MI,183
# Cases Age [Unknown],2020-03-25,MI,nan
# Cases Age [0-19],2020-03-26,MI,28
# Cases Age [20-29],2020-03-26,MI,199
# Cases Age [30-39],2020-03-26,MI,342
# Cases Age [40-49],2020-03-26,MI,456
# Cases Age [50-59],2020-03-26,MI,542
# Cases Age [60-69],2020-03-26,MI,599
# Cases Age [70-79],2020-03-26,MI,428
# Cases Age [80+],2020-03-26,MI,228
# Cases Age [Unknown],2020-03-26,MI,nan
# Cases Age [0-19],2020-03-27,MI,36
# Cases Age [20-29],2020-03-27,MI,292
# Cases Age [30-39],2020-03-27,MI,475
# Cases Age [40-49],2020-03-27,MI,621
# Cases Age [50-59],2020-03-27,MI,694
# Cases Age [60-69],2020-03-27,MI,731
# Cases Age [70-79],2020-03-27,MI,511
# Cases Age [80+],2020-03-27,MI,292
# Cases Age [Unknown],2020-03-27,MI,nan
# Cases Age [0-19],2020-03-28,MI,36
# Cases Age [20-29],2020-03-28,MI,292
# Cases Age [30-39],2020-03-28,MI,475
# Cases Age [40-49],2020-03-28,MI,621
# Cases Age [50-59],2020-03-28,MI,694
# Cases Age [60-69],2020-03-28,MI,731
# Cases Age [70-79],2020-03-28,MI,511
# Cases Age [80+],2020-03-28,MI,292
# Cases Age [Unknown],2020-03-28,MI,nan
# Cases Age [0-19],2020-03-29,MI,36
# Cases Age [20-29],2020-03-29,MI,292
# Cases Age [30-39],2020-03-29,MI,475
# Cases Age [40-49],2020-03-29,MI,621
# Cases Age [50-59],2020-03-29,MI,694
# Cases Age [60-69],2020-03-29,MI,731
# Cases Age [70-79],2020-03-29,MI,511
# Cases Age [80+],2020-03-29,MI,292
# Cases Age [Unknown],2020-03-29,MI,nan
# Cases Age [0-19],2020-03-30,MI,54
# Cases Age [20-29],2020-03-30,MI,493
# Cases Age [30-39],2020-03-30,MI,713
# Cases Age [40-49],2020-03-30,MI,932
# Cases Age [50-59],2020-03-30,MI,1097
# Cases Age [60-69],2020-03-30,MI,1042
# Cases Age [70-79],2020-03-30,MI,768
# Cases Age [80+],2020-03-30,MI,438
# Cases Age [Unknown],2020-03-30,MI,nan
# Cases Age [0-19],2020-03-31,MI,76
# Cases Age [20-29],2020-03-31,MI,685
# Cases Age [30-39],2020-03-31,MI,989
# Cases Age [40-49],2020-03-31,MI,1294
# Cases Age [50-59],2020-03-31,MI,1523
# Cases Age [60-69],2020-03-31,MI,1446
# Cases Age [70-79],2020-03-31,MI,1066
# Cases Age [80+],2020-03-31,MI,609
# Cases Age [Unknown],2020-03-31,MI,nan
# Cases Age [0-19],2020-04-01,MI,93
# Cases Age [20-29],2020-04-01,MI,933
# Cases Age [30-39],2020-04-01,MI,1213
# Cases Age [40-49],2020-04-01,MI,1586
# Cases Age [50-59],2020-04-01,MI,1866
# Cases Age [60-69],2020-04-01,MI,1680
# Cases Age [70-79],2020-04-01,MI,1213
# Cases Age [80+],2020-04-01,MI,746
# Cases Age [Unknown],2020-04-01,MI,nan
# Cases Age [0-19],2020-04-02,MI,0
# Cases Age [20-29],2020-04-02,MI,4
# Cases Age [30-39],2020-04-02,MI,8
# Cases Age [40-49],2020-04-02,MI,29
# Cases Age [50-59],2020-04-02,MI,50
# Cases Age [60-69],2020-04-02,MI,83
# Cases Age [70-79],2020-04-02,MI,104
# Cases Age [80+],2020-04-02,MI,141
# Cases Age [Unknown],2020-04-02,MI,nan
# Cases Age [0-19],2020-04-03,MI,0
# Cases Age [20-29],2020-04-03,MI,4
# Cases Age [30-39],2020-04-03,MI,9
# Cases Age [40-49],2020-04-03,MI,28
# Cases Age [50-59],2020-04-03,MI,57
# Cases Age [60-69],2020-04-03,MI,95
# Cases Age [70-79],2020-04-03,MI,114
