Column Name,Scrape Time,State,Value
# Cases Age [0-5],2020-04-06,MN,4.0
# Cases Age [6-19],2020-04-06,MN,25.0
# Cases Age [20-44],2020-04-06,MN,393.0
# Cases Age [45-64],2020-04-06,MN,334.0
# Cases Age [65+],2020-04-06,MN,229.0
# Cases Age [Unknown],2020-04-06,MN,nan
# Cases Age [20-29],2020-04-06,MN,nan
# Cases Age [30-39],2020-04-06,MN,nan
# Cases Age [40-49],2020-04-06,MN,nan
# Cases Age [50-59],2020-04-06,MN,nan
# Cases Age [60-69],2020-04-06,MN,nan
# Cases Age [70+],2020-04-06,MN,nan
# Cases Age [70-79],2020-04-06,MN,nan
# Cases Age [80-89],2020-04-06,MN,nan
# Cases Age [90-99],2020-04-06,MN,nan
# Cases Age [100+],2020-04-06,MN,nan
# Cases Age [0-4],2020-04-06,MN,nan
# Cases Age [5-9],2020-04-06,MN,nan
# Cases Age [10-14],2020-04-06,MN,nan
# Cases Age [15-19],2020-04-06,MN,nan
# Cases Age [20-24],2020-04-06,MN,nan
# Cases Age [25-29],2020-04-06,MN,nan
# Cases Age [30-34],2020-04-06,MN,nan
# Cases Age [35-39],2020-04-06,MN,nan
# Cases Age [40-44],2020-04-06,MN,nan
# Cases Age [45-49],2020-04-06,MN,nan
# Cases Age [50-54],2020-04-06,MN,nan
# Cases Age [55-59],2020-04-06,MN,nan
# Cases Age [60-64],2020-04-06,MN,nan
# Cases Age [65-69],2020-04-06,MN,nan
# Cases Age [70-74],2020-04-06,MN,nan
# Cases Age [75-79],2020-04-06,MN,nan
# Cases Age [80-84],2020-04-06,MN,nan
# Cases Age [85-89],2020-04-06,MN,nan
# Cases Age [90-94],2020-04-06,MN,nan
# Cases Age [95-99],2020-04-06,MN,nan
# Cases Age [0-5],2020-04-07,MN,5.0
# Cases Age [6-19],2020-04-07,MN,26.0
# Cases Age [20-44],2020-04-07,MN,424.0
# Cases Age [45-64],2020-04-07,MN,357.0
# Cases Age [65+],2020-04-07,MN,256.0
# Cases Age [Unknown],2020-04-07,MN,nan
