Column Name,Scrape Time,State,Value
# Cases Age [0-19],April 15,MO,112
# Cases Age [20-24],April 15,MO,311
# Cases Age [25-29],April 15,MO,333
# Cases Age [30-34],April 15,MO,313
# Cases Age [35-39],April 15,MO,304
# Cases Age [40-44],April 15,MO,363
# Cases Age [45-49],April 15,MO,431
# Cases Age [50-54],April 15,MO,480
# Cases Age [55-59],April 15,MO,510
# Cases Age [60-64],April 15,MO,489
# Cases Age [65-69],April 15,MO,385
# Cases Age [70-74],April 15,MO,274.0
# Cases Age [75-79],April 15,MO,215.0
# Cases Age [80+],April 15,MO,370.0
# Cases Age [Unknown],April 15,MO,nan
# Cases Age [0-19],April 14,MO,109
# Cases Age [20-24],April 14,MO,295
# Cases Age [25-29],April 14,MO,317
# Cases Age [30-34],April 14,MO,300
# Cases Age [35-39],April 14,MO,294
# Cases Age [40-44],April 14,MO,349
# Cases Age [45-49],April 14,MO,411
# Cases Age [50-54],April 14,MO,468
# Cases Age [55-59],April 14,MO,493
# Cases Age [60-64],April 14,MO,467
# Cases Age [65-69],April 14,MO,365
# Cases Age [70-74],April 14,MO,269.0
# Cases Age [75-79],April 14,MO,203.0
# Cases Age [80+],April 14,MO,342.0
# Cases Age [Unknown],April 14,MO,4.0
# Cases Age [0-19],April 13,MO,100
# Cases Age [20-24],April 13,MO,281
# Cases Age [25-29],April 13,MO,301
# Cases Age [30-34],April 13,MO,280
# Cases Age [35-39],April 13,MO,280
# Cases Age [40-44],April 13,MO,328
# Cases Age [45-49],April 13,MO,382
# Cases Age [50-54],April 13,MO,439
# Cases Age [55-59],April 13,MO,459
# Cases Age [60-64],April 13,MO,445
# Cases Age [65-69],April 13,MO,346
# Cases Age [70-74],April 13,MO,257.0
# Cases Age [75-79],April 13,MO,185.0
# Cases Age [80+],April 13,MO,301.0
# Cases Age [Unknown],April 13,MO,4.0
# Cases Age [0-19],April 12,MO,95
# Cases Age [20-24],April 12,MO,269
# Cases Age [25-29],April 12,MO,290
# Cases Age [30-34],April 12,MO,262
# Cases Age [35-39],April 12,MO,264
# Cases Age [40-44],April 12,MO,309
# Cases Age [45-49],April 12,MO,368
# Cases Age [50-54],April 12,MO,419
# Cases Age [55-59],April 12,MO,450
# Cases Age [60-64],April 12,MO,417
# Cases Age [65-69],April 12,MO,328
# Cases Age [70-74],April 12,MO,243.0
# Cases Age [75-79],April 12,MO,169.0
# Cases Age [80+],April 12,MO,274.0
# Cases Age [Unknown],April 12,MO,3.0
# Cases Age [0-19],April 11,MO,94
# Cases Age [20-24],April 11,MO,265
# Cases Age [25-29],April 11,MO,279
# Cases Age [30-34],April 11,MO,255
# Cases Age [35-39],April 11,MO,256
# Cases Age [40-44],April 11,MO,301
# Cases Age [45-49],April 11,MO,356
# Cases Age [50-54],April 11,MO,406
# Cases Age [55-59],April 11,MO,440
# Cases Age [60-64],April 11,MO,398
# Cases Age [65-69],April 11,MO,317
# Cases Age [70-74],April 11,MO,234.0
# Cases Age [75-79],April 11,MO,161.0
# Cases Age [80+],April 11,MO,259.0
# Cases Age [Unknown],April 11,MO,3.0
# Cases Age [0-19],April 10,MO,87
# Cases Age [20-24],April 10,MO,253
# Cases Age [25-29],April 10,MO,265
# Cases Age [30-34],April 10,MO,241
# Cases Age [35-39],April 10,MO,235
# Cases Age [40-44],April 10,MO,284
# Cases Age [45-49],April 10,MO,329
# Cases Age [50-54],April 10,MO,383
# Cases Age [55-59],April 10,MO,416
# Cases Age [60-64],April 10,MO,379
# Cases Age [65-69],April 10,MO,306
# Cases Age [70-74],April 10,MO,223.0
# Cases Age [75-79],April 10,MO,150.0
# Cases Age [80+],April 10,MO,245.0
# Cases Age [Unknown],April 10,MO,3.0
# Cases Age [0-19],April 9,MO,81
# Cases Age [20-24],April 9,MO,230
# Cases Age [25-29],April 9,MO,244
# Cases Age [30-34],April 9,MO,224
# Cases Age [35-39],April 9,MO,223
# Cases Age [40-44],April 9,MO,263
# Cases Age [45-49],April 9,MO,301
# Cases Age [50-54],April 9,MO,358
# Cases Age [55-59],April 9,MO,386
# Cases Age [60-64],April 9,MO,360
# Cases Age [65-69],April 9,MO,283
# Cases Age [70-74],April 9,MO,212.0
# Cases Age [75-79],April 9,MO,139.0
# Cases Age [80+],April 9,MO,232.0
# Cases Age [Unknown],April 9,MO,3.0
# Cases Age [0-19],April 8,MO,82
# Cases Age [20-24],April 8,MO,225
# Cases Age [25-29],April 8,MO,229
# Cases Age [30-34],April 8,MO,208
# Cases Age [35-39],April 8,MO,207
# Cases Age [40-44],April 8,MO,249
# Cases Age [45-49],April 8,MO,283
# Cases Age [50-54],April 8,MO,343
# Cases Age [55-59],April 8,MO,363
# Cases Age [60-64],April 8,MO,334
# Cases Age [65-69],April 8,MO,262
# Cases Age [70-74],April 8,MO,202.0
# Cases Age [75-79],April 8,MO,132.0
# Cases Age [80+],April 8,MO,205.0
# Cases Age [Unknown],April 8,MO,3.0
# Cases Age [0-19],April 7,MO,76
# Cases Age [20-24],April 7,MO,212
# Cases Age [25-29],April 7,MO,211
# Cases Age [30-34],April 7,MO,193
# Cases Age [35-39],April 7,MO,191
# Cases Age [40-44],April 7,MO,233
# Cases Age [45-49],April 7,MO,260
# Cases Age [50-54],April 7,MO,322
# Cases Age [55-59],April 7,MO,337
# Cases Age [60-64],April 7,MO,307
# Cases Age [65-69],April 7,MO,237
# Cases Age [70-74],April 7,MO,173.0
# Cases Age [75-79],April 7,MO,113.0
# Cases Age [80+],April 7,MO,169.0
# Cases Age [Unknown],April 7,MO,3.0
# Cases Age [0-19],April 6,MO,63
# Cases Age [20-24],April 6,MO,201
# Cases Age [25-29],April 6,MO,183
# Cases Age [30-34],April 6,MO,175
# Cases Age [35-39],April 6,MO,171
# Cases Age [40-44],April 6,MO,212
# Cases Age [45-49],April 6,MO,230
# Cases Age [50-54],April 6,MO,285
# Cases Age [55-59],April 6,MO,302
# Cases Age [60-64],April 6,MO,277
# Cases Age [65-69],April 6,MO,215
# Cases Age [70-74],April 6,MO,153.0
# Cases Age [75-79],April 6,MO,103.0
# Cases Age [80+],April 6,MO,149.0
# Cases Age [Unknown],April 6,MO,3.0
# Cases Age [0-19],April 5,MO,56
# Cases Age [20-24],April 5,MO,186
# Cases Age [25-29],April 5,MO,163
# Cases Age [30-34],April 5,MO,159
# Cases Age [35-39],April 5,MO,149
# Cases Age [40-44],April 5,MO,178
# Cases Age [45-49],April 5,MO,199
# Cases Age [50-54],April 5,MO,243
# Cases Age [55-59],April 5,MO,259
# Cases Age [60-64],April 5,MO,230
# Cases Age [65-69],April 5,MO,183
# Cases Age [70-74],April 5,MO,137.0
# Cases Age [75-79],April 5,MO,87.0
# Cases Age [80+],April 5,MO,134.0
# Cases Age [Unknown],April 5,MO,4.0
# Cases Age [0-19],April 4,MO,54
# Cases Age [20-24],April 4,MO,179
# Cases Age [25-29],April 4,MO,158
# Cases Age [30-34],April 4,MO,150
# Cases Age [35-39],April 4,MO,148
# Cases Age [40-44],April 4,MO,174
# Cases Age [45-49],April 4,MO,193
# Cases Age [50-54],April 4,MO,240
# Cases Age [55-59],April 4,MO,252
# Cases Age [60-64],April 4,MO,222
# Cases Age [65-69],April 4,MO,180
# Cases Age [70-74],April 4,MO,129.0
# Cases Age [75-79],April 4,MO,85.0
# Cases Age [80+],April 4,MO,125.0
# Cases Age [Unknown],April 4,MO,2.0
# Cases Age [0-19],April 3,MO,53
# Cases Age [20-24],April 3,MO,167
# Cases Age [25-29],April 3,MO,141
# Cases Age [30-34],April 3,MO,144
# Cases Age [35-39],April 3,MO,134
# Cases Age [40-44],April 3,MO,164
# Cases Age [45-49],April 3,MO,179
# Cases Age [50-54],April 3,MO,224
# Cases Age [55-59],April 3,MO,226
# Cases Age [60-64],April 3,MO,203
# Cases Age [65-69],April 3,MO,167
# Cases Age [70-74],April 3,MO,120.0
# Cases Age [75-79],April 3,MO,75.0
# Cases Age [80+],April 3,MO,116.0
# Cases Age [Unknown],April 3,MO,0.0
# Cases Age [0-19],April 2,MO,50
# Cases Age [20-24],April 2,MO,154
# Cases Age [25-29],April 2,MO,124
# Cases Age [30-34],April 2,MO,123
# Cases Age [35-39],April 2,MO,113
# Cases Age [40-44],April 2,MO,141
# Cases Age [45-49],April 2,MO,157
# Cases Age [50-54],April 2,MO,191
# Cases Age [55-59],April 2,MO,185
# Cases Age [60-64],April 2,MO,179
# Cases Age [65-69],April 2,MO,144
# Cases Age [70-74],April 2,MO,109.0
# Cases Age [75-79],April 2,MO,62.0
# Cases Age [80+],April 2,MO,101.0
# Cases Age [Unknown],April 2,MO,0.0
# Cases Age [0-19],April 1,MO,47
# Cases Age [20-24],April 1,MO,139
# Cases Age [25-29],April 1,MO,106
# Cases Age [30-34],April 1,MO,101
# Cases Age [35-39],April 1,MO,103
# Cases Age [40-44],April 1,MO,120
# Cases Age [45-49],April 1,MO,137
# Cases Age [50-54],April 1,MO,172
# Cases Age [55-59],April 1,MO,163
# Cases Age [60-64],April 1,MO,152
# Cases Age [65-69],April 1,MO,114
# Cases Age [70-74],April 1,MO,93.0
# Cases Age [75-79],April 1,MO,47.0
# Cases Age [80+],April 1,MO,87.0
# Cases Age [Unknown],April 1,MO,0.0
# Cases Age [0-19],March 31,MO,43
# Cases Age [20-24],March 31,MO,124
# Cases Age [25-29],March 31,MO,88
# Cases Age [30-34],March 31,MO,82
