Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-04-01 08:22:57 PM,NC,0.01
# Cases Age [18-24],2020-04-01 08:22:57 PM,NC,0.1
# Cases Age [25-49],2020-04-01 08:22:57 PM,NC,0.43
# Cases Age [50-64],2020-04-01 08:22:57 PM,NC,0.26
# Cases Age [65+],2020-04-01 08:22:57 PM,NC,0.19
# Cases Age [0-17],2020-03-28 09:01:52 PM,NC,0.01
# Cases Age [18-24],2020-03-28 09:01:52 PM,NC,0.13
# Cases Age [25-49],2020-03-28 09:01:52 PM,NC,0.47
# Cases Age [50-64],2020-03-28 09:01:52 PM,NC,0.24
# Cases Age [65+],2020-03-28 09:01:52 PM,NC,0.15
# Cases Age [0-17],2020-03-29 07:35:43 PM,NC,0.01
# Cases Age [18-24],2020-03-29 07:35:43 PM,NC,0.12
# Cases Age [25-49],2020-03-29 07:35:43 PM,NC,0.45
# Cases Age [50-64],2020-03-29 07:35:43 PM,NC,0.25
# Cases Age [65+],2020-03-29 07:35:43 PM,NC,0.17
# Cases Age [0-17],2020-03-30 08:37:31 PM,NC,0.01
# Cases Age [18-24],2020-03-30 08:37:31 PM,NC,0.11
# Cases Age [25-49],2020-03-30 08:37:31 PM,NC,0.44
# Cases Age [50-64],2020-03-30 08:37:31 PM,NC,0.25
# Cases Age [65+],2020-03-30 08:37:31 PM,NC,0.19
# Cases Age [0-17],2020-03-31 08:28:32 PM,NC,0.01
# Cases Age [18-24],2020-03-31 08:28:32 PM,NC,0.11
# Cases Age [25-49],2020-03-31 08:28:32 PM,NC,0.43
# Cases Age [50-64],2020-03-31 08:28:32 PM,NC,0.26
# Cases Age [65+],2020-03-31 08:28:32 PM,NC,0.19
# Cases Age [0-17],2020-04-01 08:16:21 PM,NC,0.01
# Cases Age [18-24],2020-04-01 08:16:21 PM,NC,0.1
# Cases Age [25-49],2020-04-01 08:16:21 PM,NC,0.43
# Cases Age [50-64],2020-04-01 08:16:21 PM,NC,0.26
# Cases Age [65+],2020-04-01 08:16:21 PM,NC,0.19
