Column Name,Scrape Time,State,Value
# Active Cases Age [0-5],2020-08-24 02:52:18 AM,ND,43
# Active Cases Age [12-14],2020-08-24 02:52:18 AM,ND,26
# Active Cases Age [15-19],2020-08-24 02:52:18 AM,ND,128
# Active Cases Age [20-29],2020-08-24 02:52:18 AM,ND,400
# Active Cases Age [30-39],2020-08-24 02:52:18 AM,ND,229
# Active Cases Age [40-49],2020-08-24 02:52:18 AM,ND,176
# Active Cases Age [50-59],2020-08-24 02:52:18 AM,ND,172
# Active Cases Age [6-11],2020-08-24 02:52:18 AM,ND,42
# Active Cases Age [60-69],2020-08-24 02:52:18 AM,ND,136
# Active Cases Age [70-79],2020-08-24 02:52:18 AM,ND,89
# Active Cases Age [80+],2020-08-24 02:52:18 AM,ND,60
# Positive Cases Age [0-5],2020-08-24 02:52:18 AM,ND,230
# Positive Cases Age [12-14],2020-08-24 02:52:18 AM,ND,188
# Positive Cases Age [15-19],2020-08-24 02:52:18 AM,ND,708
# Positive Cases Age [20-29],2020-08-24 02:52:18 AM,ND,2399
# Positive Cases Age [30-39],2020-08-24 02:52:18 AM,ND,1718
# Positive Cases Age [40-49],2020-08-24 02:52:18 AM,ND,1239
# Positive Cases Age [50-59],2020-08-24 02:52:18 AM,ND,1082
# Positive Cases Age [6-11],2020-08-24 02:52:18 AM,ND,304
# Positive Cases Age [60-69],2020-08-24 02:52:18 AM,ND,768
# Positive Cases Age [70-79],2020-08-24 02:52:18 AM,ND,409
# Positive Cases Age [80+],2020-08-24 02:52:18 AM,ND,429
# Active Cases Age [0-5],2020-08-24 02:44:06 PM,ND,43
# Active Cases Age [12-14],2020-08-24 02:44:06 PM,ND,25
# Active Cases Age [15-19],2020-08-24 02:44:06 PM,ND,153
# Active Cases Age [20-29],2020-08-24 02:44:06 PM,ND,467
# Active Cases Age [30-39],2020-08-24 02:44:06 PM,ND,246
# Active Cases Age [40-49],2020-08-24 02:44:06 PM,ND,184
# Active Cases Age [50-59],2020-08-24 02:44:06 PM,ND,176
# Active Cases Age [6-11],2020-08-24 02:44:06 PM,ND,43
# Active Cases Age [60-69],2020-08-24 02:44:06 PM,ND,140
# Active Cases Age [70-79],2020-08-24 02:44:06 PM,ND,93
# Active Cases Age [80+],2020-08-24 02:44:06 PM,ND,63
# Positive Cases Age [0-5],2020-08-24 02:44:06 PM,ND,234
# Positive Cases Age [12-14],2020-08-24 02:44:06 PM,ND,190
# Positive Cases Age [15-19],2020-08-24 02:44:06 PM,ND,744
# Positive Cases Age [20-29],2020-08-24 02:44:06 PM,ND,2501
# Positive Cases Age [30-39],2020-08-24 02:44:06 PM,ND,1746
# Positive Cases Age [40-49],2020-08-24 02:44:06 PM,ND,1265
# Positive Cases Age [50-59],2020-08-24 02:44:06 PM,ND,1101
# Positive Cases Age [6-11],2020-08-24 02:44:06 PM,ND,309
# Positive Cases Age [60-69],2020-08-24 02:44:06 PM,ND,785
# Positive Cases Age [70-79],2020-08-24 02:44:06 PM,ND,420
# Positive Cases Age [80+],2020-08-24 02:44:06 PM,ND,441
# Cases Age [0-9],2020-03-28 16:00:00,ND,1
# Cases Age [10-19],2020-03-28 16:00:00,ND,1
# Cases Age [20-29],2020-03-28 16:00:00,ND,16
# Cases Age [30-39],2020-03-28 16:00:00,ND,20
# Cases Age [40-49],2020-03-28 16:00:00,ND,14
# Cases Age [50-59],2020-03-28 16:00:00,ND,15
# Cases Age [60-69],2020-03-28 16:00:00,ND,16
# Cases Age [70-79],2020-03-28 16:00:00,ND,7
# Cases Age [80+],2020-03-28 16:00:00,ND,4
# Cases Age [0-9],2020-03-29 10:00:00,ND,1
# Cases Age [10-19],2020-03-29 10:00:00,ND,1
# Cases Age [20-29],2020-03-29 10:00:00,ND,16
# Cases Age [30-39],2020-03-29 10:00:00,ND,22
# Cases Age [40-49],2020-03-29 10:00:00,ND,15
# Cases Age [50-59],2020-03-29 10:00:00,ND,15
# Cases Age [60-69],2020-03-29 10:00:00,ND,16
# Cases Age [70-79],2020-03-29 10:00:00,ND,7
# Cases Age [80+],2020-03-29 10:00:00,ND,5
# Cases Age [0-9],2020-03-29 15:46:00,ND,1
# Cases Age [10-19],2020-03-29 15:46:00,ND,1
# Cases Age [20-29],2020-03-29 15:46:00,ND,16
# Cases Age [30-39],2020-03-29 15:46:00,ND,22
# Cases Age [40-49],2020-03-29 15:46:00,ND,15
# Cases Age [50-59],2020-03-29 15:46:00,ND,15
# Cases Age [60-69],2020-03-29 15:46:00,ND,16
# Cases Age [70-79],2020-03-29 15:46:00,ND,7
# Cases Age [80+],2020-03-29 15:46:00,ND,5
# Cases Age [0-9],2020-03-30 16:00:00,ND,1
# Cases Age [10-19],2020-03-30 16:00:00,ND,1
