Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-07-15 10:03:45 PM,NV,861
# Cases Age [10-19],2020-07-15 10:03:45 PM,NV,"2,068"
# Cases Age [20-29],2020-07-15 10:03:45 PM,NV,"6,189"
# Cases Age [30-39],2020-07-15 10:03:45 PM,NV,"5,615"
# Cases Age [40-49],2020-07-15 10:03:45 PM,NV,"4,894"
# Cases Age [50-59],2020-07-15 10:03:45 PM,NV,"4,304"
# Cases Age [60-69],2020-07-15 10:03:45 PM,NV,"2,627"
# Cases Age [70+],2020-07-15 10:03:45 PM,NV,"2,127"
# Cases Age [0-9],2020-07-16 08:18:17 PM,NV,888
# Cases Age [10-19],2020-07-16 08:18:17 PM,NV,"2,126"
# Cases Age [20-29],2020-07-16 08:18:17 PM,NV,"6,406"
# Cases Age [30-39],2020-07-16 08:18:17 PM,NV,"5,830"
# Cases Age [40-49],2020-07-16 08:18:17 PM,NV,"5,055"
# Cases Age [50-59],2020-07-16 08:18:17 PM,NV,"4,428"
# Cases Age [60-69],2020-07-16 08:18:17 PM,NV,"2,689"
# Cases Age [70+],2020-07-16 08:18:17 PM,NV,"2,173"
# Cases Age [0-9],2020-07-17 08:15:39 PM,NV,913
# Cases Age [10-19],2020-07-17 08:15:39 PM,NV,"2,187"
# Cases Age [20-29],2020-07-17 08:15:39 PM,NV,"6,525"
# Cases Age [30-39],2020-07-17 08:15:39 PM,NV,"5,951"
# Cases Age [40-49],2020-07-17 08:15:39 PM,NV,"5,152"
# Cases Age [50-59],2020-07-17 08:15:39 PM,NV,"4,507"
# Cases Age [60-69],2020-07-17 08:15:39 PM,NV,"2,727"
# Cases Age [70+],2020-07-17 08:15:39 PM,NV,"2,195"
# Cases Age [0-9],2020-07-18 08:45:11 PM,NV,939
# Cases Age [10-19],2020-07-18 08:45:11 PM,NV,"2,257"
# Cases Age [20-29],2020-07-18 08:45:11 PM,NV,"6,731"
# Cases Age [30-39],2020-07-18 08:45:11 PM,NV,"6,137"
# Cases Age [40-49],2020-07-18 08:45:11 PM,NV,"5,333"
# Cases Age [50-59],2020-07-18 08:45:11 PM,NV,"4,654"
# Cases Age [60-69],2020-07-18 08:45:11 PM,NV,"2,814"
# Cases Age [70+],2020-07-18 08:45:11 PM,NV,"2,264"
# Cases Age [0-9],2020-07-19 08:12:08 PM,NV,993
# Cases Age [10-19],2020-07-19 08:12:08 PM,NV,"2,383"
# Cases Age [20-29],2020-07-19 08:12:08 PM,NV,"6,993"
# Cases Age [30-39],2020-07-19 08:12:08 PM,NV,"6,357"
# Cases Age [40-49],2020-07-19 08:12:08 PM,NV,"5,553"
# Cases Age [50-59],2020-07-19 08:12:08 PM,NV,"4,850"
# Cases Age [60-69],2020-07-19 08:12:08 PM,NV,"2,906"
# Cases Age [70+],2020-07-19 08:12:08 PM,NV,"2,322"
# Cases Age [0-9],2020-07-20 08:15:38 PM,NV,"1,024"
# Cases Age [10-19],2020-07-20 08:15:38 PM,NV,"2,478"
# Cases Age [20-29],2020-07-20 08:15:38 PM,NV,"7,264"
# Cases Age [30-39],2020-07-20 08:15:38 PM,NV,"6,626"
# Cases Age [40-49],2020-07-20 08:15:38 PM,NV,"5,778"
# Cases Age [50-59],2020-07-20 08:15:38 PM,NV,"5,034"
# Cases Age [60-69],2020-07-20 08:15:38 PM,NV,"2,987"
# Cases Age [70+],2020-07-20 08:15:38 PM,NV,"2,389"
# Cases Age [0-9],2020-07-21 09:59:51 PM,NV,"1,041"
# Cases Age [10-19],2020-07-21 09:59:51 PM,NV,"2,511"
# Cases Age [20-29],2020-07-21 09:59:51 PM,NV,"7,392"
# Cases Age [30-39],2020-07-21 09:59:51 PM,NV,"6,717"
# Cases Age [40-49],2020-07-21 09:59:51 PM,NV,"5,861"
# Cases Age [50-59],2020-07-21 09:59:51 PM,NV,"5,108"
# Cases Age [60-69],2020-07-21 09:59:51 PM,NV,"3,024"
# Cases Age [70+],2020-07-21 09:59:51 PM,NV,"2,431"
# Cases Age [0-9],2020-07-22 09:54:08 PM,NV,"1,083"
# Cases Age [10-19],2020-07-22 09:54:08 PM,NV,"2,617"
# Cases Age [20-29],2020-07-22 09:54:08 PM,NV,"7,599"
# Cases Age [30-39],2020-07-22 09:54:08 PM,NV,"6,944"
# Cases Age [40-49],2020-07-22 09:54:08 PM,NV,"6,021"
# Cases Age [50-59],2020-07-22 09:54:08 PM,NV,"5,258"
# Cases Age [60-69],2020-07-22 09:54:08 PM,NV,"3,087"
# Cases Age [70+],2020-07-22 09:54:08 PM,NV,"2,472"
# Cases Age [0-9],2020-07-23 07:56:08 PM,NV,"1,137"
# Cases Age [10-19],2020-07-23 07:56:08 PM,NV,"2,745"
# Cases Age [20-29],2020-07-23 07:56:08 PM,NV,"8,029"
# Cases Age [30-39],2020-07-23 07:56:08 PM,NV,"7,307"
# Cases Age [40-49],2020-07-23 07:56:08 PM,NV,"6,315"
