Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-06-03 03:10:23 PM,NY,5540
# Cases Age [18-44],2020-06-03 03:10:23 PM,NY,74000
# Cases Age [45-64],2020-06-03 03:10:23 PM,NY,73292
# Cases Age [65-74],2020-06-03 03:10:23 PM,NY,24967
# Cases Age [75+],2020-06-03 03:10:23 PM,NY,23579
# Cases Age [0-17],2020-06-04 08:31:53 PM,NY,5552
# Cases Age [18-44],2020-06-04 08:31:53 PM,NY,74196
# Cases Age [45-64],2020-06-04 08:31:53 PM,NY,73462
# Cases Age [65-74],2020-06-04 08:31:53 PM,NY,25023
# Cases Age [75+],2020-06-04 08:31:53 PM,NY,23657
# Cases Age [0-17],2020-06-05 08:16:15 PM,NY,5578
# Cases Age [18-44],2020-06-05 08:16:15 PM,NY,74349
# Cases Age [45-64],2020-06-05 08:16:15 PM,NY,73646
# Cases Age [65-74],2020-06-05 08:16:15 PM,NY,25084
# Cases Age [75+],2020-06-05 08:16:15 PM,NY,23739
# Cases Age [0-17],2020-06-06 08:35:02 PM,NY,5602
# Cases Age [18-44],2020-06-06 08:35:02 PM,NY,74560
# Cases Age [45-64],2020-06-06 08:35:02 PM,NY,73850
# Cases Age [65-74],2020-06-06 08:35:02 PM,NY,25156
# Cases Age [75+],2020-06-06 08:35:02 PM,NY,23827
# Cases Age [0-17],2020-06-07 08:33:18 PM,NY,5620
# Cases Age [18-44],2020-06-07 08:33:18 PM,NY,74698
# Cases Age [45-64],2020-06-07 08:33:18 PM,NY,73970
# Cases Age [65-74],2020-06-07 08:33:18 PM,NY,25190
# Cases Age [75+],2020-06-07 08:33:18 PM,NY,23906
# Cases Age [0-17],2020-06-08 08:30:44 PM,NY,5637
# Cases Age [18-44],2020-06-08 08:30:44 PM,NY,74851
# Cases Age [45-64],2020-06-08 08:30:44 PM,NY,74130
# Cases Age [65-74],2020-06-08 08:30:44 PM,NY,25234
# Cases Age [75+],2020-06-08 08:30:44 PM,NY,23963
# Cases Age [0-17],2020-06-09 08:33:32 PM,NY,5651
# Cases Age [18-44],2020-06-09 08:33:32 PM,NY,74971
# Cases Age [45-64],2020-06-09 08:33:32 PM,NY,74240
# Cases Age [65-74],2020-06-09 08:33:32 PM,NY,25272
