Column Name,Scrape Time,State,Value
# Cases Age [0-4],2020-03-28 09:54:53 PM,OK,4
# Cases Age [5-17],2020-03-28 09:54:53 PM,OK,5
# Cases Age [18-35],2020-03-28 09:54:53 PM,OK,64
# Cases Age [36-49],2020-03-28 09:54:53 PM,OK,70
# Cases Age [50-64],2020-03-28 09:54:53 PM,OK,97
# Cases Age [65+],2020-03-28 09:54:53 PM,OK,137
# Cases Age [0-4],2020-03-29 07:35:47 PM,OK,4
# Cases Age [5-17],2020-03-29 07:35:47 PM,OK,5
# Cases Age [18-35],2020-03-29 07:35:47 PM,OK,75
# Cases Age [36-49],2020-03-29 07:35:47 PM,OK,78
# Cases Age [50-64],2020-03-29 07:35:47 PM,OK,118
# Cases Age [65+],2020-03-29 07:35:47 PM,OK,154
# Cases Age [0-4],2020-03-30 08:37:36 PM,OK,4
# Cases Age [5-17],2020-03-30 08:37:36 PM,OK,6
# Cases Age [18-35],2020-03-30 08:37:36 PM,OK,80
# Cases Age [36-49],2020-03-30 08:37:36 PM,OK,90
# Cases Age [50-64],2020-03-30 08:37:36 PM,OK,132
# Cases Age [65+],2020-03-30 08:37:36 PM,OK,169
# Cases Age [0-4],2020-03-31 08:28:37 PM,OK,4
# Cases Age [5-17],2020-03-31 08:28:37 PM,OK,8
# Cases Age [18-35],2020-03-31 08:28:37 PM,OK,91
# Cases Age [36-49],2020-03-31 08:28:37 PM,OK,108
# Cases Age [50-64],2020-03-31 08:28:37 PM,OK,155
# Cases Age [65+],2020-03-31 08:28:37 PM,OK,199
# Cases Age [0-4],2020-04-01 08:33:00 PM,OK,6
# Cases Age [5-17],2020-04-01 08:33:00 PM,OK,9
# Cases Age [18-35],2020-04-01 08:33:00 PM,OK,111
# Cases Age [36-49],2020-04-01 08:33:00 PM,OK,138
# Cases Age [50-64],2020-04-01 08:33:00 PM,OK,194
# Cases Age [65+],2020-04-01 08:33:00 PM,OK,261
# Cases Age [0-4],2020-04-02 08:29:00 PM,OK,9
# Cases Age [5-17],2020-04-02 08:29:00 PM,OK,12
# Cases Age [18-35],2020-04-02 08:29:00 PM,OK,139
# Cases Age [36-49],2020-04-02 08:29:00 PM,OK,178
# Cases Age [50-64],2020-04-02 08:29:00 PM,OK,232
# Cases Age [65+],2020-04-02 08:29:00 PM,OK,309
# Cases Age [0-4],2020-04-03 08:25:35 PM,OK,12
# Cases Age [5-17],2020-04-03 08:25:35 PM,OK,12
# Cases Age [18-35],2020-04-03 08:25:35 PM,OK,154
# Cases Age [36-49],2020-04-03 08:25:35 PM,OK,204
# Cases Age [50-64],2020-04-03 08:25:35 PM,OK,266
# Cases Age [65+],2020-04-03 08:25:35 PM,OK,340
# Cases Age [0-4],2020-04-04 08:12:06 PM,OK,13
# Cases Age [5-17],2020-04-04 08:12:06 PM,OK,20
# Cases Age [18-35],2020-04-04 08:12:06 PM,OK,191
# Cases Age [36-49],2020-04-04 08:12:06 PM,OK,239
# Cases Age [50-64],2020-04-04 08:12:06 PM,OK,301
# Cases Age [65+],2020-04-04 08:12:06 PM,OK,395
# Cases Age [0-4],2020-04-05 08:15:42 PM,OK,13
# Cases Age [5-17],2020-04-05 08:15:42 PM,OK,21
# Cases Age [18-35],2020-04-05 08:15:42 PM,OK,216
# Cases Age [36-49],2020-04-05 08:15:42 PM,OK,256
# Cases Age [50-64],2020-04-05 08:15:42 PM,OK,325
# Cases Age [65+],2020-04-05 08:15:42 PM,OK,421
# Cases Age [0-4],2020-04-06 08:29:25 PM,OK,14
# Cases Age [5-17],2020-04-06 08:29:25 PM,OK,22
# Cases Age [18-35],2020-04-06 08:29:25 PM,OK,232
# Cases Age [36-49],2020-04-06 08:29:25 PM,OK,276
# Cases Age [50-64],2020-04-06 08:29:25 PM,OK,345
# Cases Age [65+],2020-04-06 08:29:25 PM,OK,438
# Cases Age [0-4],2020-04-07 08:05:23 PM,OK,15
# Cases Age [5-17],2020-04-07 08:05:23 PM,OK,23
# Cases Age [18-35],2020-04-07 08:05:23 PM,OK,257
# Cases Age [36-49],2020-04-07 08:05:23 PM,OK,307
# Cases Age [50-64],2020-04-07 08:05:23 PM,OK,384
# Cases Age [65+],2020-04-07 08:05:23 PM,OK,486
# Cases Age [0-4],2020-04-08 08:19:29 PM,OK,15
# Cases Age [5-17],2020-04-08 08:19:29 PM,OK,25
# Cases Age [18-35],2020-04-08 08:19:29 PM,OK,264
# Cases Age [36-49],2020-04-08 08:19:29 PM,OK,315
