Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-05-01 09:05:03 PM,OR,12
# Cases Age [10-19],2020-05-01 09:05:03 PM,OR,60
# Cases Age [20-29],2020-05-01 09:05:03 PM,OR,328
# Cases Age [30-39],2020-05-01 09:05:03 PM,OR,418
# Cases Age [40-49],2020-05-01 09:05:03 PM,OR,444
# Cases Age [50-59],2020-05-01 09:05:03 PM,OR,471
# Cases Age [60-69],2020-05-01 09:05:03 PM,OR,415
# Cases Age [70-79],2020-05-01 09:05:03 PM,OR,256
# Cases Age [80+],2020-05-01 09:05:03 PM,OR,169
# Cases Age [Unknown],2020-05-01 09:05:03 PM,OR,6
# Cases Age [0-9],2020-05-02 08:34:07 PM,OR,13
# Cases Age [10-19],2020-05-02 08:34:07 PM,OR,64
# Cases Age [20-29],2020-05-02 08:34:07 PM,OR,338
# Cases Age [30-39],2020-05-02 08:34:07 PM,OR,430
# Cases Age [40-49],2020-05-02 08:34:07 PM,OR,454
# Cases Age [50-59],2020-05-02 08:34:07 PM,OR,479
# Cases Age [60-69],2020-05-02 08:34:07 PM,OR,420
# Cases Age [70-79],2020-05-02 08:34:07 PM,OR,260
# Cases Age [80+],2020-05-02 08:34:07 PM,OR,171
# Cases Age [Unknown],2020-05-02 08:34:07 PM,OR,6
# Cases Age [0-9],2020-05-03 08:33:35 PM,OR,13
# Cases Age [10-19],2020-05-03 08:33:35 PM,OR,65
# Cases Age [20-29],2020-05-03 08:33:35 PM,OR,352
# Cases Age [30-39],2020-05-03 08:33:35 PM,OR,438
# Cases Age [40-49],2020-05-03 08:33:35 PM,OR,462
# Cases Age [50-59],2020-05-03 08:33:35 PM,OR,483
# Cases Age [60-69],2020-05-03 08:33:35 PM,OR,423
# Cases Age [70-79],2020-05-03 08:33:35 PM,OR,264
# Cases Age [80+],2020-05-03 08:33:35 PM,OR,175
# Cases Age [Unknown],2020-05-03 08:33:35 PM,OR,5
# Cases Age [0-9],2020-05-04 07:46:27 PM,OR,13
# Cases Age [10-19],2020-05-04 07:46:27 PM,OR,74
# Cases Age [20-29],2020-05-04 07:46:27 PM,OR,369
# Cases Age [30-39],2020-05-04 07:46:27 PM,OR,446
# Cases Age [40-49],2020-05-04 07:46:27 PM,OR,476
# Cases Age [50-59],2020-05-04 07:46:27 PM,OR,498
# Cases Age [60-69],2020-05-04 07:46:27 PM,OR,424
# Cases Age [70-79],2020-05-04 07:46:27 PM,OR,270
# Cases Age [80+],2020-05-04 07:46:27 PM,OR,181
# Cases Age [Unknown],2020-05-04 07:46:27 PM,OR,8
# Cases Age [0-9],2020-05-05 08:20:06 PM,OR,13
# Cases Age [10-19],2020-05-05 08:20:06 PM,OR,77
# Cases Age [20-29],2020-05-05 08:20:06 PM,OR,380
# Cases Age [30-39],2020-05-05 08:20:06 PM,OR,462
# Cases Age [40-49],2020-05-05 08:20:06 PM,OR,487
