Column Name,Scrape Time,State,Value
# Cases Age [0-4],2020-03-27,PA,0.0
# Cases Age [5-12],2020-03-27,PA,0.0
# Cases Age [13-18],2020-03-27,PA,44.0
# Cases Age [19-24],2020-03-27,PA,243.0
# Cases Age [25-49],2020-03-27,PA,887.0
# Cases Age [50-64],2020-03-27,PA,621.0
# Cases Age [65+],2020-03-27,PA,399.0
# Cases Age [0-9],2020-03-27,PA,nan
# Cases Age [10-19],2020-03-27,PA,nan
# Cases Age [20-29],2020-03-27,PA,nan
# Cases Age [30-39],2020-03-27,PA,nan
# Cases Age [40-49],2020-03-27,PA,nan
# Cases Age [50-59],2020-03-27,PA,nan
# Cases Age [60-69],2020-03-27,PA,nan
# Cases Age [70-79],2020-03-27,PA,nan
# Cases Age [80-89],2020-03-27,PA,nan
# Cases Age [90-99],2020-03-27,PA,nan
# Cases Age [100+],2020-03-27,PA,nan
# Cases Age [Unknown],2020-03-27,PA,nan
# Cases Age [0-4],2020-03-28,PA,0.0
# Cases Age [5-12],2020-03-28,PA,0.0
# Cases Age [13-18],2020-03-28,PA,27.0
# Cases Age [19-24],2020-03-28,PA,302.0
# Cases Age [25-49],2020-03-28,PA,1072.0
# Cases Age [50-64],2020-03-28,PA,770.0
# Cases Age [65+],2020-03-28,PA,522.0
# Cases Age [0-9],2020-03-28,PA,nan
# Cases Age [10-19],2020-03-28,PA,nan
# Cases Age [20-29],2020-03-28,PA,nan
# Cases Age [30-39],2020-03-28,PA,nan
# Cases Age [40-49],2020-03-28,PA,nan
# Cases Age [50-59],2020-03-28,PA,nan
# Cases Age [60-69],2020-03-28,PA,nan
# Cases Age [70-79],2020-03-28,PA,nan
# Cases Age [80-89],2020-03-28,PA,nan
# Cases Age [90-99],2020-03-28,PA,nan
# Cases Age [100+],2020-03-28,PA,nan
# Cases Age [Unknown],2020-03-28,PA,nan
# Cases Age [0-4],2020-03-29,PA,0.0
# Cases Age [5-12],2020-03-29,PA,0.0
# Cases Age [13-18],2020-03-29,PA,33.0
# Cases Age [19-24],2020-03-29,PA,339.0
# Cases Age [25-49],2020-03-29,PA,1391.0
# Cases Age [50-64],2020-03-29,PA,916.0
# Cases Age [65+],2020-03-29,PA,644.0
# Cases Age [0-9],2020-03-29,PA,nan
# Cases Age [10-19],2020-03-29,PA,nan
# Cases Age [20-29],2020-03-29,PA,nan
# Cases Age [30-39],2020-03-29,PA,nan
# Cases Age [40-49],2020-03-29,PA,nan
# Cases Age [50-59],2020-03-29,PA,nan
# Cases Age [60-69],2020-03-29,PA,nan
# Cases Age [70-79],2020-03-29,PA,nan
# Cases Age [80-89],2020-03-29,PA,nan
# Cases Age [90-99],2020-03-29,PA,nan
# Cases Age [100+],2020-03-29,PA,nan
# Cases Age [Unknown],2020-03-29,PA,nan
# Cases Age [0-4],2020-03-30,PA,0.0
# Cases Age [5-12],2020-03-30,PA,0.0
# Cases Age [13-18],2020-03-30,PA,40.0
# Cases Age [19-24],2020-03-30,PA,408.0
# Cases Age [25-49],2020-03-30,PA,1675.0
# Cases Age [50-64],2020-03-30,PA,1144.0
# Cases Age [65+],2020-03-30,PA,776.0
# Cases Age [0-9],2020-03-30,PA,nan
# Cases Age [10-19],2020-03-30,PA,nan
# Cases Age [20-29],2020-03-30,PA,nan
# Cases Age [30-39],2020-03-30,PA,nan
# Cases Age [40-49],2020-03-30,PA,nan
# Cases Age [50-59],2020-03-30,PA,nan
# Cases Age [60-69],2020-03-30,PA,nan
# Cases Age [70-79],2020-03-30,PA,nan
# Cases Age [80-89],2020-03-30,PA,nan
# Cases Age [90-99],2020-03-30,PA,nan
# Cases Age [100+],2020-03-30,PA,nan
# Cases Age [Unknown],2020-03-30,PA,nan
# Cases Age [0-4],2020-03-31,PA,0.0
# Cases Age [5-12],2020-03-31,PA,0.0
# Cases Age [13-18],2020-03-31,PA,48.0
# Cases Age [19-24],2020-03-31,PA,484.0
# Cases Age [25-49],2020-03-31,PA,1985.0
# Cases Age [50-64],2020-03-31,PA,1404.0
# Cases Age [65+],2020-03-31,PA,920.0
# Cases Age [0-9],2020-03-31,PA,nan
# Cases Age [10-19],2020-03-31,PA,nan
# Cases Age [20-29],2020-03-31,PA,nan
# Cases Age [30-39],2020-03-31,PA,nan
# Cases Age [40-49],2020-03-31,PA,nan
# Cases Age [50-59],2020-03-31,PA,nan
# Cases Age [60-69],2020-03-31,PA,nan
# Cases Age [70-79],2020-03-31,PA,nan
# Cases Age [80-89],2020-03-31,PA,nan
# Cases Age [90-99],2020-03-31,PA,nan
# Cases Age [100+],2020-03-31,PA,nan
# Cases Age [Unknown],2020-03-31,PA,nan
# Cases Age [0-4],2020-04-01,PA,0.0
# Cases Age [5-12],2020-04-01,PA,0.0
# Cases Age [13-18],2020-04-01,PA,58.0
# Cases Age [19-24],2020-04-01,PA,522.0
# Cases Age [25-49],2020-04-01,PA,2322.0
# Cases Age [50-64],2020-04-01,PA,1683.0
# Cases Age [65+],2020-04-01,PA,1102.0
# Cases Age [0-9],2020-04-01,PA,nan
# Cases Age [10-19],2020-04-01,PA,nan
# Cases Age [20-29],2020-04-01,PA,nan
# Cases Age [30-39],2020-04-01,PA,nan
# Cases Age [40-49],2020-04-01,PA,nan
# Cases Age [50-59],2020-04-01,PA,nan
# Cases Age [60-69],2020-04-01,PA,nan
# Cases Age [70-79],2020-04-01,PA,nan
# Cases Age [80-89],2020-04-01,PA,nan
# Cases Age [90-99],2020-04-01,PA,nan
# Cases Age [100+],2020-04-01,PA,nan
# Cases Age [Unknown],2020-04-01,PA,nan
# Cases Age [0-4],2020-04-02,PA,0.0
# Cases Age [5-12],2020-04-02,PA,0.0
# Cases Age [13-18],2020-04-02,PA,70.0
# Cases Age [19-24],2020-04-02,PA,631.0
# Cases Age [25-49],2020-04-02,PA,2876.0
# Cases Age [50-64],2020-04-02,PA,2034.0
# Cases Age [65+],2020-04-02,PA,1333.0
# Cases Age [0-9],2020-04-02,PA,nan
# Cases Age [10-19],2020-04-02,PA,nan
# Cases Age [20-29],2020-04-02,PA,nan
# Cases Age [30-39],2020-04-02,PA,nan
# Cases Age [40-49],2020-04-02,PA,nan
# Cases Age [50-59],2020-04-02,PA,nan
# Cases Age [60-69],2020-04-02,PA,nan
# Cases Age [70-79],2020-04-02,PA,nan
# Cases Age [80-89],2020-04-02,PA,nan
