Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-08-13 02:10:22 PM,RI,578
# Cases Age [100+],2020-08-13 02:10:22 PM,RI,55
# Cases Age [10-19],2020-08-13 02:10:22 PM,RI,1159
# Cases Age [20-29],2020-08-13 02:10:22 PM,RI,3208
# Cases Age [30-39],2020-08-13 02:10:22 PM,RI,3131
# Cases Age [40-49],2020-08-13 02:10:22 PM,RI,2889
# Cases Age [50-59],2020-08-13 02:10:22 PM,RI,2892
# Cases Age [60-69],2020-08-13 02:10:22 PM,RI,2071
# Cases Age [70-79],2020-08-13 02:10:22 PM,RI,1339
# Cases Age [80-89],2020-08-13 02:10:22 PM,RI,1199
# Cases Age [90-99],2020-08-13 02:10:22 PM,RI,742
# Cases Age [0-9],2020-08-14 08:17:50 PM,RI,578
# Cases Age [100+],2020-08-14 08:17:50 PM,RI,55
# Cases Age [10-19],2020-08-14 08:17:50 PM,RI,1159
# Cases Age [20-29],2020-08-14 08:17:50 PM,RI,3208
# Cases Age [30-39],2020-08-14 08:17:50 PM,RI,3131
# Cases Age [40-49],2020-08-14 08:17:50 PM,RI,2889
# Cases Age [50-59],2020-08-14 08:17:50 PM,RI,2892
# Cases Age [60-69],2020-08-14 08:17:50 PM,RI,2071
# Cases Age [70-79],2020-08-14 08:17:50 PM,RI,1339
# Cases Age [80-89],2020-08-14 08:17:50 PM,RI,1199
# Cases Age [90-99],2020-08-14 08:17:50 PM,RI,742
# Cases Age [0-9],2020-08-15 08:20:24 PM,RI,578
# Cases Age [100+],2020-08-15 08:20:24 PM,RI,55
# Cases Age [10-19],2020-08-15 08:20:24 PM,RI,1159
# Cases Age [20-29],2020-08-15 08:20:24 PM,RI,3208
# Cases Age [30-39],2020-08-15 08:20:24 PM,RI,3131
# Cases Age [40-49],2020-08-15 08:20:24 PM,RI,2889
# Cases Age [50-59],2020-08-15 08:20:24 PM,RI,2892
# Cases Age [60-69],2020-08-15 08:20:24 PM,RI,2071
# Cases Age [70-79],2020-08-15 08:20:24 PM,RI,1339
# Cases Age [80-89],2020-08-15 08:20:24 PM,RI,1199
# Cases Age [90-99],2020-08-15 08:20:24 PM,RI,742
# Cases Age [0-9],2020-08-16 08:26:34 PM,RI,578
# Cases Age [100+],2020-08-16 08:26:34 PM,RI,55
# Cases Age [10-19],2020-08-16 08:26:34 PM,RI,1159
# Cases Age [20-29],2020-08-16 08:26:34 PM,RI,3208
# Cases Age [30-39],2020-08-16 08:26:34 PM,RI,3131
# Cases Age [40-49],2020-08-16 08:26:34 PM,RI,2889
# Cases Age [50-59],2020-08-16 08:26:34 PM,RI,2892
# Cases Age [60-69],2020-08-16 08:26:34 PM,RI,2071
# Cases Age [70-79],2020-08-16 08:26:34 PM,RI,1339
# Cases Age [80-89],2020-08-16 08:26:34 PM,RI,1199
# Cases Age [90-99],2020-08-16 08:26:34 PM,RI,742
# Cases Age [0-9],2020-08-17 08:25:00 PM,RI,578
# Cases Age [100+],2020-08-17 08:25:00 PM,RI,55
# Cases Age [10-19],2020-08-17 08:25:00 PM,RI,1159
# Cases Age [20-29],2020-08-17 08:25:00 PM,RI,3208
# Cases Age [30-39],2020-08-17 08:25:00 PM,RI,3131
# Cases Age [40-49],2020-08-17 08:25:00 PM,RI,2889
# Cases Age [50-59],2020-08-17 08:25:00 PM,RI,2892
# Cases Age [60-69],2020-08-17 08:25:00 PM,RI,2071
# Cases Age [70-79],2020-08-17 08:25:00 PM,RI,1339
# Cases Age [80-89],2020-08-17 08:25:00 PM,RI,1199
# Cases Age [90-99],2020-08-17 08:25:00 PM,RI,742
# Cases Age [0-9],2020-08-18 08:22:15 PM,RI,578
# Cases Age [100+],2020-08-18 08:22:15 PM,RI,55
# Cases Age [10-19],2020-08-18 08:22:15 PM,RI,1159
# Cases Age [20-29],2020-08-18 08:22:15 PM,RI,3208
# Cases Age [30-39],2020-08-18 08:22:15 PM,RI,3131
# Cases Age [40-49],2020-08-18 08:22:15 PM,RI,2889
# Cases Age [50-59],2020-08-18 08:22:15 PM,RI,2892
# Cases Age [60-69],2020-08-18 08:22:15 PM,RI,2071
# Cases Age [70-79],2020-08-18 08:22:15 PM,RI,1339
# Cases Age [80-89],2020-08-18 08:22:15 PM,RI,1199
# Cases Age [90-99],2020-08-18 08:22:15 PM,RI,742
# Cases Age [0-9],2020-08-19 08:24:52 PM,RI,604
# Cases Age [100+],2020-08-19 08:24:52 PM,RI,55
# Cases Age [10-19],2020-08-19 08:24:52 PM,RI,1235
# Cases Age [20-29],2020-08-19 08:24:52 PM,RI,3346
# Cases Age [30-39],2020-08-19 08:24:52 PM,RI,3230
# Cases Age [40-49],2020-08-19 08:24:52 PM,RI,2967
# Cases Age [50-59],2020-08-19 08:24:52 PM,RI,2988
# Cases Age [60-69],2020-08-19 08:24:52 PM,RI,2105
# Cases Age [70-79],2020-08-19 08:24:52 PM,RI,1372
# Cases Age [80-89],2020-08-19 08:24:52 PM,RI,1224
# Cases Age [90-99],2020-08-19 08:24:52 PM,RI,749
# Cases Age [0-9],2020-08-20 08:21:40 PM,RI,604
# Cases Age [100+],2020-08-20 08:21:40 PM,RI,55
# Cases Age [10-19],2020-08-20 08:21:40 PM,RI,1235
# Cases Age [20-29],2020-08-20 08:21:40 PM,RI,3346
# Cases Age [30-39],2020-08-20 08:21:40 PM,RI,3230
# Cases Age [40-49],2020-08-20 08:21:40 PM,RI,2967
# Cases Age [50-59],2020-08-20 08:21:40 PM,RI,2988
# Cases Age [60-69],2020-08-20 08:21:40 PM,RI,2105
# Cases Age [70-79],2020-08-20 08:21:40 PM,RI,1372
# Cases Age [80-89],2020-08-20 08:21:40 PM,RI,1224
# Cases Age [90-99],2020-08-20 08:21:40 PM,RI,749
# Cases Age [0-9],2020-08-21 10:15:32 PM,RI,604
# Cases Age [100+],2020-08-21 10:15:32 PM,RI,55
# Cases Age [10-19],2020-08-21 10:15:32 PM,RI,1235
# Cases Age [20-29],2020-08-21 10:15:32 PM,RI,3346
# Cases Age [30-39],2020-08-21 10:15:32 PM,RI,3230
# Cases Age [40-49],2020-08-21 10:15:32 PM,RI,2967
# Cases Age [50-59],2020-08-21 10:15:32 PM,RI,2988
