Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-08-23 08:33:20 PM,SD,400
# Cases Age [10-19],2020-08-23 08:33:20 PM,SD,1020
# Cases Age [20-29],2020-08-23 08:33:20 PM,SD,2555
# Cases Age [30-39],2020-08-23 08:33:20 PM,SD,2196
# Cases Age [40-49],2020-08-23 08:33:20 PM,SD,1659
# Cases Age [50-59],2020-08-23 08:33:20 PM,SD,1647
# Cases Age [60-69],2020-08-23 08:33:20 PM,SD,988
# Cases Age [70-79],2020-08-23 08:33:20 PM,SD,434
# Cases Age [80+],2020-08-23 08:33:20 PM,SD,377
# Cases Age [0-19],2020-03-29 10:46:44 AM,SD,3
# Cases Age [20-29],2020-03-29 10:46:44 AM,SD,10
# Cases Age [30-39],2020-03-29 10:46:44 AM,SD,9
# Cases Age [40-49],2020-03-29 10:46:44 AM,SD,10
# Cases Age [50-59],2020-03-29 10:46:44 AM,SD,18
# Cases Age [60-69],2020-03-29 10:46:44 AM,SD,13
# Cases Age [70-79],2020-03-29 10:46:44 AM,SD,4
# Cases Age [80+],2020-03-29 10:46:44 AM,SD,1
# Cases Age [0-19],2020-03-29 07:32:39 PM,SD,4
# Cases Age [20-29],2020-03-29 07:32:39 PM,SD,16
# Cases Age [30-39],2020-03-29 07:32:39 PM,SD,9
# Cases Age [40-49],2020-03-29 07:32:39 PM,SD,18
# Cases Age [50-59],2020-03-29 07:32:39 PM,SD,20
# Cases Age [60-69],2020-03-29 07:32:39 PM,SD,16
# Cases Age [70-79],2020-03-29 07:32:39 PM,SD,6
# Cases Age [80+],2020-03-29 07:32:39 PM,SD,1
# Cases Age [0-19],2020-03-30 08:37:41 PM,SD,5
# Cases Age [20-29],2020-03-30 08:37:41 PM,SD,19
# Cases Age [30-39],2020-03-30 08:37:41 PM,SD,13
# Cases Age [40-49],2020-03-30 08:37:41 PM,SD,18
# Cases Age [50-59],2020-03-30 08:37:41 PM,SD,22
# Cases Age [60-69],2020-03-30 08:37:41 PM,SD,17
# Cases Age [70-79],2020-03-30 08:37:41 PM,SD,6
# Cases Age [80+],2020-03-30 08:37:41 PM,SD,1
# Cases Age [0-19],2020-03-31 08:28:42 PM,SD,5
# Cases Age [20-29],2020-03-31 08:28:42 PM,SD,21
# Cases Age [30-39],2020-03-31 08:28:42 PM,SD,13
# Cases Age [40-49],2020-03-31 08:28:42 PM,SD,20
# Cases Age [50-59],2020-03-31 08:28:42 PM,SD,24
# Cases Age [60-69],2020-03-31 08:28:42 PM,SD,17
# Cases Age [70-79],2020-03-31 08:28:42 PM,SD,7
# Cases Age [80+],2020-03-31 08:28:42 PM,SD,1
# Cases Age [0-19],2020-04-01 08:08:53 PM,SD,6
# Cases Age [20-29],2020-04-01 08:08:53 PM,SD,23
# Cases Age [30-39],2020-04-01 08:08:53 PM,SD,15
# Cases Age [40-49],2020-04-01 08:08:53 PM,SD,26
# Cases Age [50-59],2020-04-01 08:08:53 PM,SD,30
# Cases Age [60-69],2020-04-01 08:08:53 PM,SD,20
# Cases Age [70-79],2020-04-01 08:08:53 PM,SD,7
# Cases Age [80+],2020-04-01 08:08:53 PM,SD,2
# Cases Age [0-19],2020-04-02 08:26:49 PM,SD,6
# Cases Age [20-29],2020-04-02 08:26:49 PM,SD,30
# Cases Age [30-39],2020-04-02 08:26:49 PM,SD,22
# Cases Age [40-49],2020-04-02 08:26:49 PM,SD,31
# Cases Age [50-59],2020-04-02 08:26:49 PM,SD,36
# Cases Age [60-69],2020-04-02 08:26:49 PM,SD,26
# Cases Age [70-79],2020-04-02 08:26:49 PM,SD,8
# Cases Age [80+],2020-04-02 08:26:49 PM,SD,6
# Cases Age [0-19],2020-04-03 08:25:04 PM,SD,6
# Cases Age [20-29],2020-04-03 08:25:04 PM,SD,34
# Cases Age [30-39],2020-04-03 08:25:04 PM,SD,28
# Cases Age [40-49],2020-04-03 08:25:04 PM,SD,34
# Cases Age [50-59],2020-04-03 08:25:04 PM,SD,39
# Cases Age [60-69],2020-04-03 08:25:04 PM,SD,30
# Cases Age [70-79],2020-04-03 08:25:04 PM,SD,9
# Cases Age [80+],2020-04-03 08:25:04 PM,SD,7
# Cases Age [0-19],2020-04-04 08:10:40 PM,SD,7
# Cases Age [20-29],2020-04-04 08:10:40 PM,SD,38
# Cases Age [30-39],2020-04-04 08:10:40 PM,SD,37
# Cases Age [40-49],2020-04-04 08:10:40 PM,SD,37
# Cases Age [50-59],2020-04-04 08:10:40 PM,SD,43
# Cases Age [60-69],2020-04-04 08:10:40 PM,SD,33
# Cases Age [70-79],2020-04-04 08:10:40 PM,SD,9
# Cases Age [80+],2020-04-04 08:10:40 PM,SD,8
# Cases Age [0-19],2020-04-05 08:40:26 PM,SD,9
# Cases Age [20-29],2020-04-05 08:40:26 PM,SD,47
# Cases Age [30-39],2020-04-05 08:40:26 PM,SD,46
# Cases Age [40-49],2020-04-05 08:40:26 PM,SD,43
# Cases Age [50-59],2020-04-05 08:40:26 PM,SD,45
# Cases Age [60-69],2020-04-05 08:40:26 PM,SD,33
# Cases Age [70-79],2020-04-05 08:40:26 PM,SD,9
# Cases Age [80+],2020-04-05 08:40:26 PM,SD,8
# Cases Age [0-19],2020-04-06 08:45:45 PM,SD,10
# Cases Age [20-29],2020-04-06 08:45:45 PM,SD,54
# Cases Age [30-39],2020-04-06 08:45:45 PM,SD,57
# Cases Age [40-49],2020-04-06 08:45:45 PM,SD,52
# Cases Age [50-59],2020-04-06 08:45:45 PM,SD,58
# Cases Age [60-69],2020-04-06 08:45:45 PM,SD,40
# Cases Age [70-79],2020-04-06 08:45:45 PM,SD,9
# Cases Age [80+],2020-04-06 08:45:45 PM,SD,8
# Cases Age [0-19],2020-04-07 08:05:28 PM,SD,12
# Cases Age [20-29],2020-04-07 08:05:28 PM,SD,58
# Cases Age [30-39],2020-04-07 08:05:28 PM,SD,67
# Cases Age [40-49],2020-04-07 08:05:28 PM,SD,55
# Cases Age [50-59],2020-04-07 08:05:28 PM,SD,66
# Cases Age [60-69],2020-04-07 08:05:28 PM,SD,44
# Cases Age [70-79],2020-04-07 08:05:28 PM,SD,10
# Cases Age [80+],2020-04-07 08:05:28 PM,SD,8
# Cases Age [0-19],2020-04-08 09:26:35 PM,SD,72
# Cases Age [20-29],2020-04-08 09:26:35 PM,SD,92
