Column Name,Scrape Time,State,Value
# Cases Age [0-9],2020-03-02,SouthKorea,32
# Cases Age [10-19],2020-03-02,SouthKorea,169
# Cases Age [20-29],2020-03-02,SouthKorea,1235
# Cases Age [30-39],2020-03-02,SouthKorea,506
# Cases Age [40-49],2020-03-02,SouthKorea,633
# Cases Age [50-59],2020-03-02,SouthKorea,834
# Cases Age [60-69],2020-03-02,SouthKorea,530
# Cases Age [70-79],2020-03-02,SouthKorea,192
# Cases Age [80-89],2020-03-02,SouthKorea,81
# Cases Age [0-9],2020-03-03,SouthKorea,34
# Cases Age [10-19],2020-03-03,SouthKorea,204
# Cases Age [20-29],2020-03-03,SouthKorea,1417
# Cases Age [30-39],2020-03-03,SouthKorea,578
# Cases Age [40-49],2020-03-03,SouthKorea,713
# Cases Age [50-59],2020-03-03,SouthKorea,952
# Cases Age [60-69],2020-03-03,SouthKorea,597
# Cases Age [70-79],2020-03-03,SouthKorea,224
# Cases Age [80-89],2020-03-03,SouthKorea,93
# Cases Age [0-9],2020-03-04,SouthKorea,34
# Cases Age [10-19],2020-03-04,SouthKorea,233
# Cases Age [20-29],2020-03-04,SouthKorea,1575
# Cases Age [30-39],2020-03-04,SouthKorea,631
# Cases Age [40-49],2020-03-04,SouthKorea,790
# Cases Age [50-59],2020-03-04,SouthKorea,1051
# Cases Age [60-69],2020-03-04,SouthKorea,646
# Cases Age [70-79],2020-03-04,SouthKorea,260
# Cases Age [80-89],2020-03-04,SouthKorea,108
# Cases Age [0-9],2020-03-05,SouthKorea,38
# Cases Age [10-19],2020-03-05,SouthKorea,257
# Cases Age [20-29],2020-03-05,SouthKorea,1727
# Cases Age [30-39],2020-03-05,SouthKorea,659
# Cases Age [40-49],2020-03-05,SouthKorea,847
# Cases Age [50-59],2020-03-05,SouthKorea,1127
# Cases Age [60-69],2020-03-05,SouthKorea,699
# Cases Age [70-79],2020-03-05,SouthKorea,288
# Cases Age [80-89],2020-03-05,SouthKorea,124
# Cases Age [0-9],2020-03-06,SouthKorea,45
# Cases Age [10-19],2020-03-06,SouthKorea,292
# Cases Age [20-29],2020-03-06,SouthKorea,1877
# Cases Age [30-39],2020-03-06,SouthKorea,693
# Cases Age [40-49],2020-03-06,SouthKorea,889
# Cases Age [50-59],2020-03-06,SouthKorea,1217
# Cases Age [60-69],2020-03-06,SouthKorea,763
# Cases Age [70-79],2020-03-06,SouthKorea,340
# Cases Age [80-89],2020-03-06,SouthKorea,168
# Cases Age [0-9],2020-03-07,SouthKorea,52
# Cases Age [10-19],2020-03-07,SouthKorea,327
# Cases Age [20-29],2020-03-07,SouthKorea,2038
# Cases Age [30-39],2020-03-07,SouthKorea,727
# Cases Age [40-49],2020-03-07,SouthKorea,941
# Cases Age [50-59],2020-03-07,SouthKorea,1287
# Cases Age [60-69],2020-03-07,SouthKorea,830
# Cases Age [70-79],2020-03-07,SouthKorea,384
# Cases Age [80-89],2020-03-07,SouthKorea,191
# Cases Age [0-9],2020-03-08,SouthKorea,58
# Cases Age [10-19],2020-03-08,SouthKorea,360
# Cases Age [20-29],2020-03-08,SouthKorea,2133
# Cases Age [30-39],2020-03-08,SouthKorea,760
# Cases Age [40-49],2020-03-08,SouthKorea,975
# Cases Age [50-59],2020-03-08,SouthKorea,1349
# Cases Age [60-69],2020-03-08,SouthKorea,878
# Cases Age [70-79],2020-03-08,SouthKorea,409
# Cases Age [80-89],2020-03-08,SouthKorea,212
# Cases Age [0-9],2020-03-09,SouthKorea,66
# Cases Age [10-19],2020-03-09,SouthKorea,381
# Cases Age [20-29],2020-03-09,SouthKorea,2190
# Cases Age [30-39],2020-03-09,SouthKorea,779
# Cases Age [40-49],2020-03-09,SouthKorea,1005
# Cases Age [50-59],2020-03-09,SouthKorea,1391
# Cases Age [60-69],2020-03-09,SouthKorea,916
# Cases Age [70-79],2020-03-09,SouthKorea,438
# Cases Age [80-89],2020-03-09,SouthKorea,216
# Cases Age [0-9],2020-03-10,SouthKorea,67
# Cases Age [10-19],2020-03-10,SouthKorea,393
# Cases Age [20-29],2020-03-10,SouthKorea,2213
# Cases Age [30-39],2020-03-10,SouthKorea,789
# Cases Age [40-49],2020-03-10,SouthKorea,1030
# Cases Age [50-59],2020-03-10,SouthKorea,1416
# Cases Age [60-69],2020-03-10,SouthKorea,929
# Cases Age [70-79],2020-03-10,SouthKorea,454
# Cases Age [80-89],2020-03-10,SouthKorea,222
# Cases Age [0-9],2020-03-11,SouthKorea,75
# Cases Age [10-19],2020-03-11,SouthKorea,405
# Cases Age [20-29],2020-03-11,SouthKorea,2238
# Cases Age [30-39],2020-03-11,SouthKorea,804
# Cases Age [40-49],2020-03-11,SouthKorea,1082
# Cases Age [50-59],2020-03-11,SouthKorea,1472
# Cases Age [60-69],2020-03-11,SouthKorea,960
# Cases Age [70-79],2020-03-11,SouthKorea,483
# Cases Age [80-89],2020-03-11,SouthKorea,236
# Cases Age [0-9],2020-03-12,SouthKorea,76
# Cases Age [10-19],2020-03-12,SouthKorea,412
# Cases Age [20-29],2020-03-12,SouthKorea,2261
# Cases Age [30-39],2020-03-12,SouthKorea,812
# Cases Age [40-49],2020-03-12,SouthKorea,1101
# Cases Age [50-59],2020-03-12,SouthKorea,1495
# Cases Age [60-69],2020-03-12,SouthKorea,972
# Cases Age [70-79],2020-03-12,SouthKorea,497
# Cases Age [80-89],2020-03-12,SouthKorea,243
# Cases Age [0-9],2020-03-13,SouthKorea,77
# Cases Age [10-19],2020-03-13,SouthKorea,421
# Cases Age [20-29],2020-03-13,SouthKorea,2274
# Cases Age [30-39],2020-03-13,SouthKorea,823
# Cases Age [40-49],2020-03-13,SouthKorea,1117
# Cases Age [50-59],2020-03-13,SouthKorea,1523
