Column Name,Scrape Time,State,Value
# Cases Age [0-10],2020-04-09 08:47:29 PM,TN,51
# Cases Age [11-20],2020-04-09 08:47:29 PM,TN,218
# Cases Age [21-30],2020-04-09 08:47:29 PM,TN,991
# Cases Age [31-40],2020-04-09 08:47:29 PM,TN,747
# Cases Age [41-50],2020-04-09 08:47:29 PM,TN,730
# Cases Age [51-60],2020-04-09 08:47:29 PM,TN,845
# Cases Age [61-70],2020-04-09 08:47:29 PM,TN,586
# Cases Age [71-80],2020-04-09 08:47:29 PM,TN,288
# Cases Age [80+],2020-04-09 08:47:29 PM,TN,156
# Cases Age [Unknown],2020-04-09 08:47:29 PM,TN,22
# Cases Age [0-10],2020-03-29 11:05:47 AM,TN,16
# Cases Age [11-20],2020-03-29 11:05:47 AM,TN,71
# Cases Age [21-30],2020-03-29 11:05:47 AM,TN,346
# Cases Age [31-40],2020-03-29 11:05:47 AM,TN,221
# Cases Age [41-50],2020-03-29 11:05:47 AM,TN,224
# Cases Age [51-60],2020-03-29 11:05:47 AM,TN,218
# Cases Age [61-70],2020-03-29 11:05:47 AM,TN,153
# Cases Age [71-80],2020-03-29 11:05:47 AM,TN,87
# Cases Age [80+],2020-03-29 11:05:47 AM,TN,28
# Cases Age [Unknown],2020-03-29 11:05:47 AM,TN,9
# Cases Age [0-10],2020-03-29 07:33:17 PM,TN,17
# Cases Age [11-20],2020-03-29 07:33:17 PM,TN,80
# Cases Age [21-30],2020-03-29 07:33:17 PM,TN,380
# Cases Age [31-40],2020-03-29 07:33:17 PM,TN,239
# Cases Age [41-50],2020-03-29 07:33:17 PM,TN,262
# Cases Age [51-60],2020-03-29 07:33:17 PM,TN,239
# Cases Age [61-70],2020-03-29 07:33:17 PM,TN,176
# Cases Age [71-80],2020-03-29 07:33:17 PM,TN,97
# Cases Age [80+],2020-03-29 07:33:17 PM,TN,33
# Cases Age [Unknown],2020-03-29 07:33:17 PM,TN,14
# Cases Age [0-10],2020-03-30 08:37:42 PM,TN,18
# Cases Age [11-20],2020-03-30 08:37:42 PM,TN,96
# Cases Age [21-30],2020-03-30 08:37:42 PM,TN,462
# Cases Age [31-40],2020-03-30 08:37:42 PM,TN,286
# Cases Age [41-50],2020-03-30 08:37:42 PM,TN,299
# Cases Age [51-60],2020-03-30 08:37:42 PM,TN,280
# Cases Age [61-70],2020-03-30 08:37:42 PM,TN,212
# Cases Age [71-80],2020-03-30 08:37:42 PM,TN,120
# Cases Age [80+],2020-03-30 08:37:42 PM,TN,50
# Cases Age [Unknown],2020-03-30 08:37:42 PM,TN,11
# Cases Age [0-10],2020-03-31 08:28:43 PM,TN,24
# Cases Age [11-20],2020-03-31 08:28:43 PM,TN,107
# Cases Age [21-30],2020-03-31 08:28:43 PM,TN,566
# Cases Age [31-40],2020-03-31 08:28:43 PM,TN,346
# Cases Age [41-50],2020-03-31 08:28:43 PM,TN,351
# Cases Age [51-60],2020-03-31 08:28:43 PM,TN,368
# Cases Age [61-70],2020-03-31 08:28:43 PM,TN,254
# Cases Age [71-80],2020-03-31 08:28:43 PM,TN,144
# Cases Age [80+],2020-03-31 08:28:43 PM,TN,63
# Cases Age [Unknown],2020-03-31 08:28:43 PM,TN,16
# Cases Age [0-10],2020-04-01 08:08:53 PM,TN,33
# Cases Age [11-20],2020-04-01 08:08:53 PM,TN,131
# Cases Age [21-30],2020-04-01 08:08:53 PM,TN,637
# Cases Age [31-40],2020-04-01 08:08:53 PM,TN,426
# Cases Age [41-50],2020-04-01 08:08:53 PM,TN,417
# Cases Age [51-60],2020-04-01 08:08:53 PM,TN,456
# Cases Age [61-70],2020-04-01 08:08:53 PM,TN,308
# Cases Age [71-80],2020-04-01 08:08:53 PM,TN,175
# Cases Age [80+],2020-04-01 08:08:53 PM,TN,79
# Cases Age [Unknown],2020-04-01 08:08:53 PM,TN,21
# Cases Age [0-10],2020-04-02 08:26:50 PM,TN,36
# Cases Age [11-20],2020-04-02 08:26:50 PM,TN,138
# Cases Age [21-30],2020-04-02 08:26:50 PM,TN,665
# Cases Age [31-40],2020-04-02 08:26:50 PM,TN,456
# Cases Age [41-50],2020-04-02 08:26:50 PM,TN,437
# Cases Age [51-60],2020-04-02 08:26:50 PM,TN,484
# Cases Age [61-70],2020-04-02 08:26:50 PM,TN,331
# Cases Age [71-80],2020-04-02 08:26:50 PM,TN,184
# Cases Age [80+],2020-04-02 08:26:50 PM,TN,97
# Cases Age [Unknown],2020-04-02 08:26:50 PM,TN,17
# Cases Age [0-10],2020-04-03 08:25:05 PM,TN,39
# Cases Age [11-20],2020-04-03 08:25:05 PM,TN,148
# Cases Age [21-30],2020-04-03 08:25:05 PM,TN,693
# Cases Age [31-40],2020-04-03 08:25:05 PM,TN,494
# Cases Age [41-50],2020-04-03 08:25:05 PM,TN,474
# Cases Age [51-60],2020-04-03 08:25:05 PM,TN,544
# Cases Age [61-70],2020-04-03 08:25:05 PM,TN,359
# Cases Age [71-80],2020-04-03 08:25:05 PM,TN,196
# Cases Age [80+],2020-04-03 08:25:05 PM,TN,105
# Cases Age [Unknown],2020-04-03 08:25:05 PM,TN,15
# Cases Age [0-10],2020-04-04 08:10:41 PM,TN,43
# Cases Age [11-20],2020-04-04 08:10:41 PM,TN,158
# Cases Age [21-30],2020-04-04 08:10:41 PM,TN,744
# Cases Age [31-40],2020-04-04 08:10:41 PM,TN,543
# Cases Age [41-50],2020-04-04 08:10:41 PM,TN,510
# Cases Age [51-60],2020-04-04 08:10:41 PM,TN,593
# Cases Age [61-70],2020-04-04 08:10:41 PM,TN,391
# Cases Age [71-80],2020-04-04 08:10:41 PM,TN,205
# Cases Age [80+],2020-04-04 08:10:41 PM,TN,107
# Cases Age [Unknown],2020-04-04 08:10:41 PM,TN,27
# Cases Age [0-10],2020-04-05 08:15:53 PM,TN,42
# Cases Age [11-20],2020-04-05 08:15:53 PM,TN,171
# Cases Age [21-30],2020-04-05 08:15:53 PM,TN,815
# Cases Age [31-40],2020-04-05 08:15:53 PM,TN,608
# Cases Age [41-50],2020-04-05 08:15:53 PM,TN,565
# Cases Age [51-60],2020-04-05 08:15:53 PM,TN,644
# Cases Age [61-70],2020-04-05 08:15:53 PM,TN,431
# Cases Age [71-80],2020-04-05 08:15:53 PM,TN,215
# Cases Age [80+],2020-04-05 08:15:53 PM,TN,118
# Cases Age [Unknown],2020-04-05 08:15:53 PM,TN,24
# Cases Age [0-10],2020-04-06 08:29:30 PM,TN,45
# Cases Age [11-20],2020-04-06 08:29:30 PM,TN,183
# Cases Age [21-30],2020-04-06 08:29:30 PM,TN,846
# Cases Age [31-40],2020-04-06 08:29:30 PM,TN,627
# Cases Age [41-50],2020-04-06 08:29:30 PM,TN,587
# Cases Age [51-60],2020-04-06 08:29:30 PM,TN,679
# Cases Age [61-70],2020-04-06 08:29:30 PM,TN,454
# Cases Age [71-80],2020-04-06 08:29:30 PM,TN,232
# Cases Age [80+],2020-04-06 08:29:30 PM,TN,122
# Cases Age [Unknown],2020-04-06 08:29:30 PM,TN,27
# Cases Age [0-10],2020-04-07 08:05:29 PM,TN,52
# Cases Age [11-20],2020-04-07 08:05:29 PM,TN,198
# Cases Age [21-30],2020-04-07 08:05:29 PM,TN,905
# Cases Age [31-40],2020-04-07 08:05:29 PM,TN,684
# Cases Age [41-50],2020-04-07 08:05:29 PM,TN,639
# Cases Age [51-60],2020-04-07 08:05:29 PM,TN,755
# Cases Age [61-70],2020-04-07 08:05:29 PM,TN,508
# Cases Age [71-80],2020-04-07 08:05:29 PM,TN,251
# Cases Age [80+],2020-04-07 08:05:29 PM,TN,124
# Cases Age [Unknown],2020-04-07 08:05:29 PM,TN,22
# Cases Age [0-10],2020-04-08 08:19:35 PM,TN,53
# Cases Age [11-20],2020-04-08 08:19:35 PM,TN,208
# Cases Age [21-30],2020-04-08 08:19:35 PM,TN,943
# Cases Age [31-40],2020-04-08 08:19:35 PM,TN,705
# Cases Age [41-50],2020-04-08 08:19:35 PM,TN,674
# Cases Age [51-60],2020-04-08 08:19:35 PM,TN,803
# Cases Age [61-70],2020-04-08 08:19:35 PM,TN,542
# Cases Age [71-80],2020-04-08 08:19:35 PM,TN,268
# Cases Age [80+],2020-04-08 08:19:35 PM,TN,143
# Cases Age [Unknown],2020-04-08 08:19:35 PM,TN,23
