Column Name,Scrape Time,State,Value
# Cases Age [0-1],4/15/20,TX,3.0
# Cases Age [1-9],4/15/20,TX,16.0
# Cases Age [10-19],4/15/20,TX,49.0
# Cases Age [20-29],4/15/20,TX,290.0
# Cases Age [30-39],4/15/20,TX,361.0
# Cases Age [40-49],4/15/20,TX,420.0
# Cases Age [50-59],4/15/20,TX,416.0
# Cases Age [60-64],4/15/20,TX,200.0
# Cases Age [65-69],4/15/20,TX,149.0
# Cases Age [70-74],4/15/20,TX,104.0
# Cases Age [75-79],4/15/20,TX,69.0
# Cases Age [80+],4/15/20,TX,100.0
# Cases Age [Unknown],4/15/20,TX,nan
# Cases Age [0-1],4/16/20,TX,3.0
# Cases Age [1-9],4/16/20,TX,16.0
# Cases Age [10-19],4/16/20,TX,50.0
# Cases Age [20-29],4/16/20,TX,292.0
# Cases Age [30-39],4/16/20,TX,362.0
# Cases Age [40-49],4/16/20,TX,423.0
# Cases Age [50-59],4/16/20,TX,420.0
# Cases Age [60-64],4/16/20,TX,206.0
# Cases Age [65-69],4/16/20,TX,153.0
# Cases Age [70-74],4/16/20,TX,106.0
# Cases Age [75-79],4/16/20,TX,73.0
# Cases Age [80+],4/16/20,TX,107.0
# Cases Age [Unknown],4/16/20,TX,nan
# Cases Age [0-1],4/17/20,TX,4.0
# Cases Age [1-9],4/17/20,TX,16.0
# Cases Age [10-19],4/17/20,TX,52.0
# Cases Age [20-29],4/17/20,TX,309.0
# Cases Age [30-39],4/17/20,TX,379.0
# Cases Age [40-49],4/17/20,TX,436.0
# Cases Age [50-59],4/17/20,TX,448.0
# Cases Age [60-64],4/17/20,TX,210.0
# Cases Age [65-69],4/17/20,TX,162.0
# Cases Age [70-74],4/17/20,TX,113.0
# Cases Age [75-79],4/17/20,TX,77.0
# Cases Age [80+],4/17/20,TX,124.0
# Cases Age [Unknown],4/17/20,TX,nan
# Cases Age [0-1],4/18/20,TX,4.0
# Cases Age [1-9],4/18/20,TX,17.0
# Cases Age [10-19],4/18/20,TX,58.0
# Cases Age [20-29],4/18/20,TX,331.0
# Cases Age [30-39],4/18/20,TX,393.0
# Cases Age [40-49],4/18/20,TX,456.0
# Cases Age [50-59],4/18/20,TX,466.0
# Cases Age [60-64],4/18/20,TX,217.0
# Cases Age [65-69],4/18/20,TX,172.0
# Cases Age [70-74],4/18/20,TX,118.0
# Cases Age [75-79],4/18/20,TX,84.0
# Cases Age [80+],4/18/20,TX,151.0
# Cases Age [Unknown],4/18/20,TX,nan
# Cases Age [0-1],4/19/20,TX,4.0
# Cases Age [1-9],4/19/20,TX,18.0
# Cases Age [10-19],4/19/20,TX,59.0
# Cases Age [20-29],4/19/20,TX,336.0
# Cases Age [30-39],4/19/20,TX,404.0
# Cases Age [40-49],4/19/20,TX,470.0
# Cases Age [50-59],4/19/20,TX,480.0
# Cases Age [60-64],4/19/20,TX,228.0
