Column Name,Scrape Time,State,Value
# Cases Age [0-1],2020-04-02,UT,nan
# Cases Age [1-14],2020-04-02,UT,11
# Cases Age [15-24],2020-04-02,UT,69
# Cases Age [25-44],2020-04-02,UT,232
# Cases Age [45-64],2020-04-02,UT,189
# Cases Age [65-84],2020-04-02,UT,75
# Cases Age [85+],2020-04-02,UT,1
# Cases Age [0-1],2020-04-03,UT,1.0
# Cases Age [1-14],2020-04-03,UT,12
# Cases Age [15-24],2020-04-03,UT,86
# Cases Age [25-44],2020-04-03,UT,274
# Cases Age [45-64],2020-04-03,UT,212
# Cases Age [65-84],2020-04-03,UT,89
# Cases Age [85+],2020-04-03,UT,1
# Cases Age [0-1],2020-04-04,UT,3.0
# Cases Age [1-14],2020-04-04,UT,14
# Cases Age [15-24],2020-04-04,UT,99
# Cases Age [25-44],2020-04-04,UT,314
# Cases Age [45-64],2020-04-04,UT,232
# Cases Age [65-84],2020-04-04,UT,96
# Cases Age [85+],2020-04-04,UT,1
# Cases Age [0-1],2020-04-05,UT,3.0
# Cases Age [1-14],2020-04-05,UT,17
# Cases Age [15-24],2020-04-05,UT,111
# Cases Age [25-44],2020-04-05,UT,350
# Cases Age [45-64],2020-04-05,UT,261
# Cases Age [65-84],2020-04-05,UT,110
# Cases Age [85+],2020-04-05,UT,1
# Cases Age [0-1],2020-04-06,UT,4.0
# Cases Age [1-14],2020-04-06,UT,18
# Cases Age [15-24],2020-04-06,UT,116
# Cases Age [25-44],2020-04-06,UT,364
# Cases Age [45-64],2020-04-06,UT,275
# Cases Age [65-84],2020-04-06,UT,113
# Cases Age [85+],2020-04-06,UT,1
# Cases Age [0-1],2020-04-07,UT,4.0
# Cases Age [1-14],2020-04-07,UT,19
# Cases Age [15-24],2020-04-07,UT,118
# Cases Age [25-44],2020-04-07,UT,374
# Cases Age [45-64],2020-04-07,UT,287
# Cases Age [65-84],2020-04-07,UT,116
# Cases Age [85+],2020-04-07,UT,1
# Cases Age [0-1],2020-04-08,UT,5.0
# Cases Age [1-14],2020-04-08,UT,21
# Cases Age [15-24],2020-04-08,UT,125
# Cases Age [25-44],2020-04-08,UT,397
# Cases Age [45-64],2020-04-08,UT,302
# Cases Age [65-84],2020-04-08,UT,120
# Cases Age [85+],2020-04-08,UT,2
# Cases Age [0-1],2020-04-09,UT,4.0
# Cases Age [1-14],2020-04-09,UT,28
# Cases Age [15-24],2020-04-09,UT,136
# Cases Age [25-44],2020-04-09,UT,422
# Cases Age [45-64],2020-04-09,UT,322
# Cases Age [65-84],2020-04-09,UT,125
# Cases Age [85+],2020-04-09,UT,2
# Cases Age [0-1],2020-04-10,UT,5.0
# Cases Age [1-14],2020-04-10,UT,31
# Cases Age [15-24],2020-04-10,UT,151
# Cases Age [25-44],2020-04-10,UT,455
# Cases Age [45-64],2020-04-10,UT,338
# Cases Age [65-84],2020-04-10,UT,129
# Cases Age [85+],2020-04-10,UT,3
# Cases Age [0-1],2020-04-11,UT,5.0
# Cases Age [1-14],2020-04-11,UT,31
# Cases Age [15-24],2020-04-11,UT,159
# Cases Age [25-44],2020-04-11,UT,488
# Cases Age [45-64],2020-04-11,UT,351
# Cases Age [65-84],2020-04-11,UT,132
# Cases Age [85+],2020-04-11,UT,3
# Cases Age [0-1],2020-04-12,UT,5.0
# Cases Age [1-14],2020-04-12,UT,31
# Cases Age [15-24],2020-04-12,UT,165
# Cases Age [25-44],2020-04-12,UT,506
# Cases Age [45-64],2020-04-12,UT,376
# Cases Age [65-84],2020-04-12,UT,134
# Cases Age [85+],2020-04-12,UT,4
# Cases Age [0-1],2020-04-13,UT,5.0
# Cases Age [1-14],2020-04-13,UT,31
# Cases Age [15-24],2020-04-13,UT,171
# Cases Age [25-44],2020-04-13,UT,514
# Cases Age [45-64],2020-04-13,UT,390
# Cases Age [65-84],2020-04-13,UT,135
# Cases Age [85+],2020-04-13,UT,5
# Cases Age [0-1],2020-04-14,UT,5.0
# Cases Age [1-14],2020-04-14,UT,32
# Cases Age [15-24],2020-04-14,UT,175
# Cases Age [25-44],2020-04-14,UT,529
# Cases Age [45-64],2020-04-14,UT,403
# Cases Age [65-84],2020-04-14,UT,135
# Cases Age [85+],2020-04-14,UT,6
# Cases Age [0-1],2020-04-15,UT,5.0
# Cases Age [1-14],2020-04-15,UT,33
# Cases Age [15-24],2020-04-15,UT,184
# Cases Age [25-44],2020-04-15,UT,565
# Cases Age [45-64],2020-04-15,UT,433
# Cases Age [65-84],2020-04-15,UT,140
