Column Name,Scrape Time,State,Value
# Cases Age [0-9],4/3/2020,VA,15
# Cases Age [10-19],4/3/2020,VA,29
# Cases Age [20-29],4/3/2020,VA,259
# Cases Age [30-39],4/3/2020,VA,276
# Cases Age [40-49],4/3/2020,VA,322
# Cases Age [50-59],4/3/2020,VA,393
# Cases Age [60-69],4/3/2020,VA,347
# Cases Age [70-79],4/3/2020,VA,235
# Cases Age [80+],4/3/2020,VA,135
# Cases Age [Unknown],4/3/2020,VA,1.0
# Cases Age [0-9],4/4/2020,VA,16
# Cases Age [10-19],4/4/2020,VA,34
# Cases Age [20-29],4/4/2020,VA,293
# Cases Age [30-39],4/4/2020,VA,335
# Cases Age [40-49],4/4/2020,VA,382
# Cases Age [50-59],4/4/2020,VA,466
# Cases Age [60-69],4/4/2020,VA,415
# Cases Age [70-79],4/4/2020,VA,284
# Cases Age [80+],4/4/2020,VA,182
# Cases Age [Unknown],4/4/2020,VA,nan
# Cases Age [0-9],4/5/2020,VA,19
# Cases Age [10-19],4/5/2020,VA,36
# Cases Age [20-29],4/5/2020,VA,326
# Cases Age [30-39],4/5/2020,VA,366
# Cases Age [40-49],4/5/2020,VA,421
# Cases Age [50-59],4/5/2020,VA,512
# Cases Age [60-69],4/5/2020,VA,453
# Cases Age [70-79],4/5/2020,VA,305
# Cases Age [80+],4/5/2020,VA,199
# Cases Age [Unknown],4/5/2020,VA,nan
# Cases Age [0-9],4/6/2020,VA,21
# Cases Age [10-19],4/6/2020,VA,38
# Cases Age [20-29],4/6/2020,VA,349
# Cases Age [30-39],4/6/2020,VA,398
# Cases Age [40-49],4/6/2020,VA,461
# Cases Age [50-59],4/6/2020,VA,574
# Cases Age [60-69],4/6/2020,VA,499
# Cases Age [70-79],4/6/2020,VA,327
# Cases Age [80+],4/6/2020,VA,211
# Cases Age [Unknown],4/6/2020,VA,nan
# Cases Age [0-9],4/7/2020,VA,25
# Cases Age [10-19],4/7/2020,VA,43
# Cases Age [20-29],4/7/2020,VA,412
# Cases Age [30-39],4/7/2020,VA,483
# Cases Age [40-49],4/7/2020,VA,543
# Cases Age [50-59],4/7/2020,VA,660
# Cases Age [60-69],4/7/2020,VA,573
# Cases Age [70-79],4/7/2020,VA,361
# Cases Age [80+],4/7/2020,VA,232
# Cases Age [Unknown],4/7/2020,VA,1.0
# Cases Age [0-9],4/8/2020,VA,24
# Cases Age [10-19],4/8/2020,VA,53
# Cases Age [20-29],4/8/2020,VA,444
# Cases Age [30-39],4/8/2020,VA,529
# Cases Age [40-49],4/8/2020,VA,598
# Cases Age [50-59],4/8/2020,VA,730
# Cases Age [60-69],4/8/2020,VA,625
# Cases Age [70-79],4/8/2020,VA,391
# Cases Age [80+],4/8/2020,VA,250
# Cases Age [Unknown],4/8/2020,VA,1.0
# Cases Age [0-9],4/9/2020,VA,25
# Cases Age [10-19],4/9/2020,VA,64
# Cases Age [20-29],4/9/2020,VA,484
# Cases Age [30-39],4/9/2020,VA,595
# Cases Age [40-49],4/9/2020,VA,660
# Cases Age [50-59],4/9/2020,VA,808
# Cases Age [60-69],4/9/2020,VA,692
# Cases Age [70-79],4/9/2020,VA,425
# Cases Age [80+],4/9/2020,VA,288
# Cases Age [Unknown],4/9/2020,VA,1.0
# Cases Age [0-9],4/10/2020,VA,26
# Cases Age [10-19],4/10/2020,VA,79
# Cases Age [20-29],4/10/2020,VA,526
# Cases Age [30-39],4/10/2020,VA,678
# Cases Age [40-49],4/10/2020,VA,744
# Cases Age [50-59],4/10/2020,VA,905
# Cases Age [60-69],4/10/2020,VA,757
# Cases Age [70-79],4/10/2020,VA,464
# Cases Age [80+],4/10/2020,VA,329
# Cases Age [Unknown],4/10/2020,VA,1.0
# Cases Age [0-9],4/11/2020,VA,30
# Cases Age [10-19],4/11/2020,VA,96
# Cases Age [20-29],4/11/2020,VA,589
# Cases Age [30-39],4/11/2020,VA,765
# Cases Age [40-49],4/11/2020,VA,850
# Cases Age [50-59],4/11/2020,VA,1022
# Cases Age [60-69],4/11/2020,VA,844
# Cases Age [70-79],4/11/2020,VA,505
# Cases Age [80+],4/11/2020,VA,374
# Cases Age [Unknown],4/11/2020,VA,2.0
# Cases Age [0-9],4/12/2020,VA,33
# Cases Age [10-19],4/12/2020,VA,104
# Cases Age [20-29],4/12/2020,VA,609
# Cases Age [30-39],4/12/2020,VA,796
# Cases Age [40-49],4/12/2020,VA,882
# Cases Age [50-59],4/12/2020,VA,1062
# Cases Age [60-69],4/12/2020,VA,871
# Cases Age [70-79],4/12/2020,VA,528
# Cases Age [80+],4/12/2020,VA,386
# Cases Age [Unknown],4/12/2020,VA,3.0
# Cases Age [0-9],4/13/2020,VA,38
# Cases Age [10-19],4/13/2020,VA,110
# Cases Age [20-29],4/13/2020,VA,663
# Cases Age [30-39],4/13/2020,VA,864
# Cases Age [40-49],4/13/2020,VA,966
# Cases Age [50-59],4/13/2020,VA,1154
# Cases Age [60-69],4/13/2020,VA,949
# Cases Age [70-79],4/13/2020,VA,561
# Cases Age [80+],4/13/2020,VA,440
# Cases Age [Unknown],4/13/2020,VA,2.0
# Cases Age [0-9],4/14/2020,VA,42
# Cases Age [10-19],4/14/2020,VA,127
# Cases Age [20-29],4/14/2020,VA,716
# Cases Age [30-39],4/14/2020,VA,917
# Cases Age [40-49],4/14/2020,VA,1028
# Cases Age [50-59],4/14/2020,VA,1226
# Cases Age [60-69],4/14/2020,VA,1013
# Cases Age [70-79],4/14/2020,VA,608
# Cases Age [80+],4/14/2020,VA,492
# Cases Age [Unknown],4/14/2020,VA,2.0
# Cases Age [0-9],4/15/2020,VA,46
# Cases Age [10-19],4/15/2020,VA,138
# Cases Age [20-29],4/15/2020,VA,755
# Cases Age [30-39],4/15/2020,VA,963
# Cases Age [40-49],4/15/2020,VA,1095
# Cases Age [50-59],4/15/2020,VA,1277
# Cases Age [60-69],4/15/2020,VA,1061
# Cases Age [70-79],4/15/2020,VA,634
# Cases Age [80+],4/15/2020,VA,530
# Cases Age [Unknown],4/15/2020,VA,1.0
# Cases Age [0-9],4/16/2020,VA,48
# Cases Age [10-19],4/16/2020,VA,145
# Cases Age [20-29],4/16/2020,VA,808
# Cases Age [30-39],4/16/2020,VA,1028
# Cases Age [40-49],4/16/2020,VA,1168
# Cases Age [50-59],4/16/2020,VA,1349
# Cases Age [60-69],4/16/2020,VA,1114
# Cases Age [70-79],4/16/2020,VA,662
# Cases Age [80+],4/16/2020,VA,566
# Cases Age [Unknown],4/16/2020,VA,1.0
# Cases Age [0-9],4/17/2020,VA,60
# Cases Age [10-19],4/17/2020,VA,158
# Cases Age [20-29],4/17/2020,VA,877
# Cases Age [30-39],4/17/2020,VA,1104
# Cases Age [40-49],4/17/2020,VA,1254
# Cases Age [50-59],4/17/2020,VA,1466
# Cases Age [60-69],4/17/2020,VA,1204
# Cases Age [70-79],4/17/2020,VA,714
# Cases Age [80+],4/17/2020,VA,653
# Cases Age [Unknown],4/17/2020,VA,1.0
# Cases Age [0-9],4/18/2020,VA,65
# Cases Age [10-19],4/18/2020,VA,171
# Cases Age [20-29],4/18/2020,VA,956
# Cases Age [30-39],4/18/2020,VA,1201
# Cases Age [40-49],4/18/2020,VA,1349
# Cases Age [50-59],4/18/2020,VA,1559
# Cases Age [60-69],4/18/2020,VA,1288
# Cases Age [70-79],4/18/2020,VA,756
# Cases Age [80+],4/18/2020,VA,707
# Cases Age [Unknown],4/18/2020,VA,1.0
# Cases Age [0-9],4/19/2020,VA,73
# Cases Age [10-19],4/19/2020,VA,177
# Cases Age [20-29],4/19/2020,VA,1021
# Cases Age [30-39],4/19/2020,VA,1279
# Cases Age [40-49],4/19/2020,VA,1436
# Cases Age [50-59],4/19/2020,VA,1634
# Cases Age [60-69],4/19/2020,VA,1348
# Cases Age [70-79],4/19/2020,VA,791
# Cases Age [80+],4/19/2020,VA,777
# Cases Age [Unknown],4/19/2020,VA,1.0
# Cases Age [0-9],4/20/2020,VA,80
# Cases Age [10-19],4/20/2020,VA,190
# Cases Age [20-29],4/20/2020,VA,1072
# Cases Age [30-39],4/20/2020,VA,1344
# Cases Age [40-49],4/20/2020,VA,1525
# Cases Age [50-59],4/20/2020,VA,1719
# Cases Age [60-69],4/20/2020,VA,1413
# Cases Age [70-79],4/20/2020,VA,823
# Cases Age [80+],4/20/2020,VA,823
# Cases Age [Unknown],4/20/2020,VA,1.0
# Cases Age [0-9],3/28/2020,VA,7
# Cases Age [10-19],3/28/2020,VA,10
# Cases Age [20-29],3/28/2020,VA,122
# Cases Age [30-39],3/28/2020,VA,113
# Cases Age [40-49],3/28/2020,VA,122
# Cases Age [50-59],3/28/2020,VA,134
# Cases Age [60-69],3/28/2020,VA,116
# Cases Age [70-79],3/28/2020,VA,81
# Cases Age [80+],3/28/2020,VA,34
# Cases Age [0-9],3/29/2020,VA,7
# Cases Age [10-19],3/29/2020,VA,12
# Cases Age [20-29],3/29/2020,VA,135
# Cases Age [30-39],3/29/2020,VA,131
# Cases Age [40-49],3/29/2020,VA,150
# Cases Age [50-59],3/29/2020,VA,158
# Cases Age [60-69],3/29/2020,VA,151
# Cases Age [70-79],3/29/2020,VA,99
# Cases Age [80+],3/29/2020,VA,47
# Cases Age [0-9],3/30/2020,VA,7
# Cases Age [10-19],3/30/2020,VA,12
# Cases Age [20-29],3/30/2020,VA,149
# Cases Age [30-39],3/30/2020,VA,145
# Cases Age [40-49],3/30/2020,VA,176
# Cases Age [50-59],3/30/2020,VA,184
# Cases Age [60-69],3/30/2020,VA,175
# Cases Age [70-79],3/30/2020,VA,111
# Cases Age [80+],3/30/2020,VA,61
# Cases Age [0-9],3/31/2020,VA,10
# Cases Age [10-19],3/31/2020,VA,17
# Cases Age [20-29],3/31/2020,VA,173
# Cases Age [30-39],3/31/2020,VA,180
# Cases Age [40-49],3/31/2020,VA,215
# Cases Age [50-59],3/31/2020,VA,228
# Cases Age [60-69],3/31/2020,VA,216
# Cases Age [70-79],3/31/2020,VA,136
# Cases Age [80+],3/31/2020,VA,75
# Cases Age [0-9],4/01/2020,VA,12
# Cases Age [10-19],4/01/2020,VA,22
# Cases Age [20-29],4/01/2020,VA,204
# Cases Age [30-39],4/01/2020,VA,212
# Cases Age [40-49],4/01/2020,VA,252
# Cases Age [50-59],4/01/2020,VA,280
# Cases Age [60-69],4/01/2020,VA,247
