Column Name,Scrape Time,State,Value
% Cases Age [0-19],2020-08-14 10:27:56 AM,WA,13
% Cases Age [20-39],2020-08-14 10:27:56 AM,WA,39
% Cases Age [40-59],2020-08-14 10:27:56 AM,WA,29
% Cases Age [60-79],2020-08-14 10:27:56 AM,WA,14
% Cases Age [80+],2020-08-14 10:27:56 AM,WA,5
% Cases Age [Unknown],2020-08-14 10:27:56 AM,WA,0
% Cases Age [0-19],2020-08-14 08:11:24 PM,WA,13
% Cases Age [20-39],2020-08-14 08:11:24 PM,WA,39
% Cases Age [40-59],2020-08-14 08:11:24 PM,WA,29
% Cases Age [60-79],2020-08-14 08:11:24 PM,WA,14
% Cases Age [80+],2020-08-14 08:11:24 PM,WA,5
% Cases Age [Unknown],2020-08-14 08:11:24 PM,WA,0
% Cases Age [0-19],2020-08-15 08:12:09 PM,WA,13
% Cases Age [20-39],2020-08-15 08:12:09 PM,WA,39
% Cases Age [40-59],2020-08-15 08:12:09 PM,WA,29
% Cases Age [60-79],2020-08-15 08:12:09 PM,WA,14
% Cases Age [80+],2020-08-15 08:12:09 PM,WA,5
% Cases Age [Unknown],2020-08-15 08:12:09 PM,WA,0
% Cases Age [0-19],2020-08-16 08:20:46 PM,WA,13
% Cases Age [20-39],2020-08-16 08:20:46 PM,WA,39
% Cases Age [40-59],2020-08-16 08:20:46 PM,WA,29
% Cases Age [60-79],2020-08-16 08:20:46 PM,WA,14
% Cases Age [80+],2020-08-16 08:20:46 PM,WA,5
% Cases Age [Unknown],2020-08-16 08:20:46 PM,WA,0
% Cases Age [0-19],2020-08-17 07:55:46 PM,WA,13
% Cases Age [20-39],2020-08-17 07:55:46 PM,WA,39
% Cases Age [40-59],2020-08-17 07:55:46 PM,WA,29
% Cases Age [60-79],2020-08-17 07:55:46 PM,WA,14
% Cases Age [80+],2020-08-17 07:55:46 PM,WA,5
% Cases Age [Unknown],2020-08-17 07:55:46 PM,WA,0
% Cases Age [0-19],2020-08-18 08:03:34 PM,WA,13
% Cases Age [20-39],2020-08-18 08:03:34 PM,WA,39
% Cases Age [40-59],2020-08-18 08:03:34 PM,WA,29
% Cases Age [60-79],2020-08-18 08:03:34 PM,WA,14
% Cases Age [80+],2020-08-18 08:03:34 PM,WA,5
% Cases Age [Unknown],2020-08-18 08:03:34 PM,WA,0
% Cases Age [0-19],2020-08-19 08:17:53 PM,WA,13
% Cases Age [20-39],2020-08-19 08:17:53 PM,WA,39
% Cases Age [40-59],2020-08-19 08:17:53 PM,WA,29
% Cases Age [60-79],2020-08-19 08:17:53 PM,WA,14
% Cases Age [80+],2020-08-19 08:17:53 PM,WA,5
% Cases Age [Unknown],2020-08-19 08:17:53 PM,WA,0
% Cases Age [0-19],2020-08-20 08:19:10 PM,WA,13
% Cases Age [20-39],2020-08-20 08:19:10 PM,WA,39
% Cases Age [40-59],2020-08-20 08:19:10 PM,WA,29
% Cases Age [60-79],2020-08-20 08:19:10 PM,WA,14
% Cases Age [80+],2020-08-20 08:19:10 PM,WA,5
% Cases Age [Unknown],2020-08-20 08:19:10 PM,WA,0
% Cases Age [0-19],2020-08-21 10:06:38 PM,WA,13
% Cases Age [20-39],2020-08-21 10:06:38 PM,WA,39
% Cases Age [40-59],2020-08-21 10:06:38 PM,WA,29
% Cases Age [60-79],2020-08-21 10:06:38 PM,WA,14
% Cases Age [80+],2020-08-21 10:06:38 PM,WA,5
% Cases Age [Unknown],2020-08-21 10:06:38 PM,WA,0
% Cases Age [0-19],2020-08-22 07:18:32 PM,WA,13
% Cases Age [20-39],2020-08-22 07:18:32 PM,WA,39
% Cases Age [40-59],2020-08-22 07:18:32 PM,WA,29
% Cases Age [60-79],2020-08-22 07:18:32 PM,WA,14
% Cases Age [80+],2020-08-22 07:18:32 PM,WA,5
% Cases Age [Unknown],2020-08-22 07:18:32 PM,WA,0
% Cases Age [0-19],2020-08-23 08:13:33 PM,WA,13
% Cases Age [20-39],2020-08-23 08:13:33 PM,WA,39
% Cases Age [40-59],2020-08-23 08:13:33 PM,WA,29
% Cases Age [60-79],2020-08-23 08:13:33 PM,WA,14
% Cases Age [80+],2020-08-23 08:13:33 PM,WA,5
% Cases Age [Unknown],2020-08-23 08:13:33 PM,WA,0
% Cases Age [0-19],2020-06-17 03:42:58 PM,WA,7
% Cases Age [20-39],2020-06-17 03:42:58 PM,WA,34
% Cases Age [40-59],2020-06-17 03:42:58 PM,WA,33
% Cases Age [60-79],2020-06-17 03:42:58 PM,WA,19
% Cases Age [80+],2020-06-17 03:42:58 PM,WA,7
% Cases Age [Unknown],2020-06-17 03:42:58 PM,WA,0
% Cases Age [0-19],2020-06-18 09:08:25 PM,WA,8
% Cases Age [20-39],2020-06-18 09:08:25 PM,WA,34
% Cases Age [40-59],2020-06-18 09:08:25 PM,WA,32
% Cases Age [60-79],2020-06-18 09:08:25 PM,WA,19
% Cases Age [80+],2020-06-18 09:08:25 PM,WA,7
% Cases Age [Unknown],2020-06-18 09:08:25 PM,WA,0
% Cases Age [0-19],2020-06-19 07:52:01 PM,WA,8
% Cases Age [20-39],2020-06-19 07:52:01 PM,WA,34
% Cases Age [40-59],2020-06-19 07:52:01 PM,WA,32
% Cases Age [60-79],2020-06-19 07:52:01 PM,WA,19
% Cases Age [80+],2020-06-19 07:52:01 PM,WA,7
% Cases Age [Unknown],2020-06-19 07:52:01 PM,WA,0
% Cases Age [0-19],2020-06-20 09:24:06 PM,WA,8
% Cases Age [20-39],2020-06-20 09:24:06 PM,WA,34
% Cases Age [40-59],2020-06-20 09:24:06 PM,WA,32
% Cases Age [60-79],2020-06-20 09:24:06 PM,WA,18
% Cases Age [80+],2020-06-20 09:24:06 PM,WA,7
% Cases Age [Unknown],2020-06-20 09:24:06 PM,WA,0
% Cases Age [0-19],2020-06-21 09:18:09 PM,WA,8
% Cases Age [20-39],2020-06-21 09:18:09 PM,WA,34
% Cases Age [40-59],2020-06-21 09:18:09 PM,WA,32
% Cases Age [60-79],2020-06-21 09:18:09 PM,WA,18
% Cases Age [80+],2020-06-21 09:18:09 PM,WA,7
% Cases Age [Unknown],2020-06-21 09:18:09 PM,WA,0
% Cases Age [0-19],2020-06-22 09:19:47 PM,WA,8
% Cases Age [20-39],2020-06-22 09:19:47 PM,WA,35
