Column Name,Scrape Time,State,Value
# Cases Age [0-17],2020-06-08 09:30:46 PM,WY,101.72800000000001
# Cases Age [18-29],2020-06-08 09:30:46 PM,WY,143.616
# Cases Age [30-39],2020-06-08 09:30:46 PM,WY,115.94
# Cases Age [40-49],2020-06-08 09:30:46 PM,WY,118.932
# Cases Age [50-59],2020-06-08 09:30:46 PM,WY,105.46799999999999
# Cases Age [60-69],2020-06-08 09:30:46 PM,WY,94.996
# Cases Age [70-79],2020-06-08 09:30:46 PM,WY,41.888
# Cases Age [80+],2020-06-08 09:30:46 PM,WY,24.684
# Cases Age [0-17],2020-06-09 10:31:53 PM,WY,103.36000000000001
# Cases Age [18-29],2020-06-09 10:31:53 PM,WY,145.16
# Cases Age [30-39],2020-06-09 10:31:53 PM,WY,120.84
# Cases Age [40-49],2020-06-09 10:31:53 PM,WY,120.84
# Cases Age [50-59],2020-06-09 10:31:53 PM,WY,104.88000000000001
# Cases Age [60-69],2020-06-09 10:31:53 PM,WY,96.52
# Cases Age [70-79],2020-06-09 10:31:53 PM,WY,42.559999999999995
# Cases Age [80+],2020-06-09 10:31:53 PM,WY,25.080000000000002
# Cases Age [0-17],2020-06-10 08:41:40 PM,WY,102.912
# Cases Age [18-29],2020-06-10 08:41:40 PM,WY,146.688
# Cases Age [30-39],2020-06-10 08:41:40 PM,WY,122.112
# Cases Age [40-49],2020-06-10 08:41:40 PM,WY,122.112
# Cases Age [50-59],2020-06-10 08:41:40 PM,WY,105.98400000000001
# Cases Age [60-69],2020-06-10 08:41:40 PM,WY,99.072
# Cases Age [70-79],2020-06-10 08:41:40 PM,WY,43.007999999999996
# Cases Age [80+],2020-06-10 08:41:40 PM,WY,25.344
# Cases Age [0-17],2020-06-11 09:11:41 PM,WY,108.64099999999999
# Cases Age [18-29],2020-06-11 09:11:41 PM,WY,157.807
# Cases Age [30-39],2020-06-11 09:11:41 PM,WY,122.91499999999999
# Cases Age [40-49],2020-06-11 09:11:41 PM,WY,124.501
# Cases Age [50-59],2020-06-11 09:11:41 PM,WY,106.262
# Cases Age [60-69],2020-06-11 09:11:41 PM,WY,103.09
# Cases Age [70-79],2020-06-11 09:11:41 PM,WY,42.822
# Cases Age [80+],2020-06-11 09:11:41 PM,WY,26.169
# Cases Age [0-17],2020-06-12 10:49:11 PM,WY,110.296
# Cases Age [18-29],2020-06-12 10:49:11 PM,WY,160.578
# Cases Age [30-39],2020-06-12 10:49:11 PM,WY,125.705
# Cases Age [40-49],2020-06-12 10:49:11 PM,WY,133.004
# Cases Age [50-59],2020-06-12 10:49:11 PM,WY,108.674
# Cases Age [60-69],2020-06-12 10:49:11 PM,WY,102.997
# Cases Age [70-79],2020-06-12 10:49:11 PM,WY,42.172000000000004
# Cases Age [80+],2020-06-12 10:49:11 PM,WY,26.763
# Cases Age [0-17],2020-06-13 11:45:30 PM,WY,118.14399999999999
# Cases Age [18-29],2020-06-13 11:45:30 PM,WY,168.064
# Cases Age [30-39],2020-06-13 11:45:30 PM,WY,127.29599999999999
# Cases Age [40-49],2020-06-13 11:45:30 PM,WY,134.784
# Cases Age [50-59],2020-06-13 11:45:30 PM,WY,109.82400000000001
# Cases Age [60-69],2020-06-13 11:45:30 PM,WY,104.832
# Cases Age [70-79],2020-06-13 11:45:30 PM,WY,43.264
# Cases Age [80+],2020-06-13 11:45:30 PM,WY,25.792
# Cases Age [0-17],2020-06-14 08:04:23 PM,WY,119.42199999999998
# Cases Age [18-29],2020-06-14 08:04:23 PM,WY,167.35899999999998
# Cases Age [30-39],2020-06-14 08:04:23 PM,WY,128.673
# Cases Age [40-49],2020-06-14 08:04:23 PM,WY,138.76500000000001
# Cases Age [50-59],2020-06-14 08:04:23 PM,WY,111.012
