,0,File
Total Hospitalized,False,../../../covid19-data/AR/data/data.csv
Total Cases: On Ventilator,False,../../../covid19-data/AR/data/data.csv
Total Nursing Home Residents,False,../../../covid19-data/AR/data/data.csv
% Total Cases: Male,False,../../../covid19-data/AR/data/data.csv
% Total Cases: Female,False,../../../covid19-data/AR/data/data.csv
# Cases Age [0-18],False,../../../covid19-data/AR/data/data.csv
# Cases Age [19-64],False,../../../covid19-data/AR/data/data.csv
# Cases Age [65+],False,../../../covid19-data/AR/data/data.csv
Scrape Time,False,../../../covid19-data/AR/data/data.csv
# Cases Age [0-17],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Age [18-49],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Age [50-64],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Age [65+],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Age [Unknown],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Scrape Time,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Cases,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Deaths,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
Total Tested,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
% Total Cases: Female,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
% Total Cases: Male,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
% Total Cases: Unknown Sex,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-08).csv
# Cases Age [0-17],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Age [18-49],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Age [50-64],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Age [65+],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Age [Unknown],False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Scrape Time,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Cases,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Deaths,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
Total Tested,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
% Total Cases: Female,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
% Total Cases: Male,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
% Total Cases: Unknown Sex,False,../../../covid19-data/CA/data/data (Armin Pourshafeie's conflicted copy 2020-05-11).csv
# Cases Age [0-17],False,../../../covid19-data/CA/data/data.csv
# Cases Age [18-49],False,../../../covid19-data/CA/data/data.csv
# Cases Age [50-64],False,../../../covid19-data/CA/data/data.csv
# Cases Age [65+],False,../../../covid19-data/CA/data/data.csv
# Cases Age [Unknown],False,../../../covid19-data/CA/data/data.csv
Scrape Time,False,../../../covid19-data/CA/data/data.csv
Total Cases,False,../../../covid19-data/CA/data/data.csv
Total Deaths,False,../../../covid19-data/CA/data/data.csv
Total Tested,False,../../../covid19-data/CA/data/data.csv
% Total Cases: Female,True,../../../covid19-data/CA/data/data.csv
% Total Cases: Male,True,../../../covid19-data/CA/data/data.csv
% Total Cases: Unknown Sex,True,../../../covid19-data/CA/data/data.csv
State Name,False,../../../covid19-data/CA/data/data_combined.csv
State,False,../../../covid19-data/CA/data/data_combined.csv
Report Date,False,../../../covid19-data/CA/data/data_combined.csv
Report Time,False,../../../covid19-data/CA/data/data_combined.csv
Timezone,False,../../../covid19-data/CA/data/data_combined.csv
Total Deaths,True,../../../covid19-data/CA/data/data_combined.csv
Total Cases,False,../../../covid19-data/CA/data/data_combined.csv
Total Cases: Female,True,../../../covid19-data/CA/data/data_combined.csv
Total Cases: Male,True,../../../covid19-data/CA/data/data_combined.csv
Total Cases: Unknown Sex,True,../../../covid19-data/CA/data/data_combined.csv
# Cases Age [0-17],True,../../../covid19-data/CA/data/data_combined.csv
# Cases Age [18-49],True,../../../covid19-data/CA/data/data_combined.csv
# Cases Age [50-64],True,../../../covid19-data/CA/data/data_combined.csv
# Cases Age [18-64],True,../../../covid19-data/CA/data/data_combined.csv
# Cases Age [65+],True,../../../covid19-data/CA/data/data_combined.csv
# Cases Age [Unknown],True,../../../covid19-data/CA/data/data_combined.csv
Total Tested,True,../../../covid19-data/CA/data/data_combined.csv
Link,False,../../../covid19-data/CA/data/data_combined.csv
Scrape Time,False,../../../covid19-data/CA/data/data_combined.csv
State Name,False,../../../covid19-data/CA/data/data_depricated.csv
State,False,../../../covid19-data/CA/data/data_depricated.csv
Report Date,False,../../../covid19-data/CA/data/data_depricated.csv
Report Time,False,../../../covid19-data/CA/data/data_depricated.csv
Timezone,False,../../../covid19-data/CA/data/data_depricated.csv
Total Deaths,False,../../../covid19-data/CA/data/data_depricated.csv
Total Cases,False,../../../covid19-data/CA/data/data_depricated.csv
Total Cases: Female,False,../../../covid19-data/CA/data/data_depricated.csv
Total Cases: Male,False,../../../covid19-data/CA/data/data_depricated.csv
Total Cases: Unknown Sex,False,../../../covid19-data/CA/data/data_depricated.csv
# Cases Age [0-17],False,../../../covid19-data/CA/data/data_depricated.csv
# Cases Age [18-49],False,../../../covid19-data/CA/data/data_depricated.csv
# Cases Age [50-64],False,../../../covid19-data/CA/data/data_depricated.csv
# Cases Age [18-64],False,../../../covid19-data/CA/data/data_depricated.csv
# Cases Age [65+],False,../../../covid19-data/CA/data/data_depricated.csv
