Column Name,NA,File,Corrected?,Additional Notes
Total Hospitalized,FALSE,../../../covid19-data/AR/data/data.csv,,
Total Cases: On Ventilator,FALSE,../../../covid19-data/AR/data/data.csv,,
Total Nursing Home Residents,FALSE,../../../covid19-data/AR/data/data.csv,,
% Total Cases: Male,FALSE,../../../covid19-data/AR/data/data.csv,,
% Total Cases: Female,FALSE,../../../covid19-data/AR/data/data.csv,,
# Cases Age [0-18],FALSE,../../../covid19-data/AR/data/data.csv,,
# Cases Age [19-64],FALSE,../../../covid19-data/AR/data/data.csv,,
# Cases Age [65+],FALSE,../../../covid19-data/AR/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/AR/data/data.csv,,
# Cases Age [0-17],FALSE,../../../covid19-data/CA/data/data.csv,,
# Cases Age [18-49],FALSE,../../../covid19-data/CA/data/data.csv,,
# Cases Age [50-64],FALSE,../../../covid19-data/CA/data/data.csv,,
# Cases Age [65+],FALSE,../../../covid19-data/CA/data/data.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/CA/data/data.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/data.csv,,
Total Cases,FALSE,../../../covid19-data/CA/data/data.csv,,
Total Deaths,FALSE,../../../covid19-data/CA/data/data.csv,,
Total Tested,FALSE,../../../covid19-data/CA/data/data.csv,,
% Total Cases: Female,TRUE,../../../covid19-data/CA/data/data.csv,Yes,Last row only
% Total Cases: Male,TRUE,../../../covid19-data/CA/data/data.csv,Yes,Last row only
% Total Cases: Unknown Sex,TRUE,../../../covid19-data/CA/data/data.csv,Yes,Last row only
State Name,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
State,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
Report Date,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
Report Time,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
Timezone,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
Total Deaths,TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
Total Cases,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
Total Cases: Female,TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
Total Cases: Male,TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
Total Cases: Unknown Sex,TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
# Cases Age [0-17],TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
# Cases Age [18-49],TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
# Cases Age [50-64],TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
# Cases Age [18-64],TRUE,../../../covid19-data/CA/data/data_combined.csv,Some,Raw data available for 4/10-4/16
# Cases Age [65+],TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
# Cases Age [Unknown],TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
Total Tested,TRUE,../../../covid19-data/CA/data/data_combined.csv,No,No raw data available
Link,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/data_combined.csv,,
State Name,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
State,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Report Date,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Report Time,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Timezone,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Deaths,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Cases,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Cases: Female,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Cases: Male,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Cases: Unknown Sex,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
# Cases Age [0-17],FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
# Cases Age [18-49],FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
# Cases Age [50-64],FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
# Cases Age [18-64],FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
# Cases Age [65+],FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
# Cases Age [Unknown],FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Tested,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Tested: With Results,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Total Tested: Pending Results,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Link,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
Scrape Time,FALSE,../../../covid19-data/CA/data/data_depricated.csv,,
State Name,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
State,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
Report Date,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
Report Time,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
Timezone,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
Total Deaths,TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
Total Cases,FALSE,../../../covid19-data/CA/data/data_historic.csv,,
Total Cases: Female,TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
Total Cases: Male,TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
Total Cases: Unknown Sex,TRUE,../../../covid19-data/CA/data/data_historic.csv,Some,Raw data available for 4/10-4/16
# Cases Age [0-17],TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
# Cases Age [18-49],TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
# Cases Age [50-64],TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
# Cases Age [18-64],TRUE,../../../covid19-data/CA/data/data_historic.csv,Some,Raw data available for 4/10-4/16
# Cases Age [65+],TRUE,../../../covid19-data/CA/data/data_historic.csv,Some,Raw data available for 4/10-4/16
# Cases Age [Unknown],TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
Total Tested,TRUE,../../../covid19-data/CA/data/data_historic.csv,No,No raw data available
