Requiring Masks As Of,State
15-Jul,Alabama
20-Jul,Arkansas
18-Jun,California
17-Jul,Colorado
20-Apr,Connecticut
28-Apr,Delaware
16-May,District of Columbia
20-Apr,Hawaii
1-May,Illinois
3-Jul,Kansas
11-May,Kentucky
13-Jul,Louisiana
1-May,Maine
18-Apr,Maryland
6-May,Massachusetts
18-Jun,Michigan
16-Jul,Montana
24-Jun,Nevada
8-Apr,New Jersey
16-May,New Mexico
17-Apr,New York
26-Jun,North Carolina
1-Jul,Oregon
19-Apr,Pennsylvania
8-May,Rhode Island
3-Jul,Texas
29-May,Virginia
26-Jun,Washington
6-Jul,West Virginia
