Establishment Category,Establishment Details,Establishment Status,Report Date,State,State Status
Retail,Retail stores,Open,"July 20, 2020",AK,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",AK,Reopened
Personal care,"Hair salons, barbershops, nail salons, etc.",Open,"July 20, 2020",AK,Reopened
Houses of worship,,Open,"July 20, 2020",AK,Reopened
Entertainment,Libraries; Theaters; Bowling alleys; Museums,Open,"July 20, 2020",AK,Reopened
Outdoor and recreation,Gyms; Pools,Open,"July 20, 2020",AK,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",AK,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",AK,Reopened
Personal care,"Hair salons, barbershops, nail salons, etc.",Reopened,"July 20, 2020",AK,Reopened
Houses of worship,,Reopened,"July 20, 2020",AK,Reopened
Entertainment,Libraries; Theaters; Bowling alleys; Museums,Reopened,"July 20, 2020",AK,Reopened
Outdoor and recreation,Gyms; Pools,Reopened,"July 20, 2020",AK,Reopened
Retail,"Retail stores, malls",Open,"July 20, 2020",IA,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",IA,Reopened
Personal care,"Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.",Open,"July 20, 2020",IA,Reopened
Houses of worship,,Open,"July 20, 2020",IA,Reopened
Entertainment,"Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues",Open,"July 20, 2020",IA,Reopened
Outdoor and recreation,"Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks",Open,"July 20, 2020",IA,Reopened
Retail,"Retail stores, malls",Reopened,"July 20, 2020",IA,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",IA,Reopened
Personal care,"Medical spas, tanning salons; Salons, barbershops, tattoo parlors, etc.",Reopened,"July 20, 2020",IA,Reopened
Houses of worship,,Reopened,"July 20, 2020",IA,Reopened
Entertainment,"Libraries; Movie theaters; Museums, zoos, aquariums; Casinos; Outdoor venues; Bowling alleys, amusement parks; Indoor venues",Reopened,"July 20, 2020",IA,Reopened
Outdoor and recreation,"Campgrounds; Gyms; Pools; Playgrounds, skating rinks, skate parks",Reopened,"July 20, 2020",IA,Reopened
Retail,Retail stores,Open,"July 20, 2020",KS,Reopened
Food and drink,Restaurant dining; Bars,Open,"July 20, 2020",KS,Reopened
Personal care,"Salons, barbershops, tattoo parlors",Open,"July 20, 2020",KS,Reopened
Houses of worship,,Open,"July 20, 2020",KS,Reopened
Entertainment,"Theaters, museums and bowling alleys; Casinos; Nightclubs",Open,"July 20, 2020",KS,Reopened
Outdoor and recreation,"Gyms; Community centers, sports facilities; Pools",Open,"July 20, 2020",KS,Reopened
Industries,Offices,Open,"July 20, 2020",KS,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",KS,Reopened
Food and drink,Restaurant dining; Bars,Reopened,"July 20, 2020",KS,Reopened
Personal care,"Salons, barbershops, tattoo parlors",Reopened,"July 20, 2020",KS,Reopened
Houses of worship,,Reopened,"July 20, 2020",KS,Reopened
Entertainment,"Theaters, museums and bowling alleys; Casinos; Nightclubs",Reopened,"July 20, 2020",KS,Reopened
Outdoor and recreation,"Gyms; Community centers, sports facilities; Pools",Reopened,"July 20, 2020",KS,Reopened
Industries,Offices,Reopened,"July 20, 2020",KS,Reopened
Retail,Retail stores,Open,"July 20, 2020",KY,Reopened
Food and drink,Restaurant dining; Distilleries; Bars,Open,"July 20, 2020",KY,Reopened
Personal care,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.",Open,"July 20, 2020",KY,Reopened
Houses of worship,,Open,"July 20, 2020",KY,Reopened
Entertainment,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Open,"July 20, 2020",KY,Reopened
Outdoor and recreation,Gyms; Aquatic centers; Campgrounds; Public pools,Open,"July 20, 2020",KY,Reopened
Industries,"Manufacturing, construction, offices",Open,"July 20, 2020",KY,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",KY,Reopened
Food and drink,Restaurant dining; Distilleries; Bars,Reopened,"July 20, 2020",KY,Reopened
Personal care,"Pet grooming and boarding; Salons, barbershops, tattoo parlors, etc.",Reopened,"July 20, 2020",KY,Reopened
Houses of worship,,Reopened,"July 20, 2020",KY,Reopened
Entertainment,"Movie theaters; Bowling alleys; Museums, aquariums, libraries, outdoor attractions; Venues and events spaces",Reopened,"July 20, 2020",KY,Reopened
Outdoor and recreation,Gyms; Aquatic centers; Campgrounds; Public pools,Reopened,"July 20, 2020",KY,Reopened
Industries,"Manufacturing, construction, offices",Reopened,"July 20, 2020",KY,Reopened
Retail,Retail stores; Malls,Open,"July 20, 2020",MN,Reopened
Food and drink,Restaurants and bars,Open,"July 20, 2020",MN,Reopened
Personal care,"Salons, barbershops, tattoo parlors",Open,"July 20, 2020",MN,Reopened
Houses of worship,,Open,"July 20, 2020",MN,Reopened
Entertainment,"Theaters and concert halls; Bowling alleys, arcades and museums",Open,"July 20, 2020",MN,Reopened
Outdoor and recreation,Campgrounds; Gyms,Open,"July 20, 2020",MN,Reopened
Industries,Manufacturing; Offices,Open,"July 20, 2020",MN,Reopened
Retail,Retail stores; Malls,Reopened,"July 20, 2020",MN,Reopened
Food and drink,Restaurants and bars,Reopened,"July 20, 2020",MN,Reopened
Personal care,"Salons, barbershops, tattoo parlors",Reopened,"July 20, 2020",MN,Reopened
Houses of worship,,Reopened,"July 20, 2020",MN,Reopened
Entertainment,"Theaters and concert halls; Bowling alleys, arcades and museums",Reopened,"July 20, 2020",MN,Reopened
Outdoor and recreation,Campgrounds; Gyms,Reopened,"July 20, 2020",MN,Reopened
Industries,Manufacturing; Offices,Reopened,"July 20, 2020",MN,Reopened
Retail,Retail stores,Open,"July 20, 2020",MO,Reopened
Food and drink,Restaurant dining,Open,"July 20, 2020",MO,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Open,"July 20, 2020",MO,Reopened
Houses of worship,,Open,"July 20, 2020",MO,Reopened
Entertainment,"Movie theaters, music venues, etc.; Casinos",Open,"July 20, 2020",MO,Reopened
Outdoor and recreation,Gyms; Campgrounds,Open,"July 20, 2020",MO,Reopened
Retail,Retail stores,Reopened,"July 20, 2020",MO,Reopened
Food and drink,Restaurant dining,Reopened,"July 20, 2020",MO,Reopened
Personal care,"Salons, barbershops, tattoo parlors, etc.",Reopened,"July 20, 2020",MO,Reopened
Houses of worship,,Reopened,"July 20, 2020",MO,Reopened
Entertainment,"Movie theaters, music venues, etc.; Casinos",Reopened,"July 20, 2020",MO,Reopened
Outdoor and recreation,Gyms; Campgrounds,Reopened,"July 20, 2020",MO,Reopened
Retail,Retail stores,Open,"July 20, 2020",MT,Reopened
Food and drink,"Restaurant dining, bars, breweries and distilleries",Open,"July 20, 2020",MT,Reopened
Personal care,"Salons, barbershops, massage parlors",Open,"July 20, 2020",MT,Reopened
Houses of worship,,Open,"July 20, 2020",MT,Reopened
