state,stateAbbrev,place,wholeState,pop,order,orderEff,orderLink,newsLink,pullTime
Alabama,AL,Alabama,1,4900000,Stay at home,2020-04-04 17:00:00,,https://www.al.com/news/2020/04/gov-kay-ivey-to-give-update-on-coronavirus-response.html,2020-07-20 20:22:04.037092
Alaska,AK,Alaska,1,737000,Stay at home,2020-03-28 17:00:00,http://dhss.alaska.gov/News/Documents/press/2020/FAQs_03272020-SOA-COVID-19-Health-Mandate-011-012.pdf,https://www.adn.com/alaska-news/2020/03/27/anchorage-sees-first-covid-19-death-in-alaska-hospital-officials-say/,2020-07-20 20:22:04.037092
Arizona,AZ,Arizona,1,7200000,Stay at home,2020-03-31 17:00:00,https://azgovernor.gov/governor/news/2020/03/new-executive-order-stay-home-stay-healthy-stay-connected,https://www.azcentral.com/story/news/local/arizona-health/2020/03/30/arizona-coronavirus-stay-home-order-issued-gov-doug-ducey/5088109002/,2020-07-20 20:22:04.037092
California,CA,California,1,39600000,Stay at home,2020-03-19 00:00:00,https://covid19.ca.gov/img/Executive-Order-N-33-20.pdf,https://www.latimes.com/california/story/2020-03-20/coronavirus-and-california-landmarks-empty-and-surreal,2020-07-20 20:22:04.037092
Colorado,CO,Colorado,1,5700000,Stay at home,2020-03-26 06:00:00,https://twitter.com/GovofCO/status/1242943191394877441?s=20,https://gazette.com/news/colorado-stay-at-home-order-issued-by-gov-polis-wednesday/article_7b3e0834-6ed7-11ea-84db-678f7b49011f.html,2020-07-20 20:22:04.037092
Connecticut,CT,Connecticut,1,3600000,Stay at home,2020-03-23 20:00:00,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Signs-Executive-Order-Asking-Connecticut-Businesses-and-Residents-Stay-Safe,https://www.courant.com/coronavirus/hc-news-coronavirus-update-0320-20200320-m5oro7ss3vb3nlqsormcmt6nty-story.html,2020-07-20 20:22:04.037092
Delaware,DE,Delaware,1,973000,Shelter in place,2020-03-24 08:00:00,https://governor.delaware.gov/wp-content/uploads/sites/24/2020/03/Fifth-Modification-to-State-of-Emergency-03222020.pdf,https://www.delawareonline.com/story/news/coronavirus-in-delaware/2020/03/22/coronavirus-delaware-count-up-47-confirmed-cases-state/2894015001/,2020-07-20 20:22:04.037092
District of Columbia,DC,District of Columbia,1,702000,Stay at home,2020-04-01 00:01:00,https://coronavirus.dc.gov/stayhome,https://www.washingtonpost.com/dc-md-va/2020/03/30/coronavirus-dc-maryland-virginia-live-updates/,2020-07-20 20:22:04.037092
Florida,FL,Florida,1,21500000,Stay at home,2020-04-03 00:01:00,,https://www.tampabay.com/news/health/2020/04/01/florida-gov-ron-desantis-issues-statewide-stay-at-home-order/,2020-07-20 20:22:04.037092
Georgia,GA,Georgia,1,10600000,Shelter in place,2020-04-03 00:00:00,,https://www.ajc.com/blog/politics/breaking-georgia-governor-orders-shelter-place-curb-coronavirus/vdAoWkjq39W2usr9e8W8BL/,2020-07-20 20:22:04.037092
Hawaii,HI,Hawaii,1,1400000,Stay at home,2020-03-25 00:01:00,https://governor.hawaii.gov/wp-content/uploads/2020/03/2003162-ATG_Third-Supplementary-Proclamation-for-COVID-19-signed.pdf,https://www.hawaiinewsnow.com/2020/03/24/live-governor-expected-issue-statewide-stay-at-home-order-coronavirus-cases-swell/,2020-07-20 20:22:04.037092
Idaho,ID,Idaho,1,1800000,Stay at home,2020-03-25 13:30:00,https://coronavirus.idaho.gov/statewide-stay-home-order/,https://amp.idahostatesman.com/news/coronavirus/article241495446.html,2020-07-20 20:22:04.037092
Illinois,IL,Illinois,1,12700000,Stay at home,2020-03-21 17:00:00,https://www2.illinois.gov/Pages/news-item.aspx?ReleaseID=21288,https://www.chicagotribune.com/coronavirus/ct-coronavirus-illinois-shelter-in-place-lockdown-order-20200320-teedakbfw5gvdgmnaxlel54hau-story.html,2020-07-20 20:22:04.037092
Indiana,IN,Indiana,1,6700000,Stay at home,2020-03-24 23:59:00,https://www.in.gov/gov/3232.htm,https://www.indystar.com/story/news/health/2020/03/23/indiana-coronavirus-updates-indianapolis-covid-19-latest-news/2896967001/,2020-07-20 20:22:04.037092
Kansas,KS,Kansas,1,2900000,Stay at home,2020-03-30 00:01:00,https://governor.kansas.gov/governor-kelly-issues-temporary-statewide-stay-home-order-in-ongoing-effort-to-combat-covid-19/,https://www.cjonline.com/news/20200328/kansas-coronavirus-update-gov-laura-kelly-imposes-statewide-stay-at-home-order-state-logs-5th-death-261-cases,2020-07-20 20:22:04.037092
Kentucky,KY,Kentucky,1,4500000,Healthy at home,2020-03-26 20:00:00,https://kentucky.gov/Pages/Activity-stream.aspx?n=GovernorBeshear&prId=105,https://www.courier-journal.com/story/news/local/2020/03/23/coronavirus-kentucky-healthy-at-home-shelter-in-place-andy-beshear/2899060001/,2020-07-20 20:22:04.037092
Louisiana,LA,Louisiana,1,4600000,Stay at home,2020-03-23 17:00:00,https://gov.louisiana.gov/assets/Proclamations/2020/JBE-33-2020.pdf,https://www.theadvocate.com/baton_rouge/news/coronavirus/article_922869e8-6c6d-11ea-aeee-6b6fd5e8f4bd.html,2020-07-20 20:22:04.037092
Maine,ME,Maine,1,1300000,Stay at home,2020-04-02 00:01:00,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20Regarding%20Further%20Restrictions%20on%20Public%20Contact%20and%20Movement%2C%20Schools%2C%20Vehicle%20Travel%20and%20Retail%20Business%20Operations.pdf,https://www.wabi.tv/content/news/Gov-Mills-issues-stay-at-home-order-for-Maine-569260011.html,2020-07-20 20:22:04.037092
Maryland,MD,Maryland,1,6000000,Stay at home,2020-03-30 20:00:00,https://governor.maryland.gov/2020/03/30/as-covid-19-crisis-escalates-in-capital-region-governor-hogan-issues-stay-at-home-order-effective-tonight/,https://www.baltimoresun.com/coronavirus/bs-md-stay-at-home-hogan-covid-19-20200330-pmid22rvirdwbppx4xpgjadoim-story.html,2020-07-20 20:22:04.037092
Massachusetts,MA,Massachusetts,1,6900000,Stay at home advisory,2020-03-24 12:00:00,https://www.mass.gov/news/governor-charlie-baker-orders-all-non-essential-businesses-to-cease-in-person-operation,https://www.bostonglobe.com/2020/03/23/metro/list-what-can-stay-open-during-bakers-stay-at-home-advisory/,2020-07-20 20:22:04.037092
Michigan,MI,Michigan,1,10000000,Stay at home,2020-03-24 00:01:00,"https://www.michigan.gov/whitmer/0,9309,7-387-90499_90705-522626--,00.html",https://www.freep.com/story/news/local/michigan/2020/03/23/michigan-shelter-in-place-order-coronavirus/2887578001/,2020-07-20 20:22:04.037092
Minnesota,MN,Minnesota,1,5600000,Stay at home,2020-03-27 23:59:00,https://mn.gov/governor/covid-19/,https://www.startribune.com/gov-tim-walz-to-order-new-covid-19-restrictions-on-minnesotans/569095212/,2020-07-20 20:22:04.037092
Mississippi,MS,Mississippi,1,3000000,Shelter in place,2020-04-03 17:00:00,https://yallpolitics.com/2020/04/01/mississippi-governor-tate-reeves-orders-statewide-shelter-at-home/unnamed-13-2/,https://yallpolitics.com/2020/04/01/mississippi-governor-tate-reeves-orders-statewide-shelter-in-place/,2020-07-20 20:22:04.037092
Missouri,MO,Missouri,1,6100000,Stay at home,2020-04-06 00:01:00,https://twitter.com/GovParsonMO/status/1246196795107160064?s=20,https://www.kansascity.com/news/politics-government/article241743921.html,2020-07-20 20:22:04.037092
Montana,MT,Montana,1,1100000,Stay at home,2020-03-28 00:01:00,https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177,https://helenair.com/news/state-and-regional/govt-and-politics/montana-sees-first-covid--death-residents-ordered-to-stay/article_f92d251e-cfe6-5e99-ab9f-0aa9dd433b91.html,2020-07-20 20:22:04.037092
Nevada,NV,Nevada,1,3100000,Stay at home,2020-04-01 00:00:00,https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Declaration-of-Emergency-Directive-010-Stay-at-Home-3-31-20.pdf,https://www.reviewjournal.com/news/politics-and-government/nevada/sisolak-issues-stay-at-home-order-1996415/,2020-07-20 20:22:04.037092
New Hampshire,NH,New Hampshire,1,1400000,Stay at home,2020-03-27 23:59:00,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-17-1.pdf,https://www.concordmonitor.com/Thursday-update-NH-covid-cases-disease-spread-33554702,2020-07-20 20:22:04.037092
New Jersey,NJ,New Jersey,1,8900000,Stay at home,2020-03-21 21:00:00,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,https://www.nj.com/coronavirus/2020/03/new-jersey-lockdown-rules-what-residents-need-to-know-about-stay-at-home-order.html,2020-07-20 20:22:04.037092
New Mexico,NM,New Mexico,1,2100000,Stay at home,2020-03-24 08:00:00,https://www.governor.state.nm.us/wp-content/uploads/2020/03/COVID-19-DOH-Order-fv.pdf,https://www.abqjournal.com/1435599/lujan-grisham-to-announce-stay-at-home-instruction.html,2020-07-20 20:22:04.037092
New York,NY,New York,1,19500000,Stay at home,2020-03-22 20:00:00,https://coronavirus.health.ny.gov/new-york-state-pause,https://www.nytimes.com/article/what-is-shelter-in-place-coronavirus.html,2020-07-20 20:22:04.037092
North Carolina,NC,North Carolina,1,10400000,Stay at home,2020-03-30 17:00:00,https://twitter.com/NC_Governor/status/1243629131646078976?s=20,https://www.newsobserver.com/news/coronavirus/article241469211.html,2020-07-20 20:22:04.037092
